"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Trinity House","Operations Directorate","TH03","Captain","49007","57856","Captain","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Chief Engineer","45277","53698","Chief Engineer","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Commander - RIV","42747","46044","Commander","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Engineering Officer - RIV","41857","45153","Engineering Officer - RIV","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Electronic Technical Officer","39785","43082","Electronic Technical Officer","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","First Officer","39785","46082","First Officer","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Second Engineer","39785","43082","Second Engineer","6.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Second Officer","34207","38567","Second Officer","12.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Second Officer - RIV","35364","39722","Second Officer - RIV","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Third Engineer","34207","38567","Third Engineer","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Boatswain","32000","34978","Boatswain","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Catering Manager","30958","31596","Catering Manager","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Engine Room Assistant","28747","31596","Engine Room Assistant","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Carpenter","28747","29568","Carpenter","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Petty Officer Deck","28747","29568","Petty Officer Deck","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Cook","28747","29568","Cook","4.00","Operational Delivery"
