CASE REFERENCE ,CASE DATE,SERVICE TYPE,CLASSIFICATION,CASE TEXT,ADDRESS,DECISION TARGET DATE,STATUS,CODETEXT,GEO X,GEO Y ,DECISION DATE,DECISION,DECISION TYPE,DECISION NOTICE DATE,APPEAL DECISION DATE,PUBLIC CONSULTATION START DATE,PUBLIC CONSULTATION END DATE,WARD
15/00123/NMA,17/02/2017,NMA,NMA,Change from pebble dash finish from first floor to roof to a render finish (Cream or White),"11 Erringden Road
Mytholmroyd
Hebden Bridge
Calderdale
HX7 5AR
",14/03/2017,NMAA,NMAA,401016,426009,02/05/2017,NMAA,,02/05/2017,,,,7
17/00312/FUL,09/03/2017,FUL,Q18,Demolition of garage to facilitate new dwelling and associated mound soakaway.,"Land North Of Moorlands
Keighley Road
Illingworth
Halifax
Calderdale

",24/05/2017,1,1,406851,430585,24/05/2017,1,DEL,24/05/2017,,11/04/2017,17/05/2017,6
15/00011/NMA,10/03/2017,NMA,NMA,Non Material Amendment to application 15/00011 - Amendment to alter windows (Non Material Amendment),"Beehive Mills
Hebble End
Hebden Bridge
Calderdale

",10/04/2017,NMAA,NMAA,398881,427155,07/04/2017,NMAA,DEL,07/04/2017,,,,2
16/01051/NMA,09/03/2017,NMA,NMA,Non-material amendment to application 16/01051/FUL,"Unit 2  Victoria Retail Park
Shroggs Road
Halifax
Calderdale
HX3 5HZ
",30/03/2017,NMAA,NMAA,408508,425823,05/04/2017,NMAA,DEL,05/04/2017,,,,9
16/01050/NMA,09/03/2017,NMA,NMA,Non material amendment to application 16/01050,"Unit 2  Victoria Retail Park
Shroggs Road
Halifax
Calderdale
HX3 5HZ
",30/03/2017,NMAA,NMAA,408508,425823,05/04/2017,NMAA,DEL,05/04/2017,,,,9
17/00337/FUL,16/03/2017,FUL,Q18,Additional access for car wash,"Car Wash
West Street
Sowerby Bridge
Calderdale

",02/08/2017,,PCO,405632,423130,,,,,,16/06/2017,27/07/2017,14
17/00350/HSE,17/03/2017,HSE,Q21,Two storey extension to side elevation,"Greenhead
Hollas Lane
Sowerby Bridge
Calderdale
HX6 3QZ
",23/06/2017,11,11,407183,422768,22/06/2017,11,DEL,22/06/2017,,16/05/2017,09/06/2017,4
17/00351/LBC,17/03/2017,LBC,Q23,Two storey extension to side elevation (Listed Building Consent),"Greenhead
Hollas Lane
Sowerby Bridge
Calderdale
HX6 3QZ
",23/06/2017,13,13,407183,422768,22/06/2017,13,DEL,22/06/2017,,16/05/2017,09/06/2017,4
17/00352/RES,17/03/2017,RES,Q18,"Detached dwelling (Reserved Matters Persuant to Application 14/00575/OUT)

","4 Blackbrook Court
Brighouse
West Yorkshire
HD6 2RP
",31/05/2017,2,2,413742,423429,07/06/2017,2,DEL,07/06/2017,,27/04/2017,19/05/2017,1
17/00364/FUL,21/03/2017,FUL,Q20,Change of use application from A1 retail to A3 restaurant,"14 Wade House Road
Shelf
Halifax
Calderdale
HX3 7PB
",18/05/2017,1,1,412368,428690,24/05/2017,1,DEL,24/05/2017,,06/04/2017,04/05/2017,8
