Sun2014-bp,,Sun2014-lg,
X,Y,X,Y
7.074370064,5.657554221,7.382533405,5.562272035
7.223982617,4.716898284,7.53571796,4.871281737
7.912078551,4.660936923,8.233229493,3.989554227
8.07280217,4.238826178,8.385837918,3.634639364
8.763120316,2.886573855,9.070016173,3.530657624
8.914971543,2.973358134,9.234476401,3.262190965
9.614853437,0.7089202651,9.918852186,0.7096500289
9.771182012,0.5172516437,10.07086802,0.7004127555
10.46350838,0.3268697111,10.76757297,0.2891908538
10.61154069,0.3080206803,10.92353941,0.3087696484
