T,Cp,S,H
5,0.0354134,0.00597888,0.0260575
10,0.283306,0.103542,0.803054
20,1.75022,0.567536,8.21662
30,8.46152,2.36315,54.7587
40,19.3253,6.19876,190.673
50,35.4108,12.1057,458.353
75,119.315,39.9549,2245.17
100,276.765,94.0426,7039.26
125,506.792,179.27,16694.6
150,790.126,296.134,32826.6
175,1095.55,440.779,56383.3
200,1396.19,606.862,87561.2
225,1675.66,787.702,126014
250,1926.59,977.501,171105
275,2147.42,1171.72,222092
298.15,2326.34,1352.58,273921
300,2339.64,1367.01,278237
325,2506.14,1561.01,338860
350,2650.21,1752.14,403357
375,2775.11,1939.35,471210
400,2883.8,2122,541978
425,2978.95,2299.74,615288
450,3062.85,2472.44,690831
475,3137.48,2640.08,768353
500,3204.52,2802.74,847642
525,3265.41,2960.59,928528
550,3321.33,3113.8,1.01E+06
575,3373.27,3262.6,1.09E+06
600,3422.06,3407.2,1.18E+06
625,3468.37,3547.85,1.27E+06
650,3512.73,3684.75,1.35E+06
675,3555.57,3818.13,1.44E+06
700,3597.24,3948.19,1.53E+06
725,3637.98,4075.14,1.62E+06
750,3678.01,4199.15,1.71E+06
775,3717.46,4320.39,1.81E+06
800,3756.42,4439.03,1.90E+06
825,3794.98,4555.21,1.99E+06
