x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.9909692156,0.9856485596,0.9969304229,0.9941010892,0.9550463665,0.9950539939,0.9966408,0.9967191954,0.9953205812,0.9933705695,0.9901210109,0.9976709566,0.9947826087,62282,TRUE,OPTIMAL,0.844933033
Org_kmax_kmin,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.9909692156,0.9856485596,0.9969304229,0.9941010892,0.9550463665,0.9950539939,0.9966408,0.9967191954,0.9953205812,0.9933705695,0.9901210109,0.9976709566,0.9947826087,62282,TRUE,OPTIMAL,0.8923509121
Dim.  1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1.004674759,0.9679510639,1.012836413,1.022322849,0.9952991343,0.9802434534,1.005077861,0.9750174797,1.066798019,0.9513493762,0.9544602699,1.035703995,1.025781846,63425,FALSE,OPTIMAL,0.01131510735
Dim.  2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9963080029,0.9598211952,1.022882302,1.029151879,0.9909578977,0.9654603907,0.9991927504,0.9751788307,1.076403142,0.962598528,0.9464285714,1.040314061,1.02877193,63403,FALSE,OPTIMAL,0.1242470741
Dim.  3,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.997157959,0.9750614315,0.9952561081,1.032945784,0.9755452234,0.9959332839,1.040154159,0.9704727586,0.9988780341,0.9776843973,0.9612336689,1.030853823,1.032982456,62995,FALSE,OPTIMAL,0.08754706383
Dim.  4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9995750219,0.9941182621,0.996186283,1.014783992,0.9693544658,1.007089275,0.9946096557,0.9967998709,0.9973455929,0.9516364775,0.9872831441,1.038153093,1.036521739,62876,FALSE,OPTIMAL,0.171077013
Dim.  5,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9916332439,0.9687614367,0.9963413122,1.021539591,0.9684297054,1.011073558,0.9990625488,0.9831388157,0.9938702351,0.9870021402,0.9875240951,1.040794276,1.02215103,62784,FALSE,OPTIMAL,0.2063958645
Dim.  6,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.9733591862,0.9947456475,0.9732419695,1.046530412,0.9945285006,1.002418047,0.9971876465,0.9953746033,0.9985496538,0.972386073,0.9697472692,0.9973107952,1.023188406,62652,FALSE,OPTIMAL,0.5601921082
Dim.  7,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9988578714,0.9896481414,0.9862644177,0.9953004528,0.9801176501,1.010578957,0.9971095255,0.9681869521,0.9998358099,0.9815472151,1.00275755,0.997238763,1.04402746,62577,FALSE,OPTIMAL,0.9718580246
Dim.  8,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.9947674573,0.9937000052,1.019688701,0.9982376698,0.9659636775,1.003984283,0.9991146294,1.016861184,0.9983854637,0.9719423709,0.9858374384,0.9993757203,0.9965217391,62460,FALSE,OPTIMAL,0.6191868782
Dim.  9,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9969720311,1.011449783,0.9951630907,0.9997062783,0.9489583601,1.012722227,0.9978386542,0.9985747324,0.9998631749,0.986088636,0.982946027,0.9931329235,0.9981998474,62394,FALSE,OPTIMAL,1.82305479
Dim.  10,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.9974235703,1.008887959,0.998728761,0.9976747032,0.990675332,0.9945868711,0.9971095255,0.996961222,0.9994253345,0.9723077726,0.9844452774,0.9913561275,0.9999694889,62380,FALSE,OPTIMAL,2.570261955
Dim.  11,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.9999468777,0.993124902,0.9981086444,0.994125566,0.9820699222,0.9927183799,0.988672465,1.006400258,0.9976739731,0.9562039985,0.9979920754,0.9970946984,0.9876735317,62285,FALSE,OPTIMAL,4.019074917
Dim.  12,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.9909692156,0.9856485596,0.9969304229,0.9941010892,0.9550463665,0.9950539939,0.9966408,0.9967191954,0.9953205812,0.9933705695,0.9901210109,0.9976709566,0.9947826087,62282,TRUE,OPTIMAL,5.713213921
