x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0.9950875857,0.9941535615,0.9818561906,0.9991186407,0.9804137425,0.9911880013,0.9767705604,0.9608492637,0.9774952757,0.9659681544,0.9991649269,0.9365079365,0.9997136414,0.9630255565,0.9138678414,0.9511985249,0.9940311661,0.9505974818,0.9921622686,0.9934175277,0.9977186979,0.9983095693,0.969667535,0.9972852815,0.978304435,0.9748265918,0.9839500123,0.9929260985,0.9785464826,0.9837068828,41630,TRUE,OPTIMAL,71.53612518
Org_kmax_kmin,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0.9950875857,0.9941535615,0.9818561906,0.9991186407,0.9804137425,0.9911880013,0.9767705604,0.9608492637,0.9774952757,0.9659681544,0.9991649269,0.9365079365,0.9997136414,0.9630255565,0.9138678414,0.9511985249,0.9940311661,0.9505974818,0.9921622686,0.9934175277,0.9977186979,0.9983095693,0.969667535,0.9972852815,0.978304435,0.9748265918,0.9839500123,0.9929260985,0.9785464826,0.9837068828,41630,TRUE,OPTIMAL,89.2805841
Dim.  1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1.049086062,0.9855689177,1.119670256,1.000146893,1.078023944,0.9997122613,0.9865863674,0.9590134493,0.9494502663,0.935483871,0.9789979123,0.9788489153,1.007588503,0.9908491344,0.9248634361,0.9405039951,1.06129071,0.8621381025,1.048680583,0.9991197857,1.098052119,0.9551668382,1.019735971,1.004642562,1.144201446,1.047307303,0.9843175692,0.9298851531,0.9612506236,0.9989667779,43495,FALSE,OPTIMAL,0.01202487946
Dim.  2,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1.076770754,0.9540055504,1.138957914,0.9950545953,0.9900921976,1.017120455,0.9904579406,0.9147942691,0.9505669129,0.9564804884,0.9573695198,0.9512166725,1.022622329,0.9653751031,0.9153480176,0.9216553985,1.010455474,0.9204025984,1.062386766,1.006544202,1.072519084,0.9343304425,1.024592697,1.017862061,1.154439313,1.053503234,0.9890141305,0.9551431425,0.9866539165,1.010054045,43396,FALSE,OPTIMAL,0.005004882813
Dim.  3,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1.068697639,0.9327659574,1.111623871,0.9496156294,1.025778634,1.058554832,0.9888545618,1.010376342,0.9735440646,1.02173913,0.9894363257,0.9239337137,1.036331746,0.9529678483,0.9904140969,0.9161237451,1.018988102,0.9310289518,1.076368649,1.036892461,1.060454506,0.9748640306,1.000485673,1.032458591,0.9833580204,1.01141766,0.919423344,0.939289281,1.033843339,0.9277936735,42966,FALSE,TIME_LIMIT,0.03573679924
Dim.  4,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1.017669459,0.9705087882,0.9934524514,0.9933898056,1.054997477,1.05790742,0.977044308,0.9628447141,1.018682357,0.971825757,0.9994989562,0.8864050918,1.044206608,0.9187963726,0.9400176211,0.9150174145,1.00957417,0.9332344214,1.080189051,1.025602755,1.089234009,0.9969866235,1.015453221,1.090333242,0.9993465191,0.9959473151,1.002613738,0.9679177763,1.033053384,0.9563264982,42815,FALSE,TIME_LIMIT,0.04268097878
Dim.  5,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.9975247525,1.00173913,0.9933341222,0.9749791901,1.033209486,1.032550444,0.9615189081,0.9613680808,1.033026971,0.9866347661,1.020167015,0.9988745294,1.0497906,0.8913025556,0.9845991189,0.9113296456,0.9977967392,0.977825006,1.063844033,1.002564103,1.098885672,0.942341614,0.9931122787,1.026084904,0.9995207807,1.021120723,0.9722290288,0.962674767,1.066979877,0.9624860912,42754,FALSE,TIME_LIMIT,0.05174803734
Dim.  6,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1.009977152,0.9749491212,0.9891531574,0.9395289624,1.107426265,1.025896486,0.965859763,0.9693498823,1.054415049,0.9812309215,1.024509395,0.9788489153,0.9919461646,0.9615828524,0.9657092511,0.96390084,1.016945079,0.9617451279,1.028239464,1.034978951,0.9949109415,0.9683595473,0.9701973597,1.05303537,0.9836629781,1.025874834,1.011598464,0.9608022636,1.012971894,0.9643538388,42638,FALSE,TIME_LIMIT,0.06256198883
Dim.  7,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0.9939451637,0.940906568,0.9928213624,0.8881163394,0.9938993624,1.033125922,1.000078214,0.9613680808,1.018081086,0.921829882,1.063256785,0.9753560756,1.019937717,0.9542456719,0.9559118943,0.9367342758,1.007010375,0.9947870719,1.097558094,1.005970149,0.9929806089,0.972659121,1.005386551,1.030334028,0.9902849177,1.019133349,0.9856652781,0.9541860852,1.081739564,0.9456763631,42435,FALSE,TIME_LIMIT,0.07761192322
Dim.  8,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1.010548363,0.9561517114,0.9949512878,0.9089262106,0.9887161139,1.056612596,1.043604083,0.9855529393,1.023664319,0.962915601,1.035114823,0.974929173,0.9981028743,0.9605935697,0.9677180617,0.941077648,1.025157233,0.9729328735,0.9721937771,1.022885572,0.9845573397,0.9437380567,0.9122257053,1.104772396,0.9885858674,1.032694256,0.9341664625,0.9194823569,1.054590055,0.9739707519,42256,FALSE,TIME_LIMIT,0.09573292732
Dim.  9,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0.9755902513,0.979759482,0.9929791346,0.9588699016,0.99325719,1.047692695,1.026944586,0.9805244044,0.9933430682,1.013653989,1.078872651,0.992238134,1.014532699,1.013932399,0.9564052863,0.9604179471,0.9903056524,0.9823963429,0.9760141788,1.047990815,0.9998683864,0.9673305894,0.9505055411,0.9852460951,0.9980395574,0.991504949,0.9470309565,0.947611518,1.06523366,0.9684072485,42363,FALSE,TIME_LIMIT,0.122202158
