,Year,ngames,number.neutral.site,raw.mean.HFE,FE.mov.HFE,RE.mov.HFE,se.FE.mov.HFE,se.RE.mov.HFE,nu_prime_eta,nu_prime_eta.permutation.percentile,mean_nu_eta,mean_nu_eta_ttest_pvalue,mean_eta_hat,mean_eta_hat_ttest_pvalue,X.mean_sim.,mean_sim,X.bias_sim.,bias_sim
17,2000,1189,0,3.539949537,3.539949537,3.539949537,0.331234926,0.3310915463,-1.46E-16,0.1147268853,6.49E-20,0.5866312717,2.46E-15,1,mean_sim,3.531873986,bias_sim,-0.008075551303
16,2001,1189,0,2.915895711,2.915895711,2.915895711,0.323455464,0.3233266834,3.47E-17,0.6052523947,1.55E-20,0.9082019647,-3.57E-15,1,mean_sim,2.920339622,bias_sim,0.004443910905
15,2002,1189,0,3.398654331,3.398654331,3.398654331,0.3441870087,0.3440445062,4.90E-16,0.9852170148,-1.21E-19,0.5951157745,2.72E-15,1,mean_sim,3.385386448,bias_sim,-0.01326788326
14,2003,1189,0,3.883936081,3.883936081,3.883936081,0.3305059098,0.3303746428,-5.42E-17,0.2767997232,-7.33E-21,0.9348898896,4.54E-15,1,mean_sim,3.884440758,bias_sim,0.0005046769066
13,2004,1189,0,3.632464256,3.633942959,3.633814689,0.3141122127,0.3140042087,-0.0001171413699,0.4154955845,-1.07E-06,0.03756706859,2.73E-15,1,mean_sim,3.650015104,bias_sim,0.01607214557
12,2005,1230,0,3.12601626,3.12601626,3.12601626,0.3138163275,0.3136919639,8.15E-17,0.7432062568,-1.44E-19,0.2379214172,-1.17E-15,1,mean_sim,3.141800189,bias_sim,0.01578392843
11,2006,1230,0,3.368292683,3.368292683,3.368292683,0.3229194265,0.3227833344,5.41E-17,0.6395923604,2.73E-19,0.06435922449,8.64E-16,1,mean_sim,3.36334232,bias_sim,-0.00495036326
10,2007,1230,0,2.986178862,2.986178862,2.986178862,0.3364564554,0.3363241131,9.07E-17,0.7743562256,1.04E-19,0.3774588764,-2.03E-15,1,mean_sim,2.987809935,bias_sim,0.00163107348
9,2008,1230,0,3.405691057,3.405691057,3.405691057,0.3280128081,0.3278764355,3.45E-16,0.9393580606,2.54E-20,0.908894466,1.61E-15,1,mean_sim,3.401599498,bias_sim,-0.004091558795
8,2009,1230,0,3.251219512,3.251219512,3.251219512,0.3262379183,0.3260988177,2.94E-16,0.9470850529,1.10E-19,0.5422189888,8.89E-17,1,mean_sim,3.260218033,bias_sim,0.008998521297
7,2010,1230,0,2.731707317,2.731707317,2.731707317,0.333916508,0.3337767523,5.31E-16,0.9971290029,5.07E-20,0.7995836554,-5.40E-16,1,mean_sim,2.748756483,bias_sim,0.01704916624
6,2011,1228,0,3.161237785,3.160922833,3.160949971,0.3154031314,0.3152702189,2.49E-05,0.5107494893,5.92E-07,0.3976378719,-4.29E-16,1,mean_sim,3.125506115,bias_sim,-0.03541671805
5,2012,990,0,2.82020202,2.82020202,2.82020202,0.3770906252,0.3769069618,1.30E-16,0.7101822898,-1.24E-19,0.5866942748,-2.24E-15,1,mean_sim,2.814943573,bias_sim,-0.005258447546
4,2013,1229,0,3.226200163,3.223041921,3.223288092,0.3336925692,0.3335601114,0.0002269955352,0.7096402904,9.49E-08,0.8064798352,2.26E-15,1,mean_sim,3.208448546,bias_sim,-0.01459337489
3,2014,1229,0,2.612693247,2.613658178,2.613578658,0.3316865534,0.3315658511,-7.31E-05,0.430958569,1.65E-07,0.6525208568,2.15E-15,1,mean_sim,2.622824586,bias_sim,0.009166408296
2,2015,1228,0,2.407980456,2.405985478,2.406134063,0.3380467398,0.3379144079,0.0001375280566,0.598992401,-1.35E-07,0.7989990493,3.11E-15,1,mean_sim,2.409263909,bias_sim,0.003278430777
1,2016,1228,0,2.695439739,2.686841052,2.687378709,0.3281341605,0.3279926586,0.0005044425701,0.8413141587,-5.23E-07,0.2938914532,1.92E-15,1,mean_sim,2.688764589,bias_sim,0.001923536807
18,2017,1227,0,3.135289324,3.123574236,3.124763539,0.3565830245,0.3564367191,0.001071095256,0.8738851261,-1.47E-06,0.1150272353,3.63E-15,1,mean_sim,3.119008461,bias_sim,-0.004565774966
