x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.9759619618,0.9687474861,0.9793123333,0.9918108067,0.9958918315,0.9880524385,0.9757520074,0.9966505228,0.9990318708,0.9835474628,0.9936262598,0.9639469487,0.9998331595,0.9963665725,0.9875644651,0.9852475858,0.9954262788,0.9683625481,0.9905400946,0.997735907,0.9799327982,41528,TRUE,OPTIMAL,6.391458988
Org_kmax_kmin,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.9759619618,0.9687474861,0.9793123333,0.9918108067,0.9958918315,0.9880524385,0.9757520074,0.9966505228,0.9990318708,0.9835474628,0.9936262598,0.9639469487,0.9998331595,0.9963665725,0.9875644651,0.9852475858,0.9954262788,0.9683625481,0.9905400946,0.997735907,0.9799327982,41528,TRUE,OPTIMAL,16.37294817
Dim.  1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1.019855596,0.9957766873,1.003964535,0.9885198224,1.032705807,1.017467407,0.9029680821,1.033132666,0.9408279441,0.9685275904,1.10954866,1.055233778,0.9582064651,1.050020186,0.9447679255,0.9851653996,0.9949448345,0.9839092075,1.052432809,1.039525692,0.9200578682,42666,FALSE,OPTIMAL,0.01136088371
Dim.  2,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1.032314872,1.007079077,0.9672745621,1.016416654,1.041799617,1.008751861,0.968881077,1.029104241,0.970181621,0.9489324337,1.065450345,1.042096869,0.9647966632,1.050222043,0.936948927,0.9220053421,1.019618857,0.9599284854,1.071609284,1.040139683,0.8990573082,42562,FALSE,OPTIMAL,0.00423002243
Dim.  3,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.026943735,0.9993162256,0.9684639227,1.002946579,1.009293235,0.9734538984,0.9849398794,0.9941610465,0.9413313713,0.964460671,1.084770745,1.02807857,0.9834410845,1.062414211,0.9312926302,0.924676392,0.9965095286,0.9910218042,1.095919041,1.021489696,0.9771793915,42479,FALSE,OPTIMAL,0.01229500771
Dim.  4,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.9723078278,1.024977878,1.018344987,0.9522041941,1.005902999,0.9777753568,0.9390404666,1.027022134,0.9500058088,1.015435807,1.058359559,1.068580542,0.9184567258,1.045619701,0.9186907337,0.9709471954,1.036148445,1.005013798,0.9999633337,1.032272919,0.9993466492,42351,FALSE,OPTIMAL,0.1361320019
Dim.  5,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.05542837,1.046778216,1.002090391,1.04033369,0.9486279515,0.970911864,0.9611712539,0.9677725977,0.9172830422,1.039698678,1.082858622,1.043272056,0.9881960375,0.9937424304,0.8986441524,0.921964249,1.062547643,0.9626880174,0.9993766729,1.043708508,0.9985999627,42333,FALSE,OPTIMAL,0.2355940342
Dim.  6,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1.056881219,1.024012549,0.9677791393,1.072095515,0.9881940013,0.9490140538,0.9839811449,0.9439188883,0.977810479,0.9734725945,1.007688324,1.004155125,0.9862773723,1.0484457,0.9997920479,0.923566879,1.049869609,1.006762797,0.9991566751,1.006331786,0.9946331902,42295,FALSE,OPTIMAL,0.162653923
Dim.  7,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.084133134,1.000965329,0.996576083,0.9889407623,1.014478302,0.9819878709,0.9419566173,1.011451591,0.9059365682,0.9152879194,1.04047325,1.004155125,0.9906986444,1.025393621,0.9945100649,0.9879186357,1.048304915,0.9853472735,0.9965167015,0.9897156453,0.9886130297,42234,FALSE,OPTIMAL,0.1770920753
Dim.  8,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.005679317,1.000804441,0.9966842067,0.9904714526,0.9396537971,0.9937538584,0.9494267567,1.003440004,0.9754482438,0.964784176,0.9896028363,1.06627214,0.9872367049,1.083286233,0.9988770587,0.9986439285,1.000682046,0.9837537409,0.9982766839,0.9798534096,0.9754526787,42103,FALSE,OPTIMAL,0.607478857
Dim.  9,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.005987497,0.9765103371,0.9677430981,0.942866983,0.9304403318,1.006790863,0.9287740183,1.031548454,0.9713821012,0.9773084389,1.064056089,0.9973138588,0.9996663191,0.9962050868,0.9990850108,0.9872611465,1.041003009,0.9984064674,0.9960400396,1.055489466,0.9832928878,42050,FALSE,OPTIMAL,1.84029007
Dim.  10,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.020339878,0.9800096533,0.9865566208,0.9712230216,0.9933790683,0.96669935,0.9338073743,1.04942742,0.9497734578,0.9316018116,1.076484882,1.010870478,0.9691345151,0.9952361728,0.9953002828,0.9811382782,1.022106319,0.9834428077,0.997433359,0.9862235696,0.9691058428,42027,FALSE,OPTIMAL,2.500990868
