"X..energy..MeV.","n..cm2.g.1."
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,3.71414644576854e-10
8.2,9.13822460489397e-10
8.3,1.29313347910082e-09
8.4,1.50934770041114e-09
8.5,1.56246512442035e-09
8.6,3.59856171457514e-09
8.7,6.47137715950782e-09
8.8,1.01809114592183e-08
8.9,1.47271646137066e-08
9,2.01101366229728e-08
9.1,2.34011060352616e-08
9.2,2.66920780803028e-08
9.3,2.99830527580961e-08
9.4,3.32740300686417e-08
9.5,3.65650100119395e-08
9.6,4.68032600582353e-08
9.7,5.70415182950506e-08
9.8,6.72797847223853e-08
9.9,7.75180593402396e-08
10,8.77563421486134e-08
10.1,9.0802201393001e-08
10.2,9.38479844632933e-08
10.3,9.68936913594905e-08
10.4,9.3223909347777e-08
10.5,8.95551760236971e-08
10.6,7.12607536941814e-08
10.7,5.29754287012527e-08
10.8,3.4699201044911e-08
10.9,3.83350442784045e-08
11,4.19677347065758e-08
11.1,7.66361486425143e-08
11.2,1.11303587558234e-07
11.3,1.45970051642043e-07
11.4,1.55052672998989e-07
11.5,1.64130543796659e-07
11.6,1.38565909145088e-07
11.7,1.13013492556156e-07
11.8,8.7473294029864e-08
11.9,6.19453135662115e-08
12,3.64295511651987e-08
12.1,3.21791731094208e-08
12.2,2.79288584414179e-08
12.3,2.36786072215205e-08
12.4,3.64171969708608e-08
12.5,4.91478498443247e-08
12.6,6.5242682483339e-08
12.7,8.15503117230598e-08
12.8,9.80707375634876e-08
12.9,1.14803960004622e-07
13,1.31749979046464e-07
13.1,1.45284190997491e-07
13.2,1.59368217669612e-07
13.3,1.28996505815617e-07
13.4,9.838166476706e-08
13.5,9.72414305684536e-08
13.6,1.11888378696734e-07
13.7,1.27089090155513e-07
13.8,1.23351725716948e-07
13.9,1.19626197469437e-07
14,1.15912505623219e-07
14.1,1.11521871611956e-07
14.2,1.0690829516803e-07
14.3,1.34433401711041e-07
14.4,1.62206304158973e-07
