"Data_x","Data_y","x0001","y0001"
-74.29730219,897.508789,247.3668272,
53.94787318,896.357422,252.6003304,
195.1600994,895.206055,258.0331423,
51.89333955,894.054688,263.6674263,
73.65126172,892.90332,269.5063867,
36.80227826,891.750977,275.5705392,
39.02022241,890.598633,281.8768893,
-19.50178713,889.446289,288.4422234,
-67.15608328,888.293945,295.2786604,
-12.8833862,887.140625,302.4052821,
19.68924349,885.987305,309.831842,
28.4102138,884.833984,317.5756312,
76.13428147,883.679688,325.6623507,
45.8558488,882.526367,334.0985126,
-25.55201807,881.37207,342.9201277,
17.84551335,880.216797,352.1516275,
93.70935965,879.0625,361.8027195,
5.057616171,877.907227,371.9170851,
100.3956789,876.751953,382.516363,
72.39198313,875.59668,393.632586,
-16.12756908,874.44043,405.310616,
-104.6190589,873.28418,417.5790788,
-28.71662954,872.12793,430.4790595,
185.5188876,870.97168,444.0552695,
62.56088166,869.814453,458.3688391,
60.68474215,868.658203,473.4488122,
67.48690256,867.5,489.3927022,
180.1499765,866.342773,506.2250512,
187.0072115,865.18457,524.0442943,
170.1630916,864.027344,542.8972034,
200.8580867,862.868164,562.9175701,
117.2328094,861.709961,584.1494919,
232.1717652,860.550781,606.7318752,
256.5350449,859.391602,630.7613617,
276.6395218,858.232422,656.3642963,
232.1275052,857.073242,683.6808044,
273.9213295,855.913086,712.8920966,
343.7853674,854.75293,744.149913,
482.6380397,853.592773,777.6485154,
451.3491778,852.431641,813.6364758,
547.2139001,851.270508,852.3308683,
548.392305,850.109375,894.0061112,
605.6279829,848.948242,938.9713482,
602.6757439,847.786133,987.6181537,
713.856797,846.625,1040.260301,
782.0690011,845.462891,1097.435732,
852.5061034,844.299805,1159.668465,
974.6245336,843.137695,1227.43897,
1047.358737,841.974609,1301.53175,
1206.143145,840.811523,1382.663341,
1165.145081,839.647461,1471.800762,
1504.526482,838.484375,1569.822998,
1721.460007,837.320313,1678.089213,
1869.712045,836.155273,1798.018682,
1904.248666,834.991211,1931.036452,
2190.02712,833.826172,2079.272956,
2413.586662,832.661133,2244.863248,
2780.929406,831.496094,2430.444384,
3146.108696,830.330078,2639.309862,
3444.796001,829.165039,2874.77766,
3822.827291,827.999023,3141.572214,
4185.840247,826.832031,3444.877873,
4383.835769,825.666016,3790.17313,
4879.715086,824.499023,4185.023113,
5390.531706,823.332031,4637.223529,
5659.285352,822.164063,5156.397273,
6229.984457,820.99707,5751.809649,
6723.537757,819.829102,6435.184362,
7490.983781,818.661133,7216.543391,
8185.515249,817.492188,8105.331964,
8809.319889,816.324219,9104.19752,
9920.659526,815.155273,10210.17757,
10845.6562,813.985352,11404.15162,
12215.08611,812.816406,12642.93743,
13505.01043,811.646484,13859.43076,
14662.06341,810.476563,14954.6792,
15677.78827,809.306641,15812.16837,
16460.43601,808.135742,16320.93888,
16822.2457,806.964844,16406.28861,
16050.42684,805.793945,16057.72698,
15633.46213,804.623047,15332.07101,
14662.0352,803.451172,14332.10307,
13433.07162,802.279297,13176.95056,
11878.487,801.107422,11972.3493,
10819.53949,799.935547,10796.77602,
9541.645287,798.762695,9698.649574,
8552.27609,797.589844,8704.242985,
7708.452274,796.416992,7821.879638,
6686.211665,795.243164,7048.828729,
6056.567564,794.070313,6378.583299,
5655.266566,792.896484,5799.719462,
5194.707521,791.72168,5301.523469,
