sut,success,headerprecision,headerrecall,headerf1,recordprecision,recordrecall,recordf1,cellprecision,cellrecall,cellf1,pollock_simple
clevercs,1.0,0.702625874472703,0.7163372697326081,0.7060665405321593,0.9933832224485438,0.9481117566054719,0.9609875203430621,0.9736712273837321,0.9471791917407273,0.9501093125122926,8.8984719157713
spreaddesktop,0.9896907216494846,0.7941327094986955,0.7959292809522486,0.7949643159184123,0.5486960697562739,0.5227842264764648,0.5318799822768298,0.8228484762813434,0.8019693842756713,0.8079757134283831,7.410870880513808
pycsv,0.9896907216494846,0.680254795505804,0.680254795505804,0.680254795505804,0.911426473722185,0.8776043858568768,0.8804223265201512,0.8981654268688788,0.8699904268618377,0.8715082813558219,8.339572429352648
dataviz,0.9896907216494846,0.4921986634312923,0.4856874408346494,0.48880304300681265,0.1292151434864768,0.09966228166505492,0.1106518920863161,0.8198956601870535,0.7598078134252056,0.7777659710391726,5.153378630811519
mariadb,0.7010309278350515,0.6742417195754146,0.6751789266981888,0.6746880086814977,0.5065124268715693,0.4954872517770647,0.4996607435122987,0.6140012003281614,0.6752730940070456,0.6194892595335963,6.135563558819888
sqlite,1.0,0.6561135125464711,0.6697795058353169,0.6595427856719558,0.7596834887146736,0.7221027107932371,0.7318562990322477,0.9286911748882637,0.9223480846346628,0.9099171207834876,7.960034682900315
mysql,0.6804123711340206,0.6459934712520328,0.6417346423465791,0.6431623445785138,0.4858288832569583,0.47486869507603374,0.47900964202927554,0.5933574652631908,0.6546536602052256,0.5988576658797119,5.897878841021542
postgres,0.5463917525773195,0.5196560990104127,0.5196560990104127,0.5196560990104127,0.5430230919104576,0.5269168866156684,0.5331704292287197,0.5403284652743828,0.5261585413121674,0.5320546573553233,5.307012121305277
opencsv,0.9896907216494846,0.7858754154093798,0.7959212894779906,0.7869596749887182,0.9624272199698103,0.9329632283435294,0.9429992533176352,0.9470948720646439,0.935260793583883,0.9355273624873665,9.014719831292442
rhypoparsr,1.0,0.5149935744014693,0.5401131890732085,0.5189707671960471,0.2749703534542967,0.27766889420441904,0.27473682437708447,0.6407726686448665,0.7408026670679354,0.6471476395288556,5.430176577948183
univocity,0.9587628865979382,0.40149410512004585,0.40149410512004585,0.40149410512004585,0.6386939729023872,0.6019095751673124,0.6128204835966766,0.657382050059494,0.6198488996646122,0.6304708772857366,5.924371060634295
spreadweb,0.9896907216494846,0.6874049422242275,0.6829105214522514,0.6850285240294771,0.6206346123284188,0.5938151013246228,0.6043290198691683,0.8324445273627561,0.8021542998607564,0.8145999409079129,7.313012211009076
pandas,0.8865979381443299,0.4964686112318951,0.5101346045207411,0.4998978843573799,0.6592331450465536,0.6288937729475305,0.6344051872981645,0.6656631570757264,0.6586506516464297,0.6449864464912115,6.284931398759962
libreoffice,1.0,0.4444336959269791,0.44549243901224306,0.4446294943189242,0.491916758101334,0.4695049550573733,0.478378577847357,0.6128635161487929,0.6175025185485032,0.600527547101196,5.605249502062703
rcsv,0.979381443298969,0.24450019581866847,0.24454559778972776,0.24451158875264015,0.5432711721958231,0.510051688354599,0.5214234993148681,0.6020331971565753,0.5800779127398552,0.5823335652009312,5.052129860622657
csvcommons,0.4639175257731959,0.2594844810287546,0.27319587628865977,0.262925147088211,0.4416687871966528,0.4342905379173993,0.43736400844102125,0.4237104540117826,0.4301268848771057,0.42430708170423187,3.8509907843270152
