sut,success,headerprecision,headerrecall,headerf1,recordprecision,recordrecall,recordf1,cellprecision,cellrecall,cellf1,simple,weighted
clevercs,1.0,0.975618631732169,0.9520557208439303,0.9615241203689578,0.8089388120166253,0.8872557572552152,0.8353145035211473,0.8909688755893457,0.8713938147006254,0.8764558602537719,9.059526096281788,9.495708812923032
spreaddesktop,0.9991266375545852,0.995657447840854,0.9917546600849291,0.9933985808304087,0.9462040300941758,0.9457505680043743,0.9459039313521713,0.9957996253704252,0.9905416851365895,0.9928284444947015,9.796965610763216,9.293233371055706
pycsv,0.9995633187772925,0.9952692867540028,0.9951918278228322,0.9949826114170012,0.918729941600463,0.9195641467085661,0.919041196055542,0.995289873982962,0.9863121192662639,0.990669339139796,9.714613661524723,9.479527331980671
dataviz,1.0,0.7429807536794437,0.6139699685895963,0.659216554983645,0.0008733624454148472,0.0008733624454148472,0.0008733624454148472,0.6959484720023352,0.5899194109137275,0.6266252050408346,4.931280452545827,5.5179472371637655
mariadb,1.0,0.9990538573508004,0.9995633187772925,0.9991994177583698,0.757042142368601,0.9471759219600662,0.8036440227564221,0.8035810179949778,0.7387663157475088,0.7644512020142366,8.812477216728274,7.442480213210734
sqlite,1.0,0.9977438136826782,0.9982532751091703,0.9978893740902476,0.9870258325879939,0.9874313222947936,0.9872271607771892,0.9963366330891861,0.995913573630919,0.9961233568450621,9.94394434210724,9.739264557767187
mysql,1.0,0.9990538573508004,0.9995633187772925,0.9991994177583698,0.7726995317514599,0.9487508590397634,0.8156895363666533,0.8170572440949448,0.7570753739541461,0.7808463919995997,8.88993553109303,7.457170073663278
postgres,0.016593886462882096,0.01593886462882096,0.016157205240174673,0.01601164483260553,0.012663755458515284,0.01265855687253067,0.012661140600894282,0.012663755458515284,0.012658597806278581,0.012661161312637814,0.14066856867385516,7.330858676922068
opencsv,0.6698689956331878,0.6661572052401746,0.6664859291606017,0.6661958110448652,0.6520650286736465,0.6516191925802577,0.6516893255414098,0.6661087817579753,0.6655292035544049,0.6656853915804001,6.621404864766923,7.801679836698655
rhypoparsr,1.0,0.19905385735080058,0.19956331877729258,0.19919941775836972,0.12436996895880459,0.12331165821947436,0.12382469441614995,0.6476751895861486,0.5338985501213629,0.5845294247359357,3.7354260799243386,4.418554179167802
univocity,0.9995633187772925,0.9946870451237262,0.9942780336112215,0.9941542097325674,0.8598621560477718,0.9751281540991725,0.8880071111299197,0.8700916856591102,0.9005846728589394,0.8826949419654538,9.359051329005174,7.971126650106892
spreadweb,0.9982532751091703,0.9941533236293062,0.9817705608745915,0.9868944074707594,0.9099647498290101,0.9095023203157202,0.9096606169842819,0.9939444550763465,0.9811303078677788,0.9866916651821123,9.651965682339078,9.292007064736767
pandas,0.9991266375545852,0.9959485686559922,0.9964422477086234,0.9959938380802077,0.9710106802756878,0.9762595084234996,0.9735346382164458,0.9884815903779353,0.9944998660573642,0.9910281598985669,9.882325735248909,9.750857070839817
libreoffice,0.9995633187772925,0.9944929645803008,0.9891135150632967,0.9914499977108213,0.9349344978165939,0.9344773295228544,0.9346329796385511,0.9949668574609859,0.9887827888532466,0.991533458880562,9.753947708304507,7.529143809390774
rcsv,0.982532751091703,0.9803736050460942,0.9775201103194666,0.9773280426857022,0.43346135634240013,0.504409552173013,0.45856786256547405,0.7913697949589319,0.8615261108883474,0.8141035317755559,7.781192717846688,6.763457459048033
csvcommons,0.6668122270742358,0.6648471615720524,0.6651370693837942,0.6648653378458561,0.659125585310675,0.659105098239643,0.6591151879477705,0.6657666278118965,0.6654816016272073,0.6656222317307678,6.635878128543898,9.290696275812936
