file,csvcommons_success,csvcommons_header_precision,csvcommons_header_recall,csvcommons_header_f1,csvcommons_record_precision,csvcommons_record_recall,csvcommons_record_f1,csvcommons_cell_precision,csvcommons_cell_recall,csvcommons_cell_f1
moj-aramis-data-march-11.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
April-2011-for-publication.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
tetranatrolite.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLA_6%Talc-1hz.csv,1,0.16666666666666666,0.0008250825082508251,0.0016420361247947454,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.25_7.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_5.dat__m23.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub242_nov.csv,1,1.0,1.0,1.0,0.9964285714285714,1.0,0.998211091234347,0.9964285714285714,1.0,0.998211091234347
ResultsOR30x100-0.25_10.dat__m21Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
narrow.csv,1,1.0,1.0,1.0,0.995475113122172,1.0,0.9977324263038548,0.995475113122172,1.0,0.9977324263038548
ResultsOR30x250-0.75_9.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
nati-clin-audi-bowe-canc-2017-tran-main-fiel-list.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
senior-staff-march-2020.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1% nano+20% micro.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_10.dat__m13.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
dwp-cmg-spend-1214.csv,1,0.5,0.4,0.4444444444444445,1.0,1.0,1.0,1.0,1.0,1.0
Batch_3250493_batch_results.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
mos-oct-dec-2014.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
locations-1998.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
public-toilet-borough-grid.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
permanent_secretary_and_director_general_expenses_and_hospitality_april_to_june_2012.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
download (10).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-2016.csv,1,1.0,1.0,1.0,0.058031088082901555,0.9824561403508771,0.1095890410958904,0.058179126572908954,0.9974619289340102,0.10994544691565254
fr_hypo1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1% SiO2_003.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_2.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
prison-and-probation-ombudsman__30-09-2014__justice_PPO-September-Return-senior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub205_over.csv,1,1.0,1.0,1.0,0.9964285714285714,1.0,0.998211091234347,0.9964285714285714,1.0,0.998211091234347
fr_RG65_pageid.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ministry-of-defence__30-09-2012__mod_300912-Air-Govt-data-template-u-senior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Sun2014-Rs.csv,1,0.0,0.0,0.0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.9090909090909091,0.9523809523809523
ResultsOR30x250-0.50_4.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_4.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trinity-house__31-03-2015__dft_310315-Trinity-House-Organogram-ver-1-junior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Feb-2016.csv,1,1.0,1.0,1.0,0.88,0.9565217391304348,0.9166666666666666,0.88,0.9705882352941176,0.9230769230769231
dd_Wickenburg_nobmp_623.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
over25k-transparency.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Copy_of_2016-17_Q3_Final_V2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
10.January_2019.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.25_5.dat__m28.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_1.dat__m21Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
erionite.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
download (6).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_3.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Takakai2008-ch4.csv,1,0.0,0.0,0.0,1.0,0.9166666666666666,0.9565217391304348,1.0,0.9166666666666666,0.9565217391304348
S30out.csv,1,0.0033112582781456954,0.004424778761061947,0.003787878787878788,1.0,1.0,1.0,1.0,1.0,1.0
LOS_1050CFit.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
student_loans_company_limited-2011-09-30-organogram-senior.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
OccurrenceData351.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_1.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokad pollen.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HMRC_spending_over_25000_for_September_2018.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
epcs-dwp-cmg-spend-july-2017.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pssave_traindata_m=10_n=10_timelow=15_timehight=30_numofloop=2000.csv,1,1.0,1.0,1.0,0.9,1.0,0.9473684210526316,0.9,1.0,0.9473684210526316
hist_2000_15O.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mordenite-dh-2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_5.dat__m29Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Oct_2013.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.75_3.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_1.dat__m21.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ministers-overseas-travel-jan-mar-2013.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Consular_cases_April_2016.csv,1,1.0,1.0,1.0,0.5598705501618123,0.9942528735632183,0.7163561076604554,0.5629094640460968,0.9992993764450361,0.7201534927166696
NBA_scores_out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
workforce-management-information-dft_201706.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_3.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.50_6.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
AL5083-emissivity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bioprofile_fits_K1par-0mMCD_sets.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_10.dat__m28Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
wairakite-dh.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine_Cellar_Consumption_dataset_14-15.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W44out.csv,1,0.0033112582781456954,0.004424778761061947,0.003787878787878788,1.0,1.0,1.0,1.0,1.0,1.0
rape_table_3_prosecution_outcomes_0708_1314.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
hypo5.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sustainability_-_Water_consumption_P_56.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i7_v1987.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i12_v2026.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
extended.csv,1,1.0,1.0,1.0,0.995475113122172,1.0,0.9977324263038548,0.995475113122172,1.0,0.9977324263038548
S39.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SouthTrent_Demand_zone-based.csv,1,1.0,1.0,1.0,0.99609375,1.0,0.9980430528375733,0.99609375,1.0,0.9980430528375733
O18_air.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W38out.csv,1,0.0033112582781456954,0.004424778761061947,0.003787878787878788,1.0,1.0,1.0,1.0,1.0,1.0
20170320-ePC_Data-Travel-Stationery.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
business_expenses_apr_jun_14_peter_lewis.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPC_DCLG_December_2015_for_Publication.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,1.0,1.0,1.0,0.9999942308247036,1.0,0.9999971154040309,0.9999942308247036,1.0,0.9999971154040309
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
june_2015(1).csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
planning-application-aug-17.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
air_quality_station3_2006.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spending_2020_01.csv,1,1.0,1.0,1.0,0.0023075719649561953,0.9833333333333333,0.004604339004214141,0.0023180016687526076,0.09911918831530829,0.004530063262919471
Camp Palacios - Humidity.csv,1,1.0,1.0,1.0,0.9999699076163823,1.0,0.9999849535818,0.9999699076163823,1.0,0.9999849535818
fire_archive_V1_50574.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
