"""Url""",Comments,Date,F10,F11,F12,F13,F14,F15,F9,Productid,"ProductType""ProductDescription""",Time,Price,Qty
"""These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.""","""https://www.example.com/product/MG_8769.html""",28/01/2018,,,,,,,,MG-8769,Men's Waterproof Hiking Boots,30/12/1899 00:00:00,74.69,2
"""The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running",biking or walking the dog,29/01/2018,"""https://www.example.com/product/RI_3895.html""",,,,,,"the durable construction and innovative safety features won't let you down.""",RI-3895,Light-Up Running Jacket,30/12/1899 00:15:00,29.81,0
"""Great grip and super extra breathability make these amazing ventilated hikers ideal for warm","dry conditions.""",30/01/2018,,,,,,,"""https://www.example.com/product/RI_8070.html""",RI-8070,Men's Ventilated Trail Shoes,30/12/1899 00:30:00,80.08,1
"""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.""","""https://www.example.com/product/RI_9546.html""",31/01/2018,,,,,,,,RI-9546,Switch Fly Rods,30/12/1899 00:45:00,25.55,1
"Wooden Paddles""","""Add a pop of paddling fun to your bed",13/02/2018,"handhooked on front for a timeless style.""","""https://www.example.com/product/CC_9259.html""",,,,,chair or sofa with this whimsical throw pillow,CC-9259,"""Throw Pillow",30/12/1899 01:00:00,48,9
"""These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way","shape or form.""",14/02/2018,,,,,,,"""https://www.example.com/product/CC_1697.html""",CC-1697,Men's Heavy-Duty Suspenders,30/12/1899 01:15:00,34.22,1
"""All the softness and absorbency you've come to expect from our towels",in certified organic cotton for natural,15/02/2018,"""https://www.example.com/product/RI_6052.html""",,,,,,"ecofriendly comfort.""",RI-6052,Organic Textured Cotton Towel,30/12/1899 01:30:00,89.34,2
"Short-Sleeve""","""Designed with lots of performance features",16/02/2018,"this cycling jersey delivers all-day comfort and serious style.""","""https://www.example.com/product/YY_3522.html""",,,,,plus a semi-form-fitting profile,YY-3522,"""Cycling Jersey",30/12/1899 01:45:00,19.34,2
"Crewneck""","""For strong",17/02/2018,"our men's silk crewneck makes for an ideal first layer against the cold from slope to lodge to shoveling snow.""","""https://www.example.com/product/YY_5315.html""",,,,,lightweight comfort without bulk,YY-5315,"""Men's Silk Underwear",30/12/1899 02:00:00,45.39,0
"Round 48""""""","""Made in the USA to our exacting standards",18/02/2018,"""https://www.example.com/product/BH_9827.html""",,,,,,"this round patio table is durable enough to weather the elements year-round.""",BH-9827,"""All-Weather Dining Table",30/12/1899 02:15:00,78.07,2
"""The warmth and comfort of wool",these socks are designed in a minimal,19/02/2018,"""https://www.example.com/product/BH_7885.html""",,,,,,"no-show style that is of pure elegance and design.""",BH-7885,Women's No-Show Socks,30/12/1899 02:30:00,52.45,1
"""Amazingly crisp action and a remarkably light feel in our 8\'9"""" length fly rod","impeccably designed for her.""",20/02/2018,,,,,,,"""https://www.example.com/product/BH_7531.html""",BH-7531,Women's  Fly Rod 8 Wt.,30/12/1899 02:45:00,48.08,1
"""Our best-value down vest is packed with ultralight 650-fill for warmth and protection","even when wet.""",21/02/2018,,,,,,,"""https://www.example.com/product/BH_3190.html""",BH-3190,Men's Down Vest,30/12/1899 03:00:00,65.38,3
"""Made with the same tropical fabric as our bestselling shirts","this wonderful cap provides UPF 50+ sun protection.""",22/02/2018,,,,,,,"""https://www.example.com/product/HK_3372.html""",HK-3372,Tropic Cap,30/12/1899 03:15:00,6.45,3
"""Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.""","""https://www.example.com/product/HK_5716.html""",23/02/2018,,,,,,,,HK-5716,Women's 3-in-1 Jacket,30/12/1899 03:30:00,46.01,1
"Plaid""","""Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.""",24/02/2018,,,,,,,"""https://www.example.com/product/AN_5096.html""",AN-5096,"""Organic Cotton Oxford Shirt",30/12/1899 03:45:00,33.83,1
"""Just like Mom and Dad our shearling slippers wrap completely around little feet for soft","cozy comfort.""",25/02/2018,,,,,,,"""https://www.example.com/product/AN_8641.html""",AN-8641,Kids' Good Mocs,30/12/1899 04:00:00,65.18,3
"Hooded""","""With its fleece warmth",26/02/2018,and fun colorblocking,"our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.""","""https://www.example.com/product/ZN_4777.html""",,,,sweatshirt styling,ZN-4777,"""Kids' Sweater Fleece",30/12/1899 04:15:00,34.14,2
"Low Ventilated""","""Youll be light on your feet with these ultralightweight",27/02/2018,"airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.""","""https://www.example.com/product/ZN_2049.html""",,,,,breathable hikers. But dont let the comfortable,ZN-2049,"""Women's Hikers",30/12/1899 04:30:00,83.32,0
"Short-Sleeve""","""This women's quarter-zip cycling shirt is our most popular cycling jersey",28/02/2018,"""https://www.example.com/product/GN_5043.html""",,,,,,"thanks in part to sun protection that's built right in. With a more relaxed look and fit than most cycling apparel.""",GN-5043,"""Women's Comfort Cycling Jersey",30/12/1899 04:45:00,69.07,3
"5"""" Inseam""","""Perfect for a day on the bonefish flats",13/03/2018,"quick drying and just may become your everyday underwear.""","""https://www.example.com/product/GN_9860.html""",,,,,these boxers are breathable,GN-9860,"""Men's Boxer",30/12/1899 05:00:00,24.86,0
"24""""""","""An easy-to-ride mountain bike that not only proves to be great fun for all the kids",14/03/2018,"""https://www.example.com/product/YY_2600.html""",,,,,,"but also offers great durability and stability.""",YY-2600,"""Kids' Mountain Bike",30/12/1899 05:15:00,90.99,1
"""Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.""","""https://www.example.com/product/YY_4017.html""",15/03/2018,,,,,,,,YY-4017,Leather Sofa,30/12/1899 05:30:00,69.52,1
"""This 3-in-1 girls' jacket offers three great options for one great price",so she'll stay warm,16/03/2018,"""https://www.example.com/product/RI_9156.html""",,,,,,"dry and comfortable whatever the weather.""",RI-9156,Girls' Waterproof 3-in-1 Jacket,30/12/1899 05:45:00,53.62,1
"""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.""","""https://www.example.com/product/RI_9121.html""",17/03/2018,,,,,,,,RI-9121,Women's No-Show Socks,30/12/1899 06:00:00,9.81,1
"""Let your kids show their spirit for adventure with our fun trucker-style hat","ready to go from trailhead to bus stop and back.""",18/03/2018,,,,,,,"""https://www.example.com/product/RI_7338.html""",RI-7338,Kids' Hat,30/12/1899 06:15:00,43.53,1
