"""ProductDescription""","""Url""",Comments,Date,F10,F11,F12,F13,F14,F15,Product Type,Productid,Time,Price,Qty
"""These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.""","""https://www.example.com/product/MG_8769.html""",,28/01/2018,,,,,,,Men's Waterproof Hiking Boots,MG-8769,30/12/1899 00:00:00,74.69,2
"""The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running",biking or walking the dog,"the durable construction and innovative safety features won't let you down.""",29/01/2018,"""https://www.example.com/product/RI_3895.html""",,,,,,Light-Up Running Jacket,RI-3895,30/12/1899 00:15:00,29.81,0
"""Great grip and super extra breathability make these amazing ventilated hikers ideal for warm","dry conditions.""","""https://www.example.com/product/RI_8070.html""",30/01/2018,,,,,,,Men's Ventilated Trail Shoes,RI-8070,30/12/1899 00:30:00,80.08,1
"""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.""","""https://www.example.com/product/RI_9546.html""",,31/01/2018,,,,,,,Switch Fly Rods,RI-9546,30/12/1899 00:45:00,25.55,1
"Wooden Paddles""","""Add a pop of paddling fun to your bed",chair or sofa with this whimsical throw pillow,13/02/2018,"handhooked on front for a timeless style.""","""https://www.example.com/product/CC_9259.html""",,,,,"""Throw Pillow",CC-9259,30/12/1899 01:00:00,48,9
"""These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way","shape or form.""","""https://www.example.com/product/CC_1697.html""",14/02/2018,,,,,,,Men's Heavy-Duty Suspenders,CC-1697,30/12/1899 01:15:00,34.22,1
"""All the softness and absorbency you've come to expect from our towels",in certified organic cotton for natural,"ecofriendly comfort.""",15/02/2018,"""https://www.example.com/product/RI_6052.html""",,,,,,Organic Textured Cotton Towel,RI-6052,30/12/1899 01:30:00,89.34,2
"Short-Sleeve""","""Designed with lots of performance features",plus a semi-form-fitting profile,16/02/2018,"this cycling jersey delivers all-day comfort and serious style.""","""https://www.example.com/product/YY_3522.html""",,,,,"""Cycling Jersey",YY-3522,30/12/1899 01:45:00,19.34,2
"Crewneck""","""For strong",lightweight comfort without bulk,17/02/2018,"our men's silk crewneck makes for an ideal first layer against the cold from slope to lodge to shoveling snow.""","""https://www.example.com/product/YY_5315.html""",,,,,"""Men's Silk Underwear",YY-5315,30/12/1899 02:00:00,45.39,0
"Round 48""""""","""Made in the USA to our exacting standards","this round patio table is durable enough to weather the elements year-round.""",18/02/2018,"""https://www.example.com/product/BH_9827.html""",,,,,,"""All-Weather Dining Table",BH-9827,30/12/1899 02:15:00,78.07,2
"""The warmth and comfort of wool",these socks are designed in a minimal,"no-show style that is of pure elegance and design.""",19/02/2018,"""https://www.example.com/product/BH_7885.html""",,,,,,Women's No-Show Socks,BH-7885,30/12/1899 02:30:00,52.45,1
"""Amazingly crisp action and a remarkably light feel in our 8\'9"""" length fly rod","impeccably designed for her.""","""https://www.example.com/product/BH_7531.html""",20/02/2018,,,,,,,Women's  Fly Rod 8 Wt.,BH-7531,30/12/1899 02:45:00,48.08,1
"""Our best-value down vest is packed with ultralight 650-fill for warmth and protection","even when wet.""","""https://www.example.com/product/BH_3190.html""",21/02/2018,,,,,,,Men's Down Vest,BH-3190,30/12/1899 03:00:00,65.38,3
"""Made with the same tropical fabric as our bestselling shirts","this wonderful cap provides UPF 50+ sun protection.""","""https://www.example.com/product/HK_3372.html""",22/02/2018,,,,,,,Tropic Cap,HK-3372,30/12/1899 03:15:00,6.45,3
"""Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.""","""https://www.example.com/product/HK_5716.html""",,23/02/2018,,,,,,,Women's 3-in-1 Jacket,HK-5716,30/12/1899 03:30:00,46.01,1
"Plaid""","""Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.""","""https://www.example.com/product/AN_5096.html""",24/02/2018,,,,,,,"""Organic Cotton Oxford Shirt",AN-5096,30/12/1899 03:45:00,33.83,1
"""Just like Mom and Dad our shearling slippers wrap completely around little feet for soft","cozy comfort.""","""https://www.example.com/product/AN_8641.html""",25/02/2018,,,,,,,Kids' Good Mocs,AN-8641,30/12/1899 04:00:00,65.18,3
"Hooded""","""With its fleece warmth",sweatshirt styling,26/02/2018,and fun colorblocking,"our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.""","""https://www.example.com/product/ZN_4777.html""",,,,"""Kids' Sweater Fleece",ZN-4777,30/12/1899 04:15:00,34.14,2
"Low Ventilated""","""Youll be light on your feet with these ultralightweight",breathable hikers. But dont let the comfortable,27/02/2018,"airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.""","""https://www.example.com/product/ZN_2049.html""",,,,,"""Women's Hikers",ZN-2049,30/12/1899 04:30:00,83.32,0
"Short-Sleeve""","""This women's quarter-zip cycling shirt is our most popular cycling jersey","thanks in part to sun protection that's built right in. With a more relaxed look and fit than most cycling apparel.""",28/02/2018,"""https://www.example.com/product/GN_5043.html""",,,,,,"""Women's Comfort Cycling Jersey",GN-5043,30/12/1899 04:45:00,69.07,3
"5"""" Inseam""","""Perfect for a day on the bonefish flats",these boxers are breathable,13/03/2018,"quick drying and just may become your everyday underwear.""","""https://www.example.com/product/GN_9860.html""",,,,,"""Men's Boxer",GN-9860,30/12/1899 05:00:00,24.86,0
"24""""""","""An easy-to-ride mountain bike that not only proves to be great fun for all the kids","but also offers great durability and stability.""",14/03/2018,"""https://www.example.com/product/YY_2600.html""",,,,,,"""Kids' Mountain Bike",YY-2600,30/12/1899 05:15:00,90.99,1
"""Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.""","""https://www.example.com/product/YY_4017.html""",,15/03/2018,,,,,,,Leather Sofa,YY-4017,30/12/1899 05:30:00,69.52,1
"""This 3-in-1 girls' jacket offers three great options for one great price",so she'll stay warm,"dry and comfortable whatever the weather.""",16/03/2018,"""https://www.example.com/product/RI_9156.html""",,,,,,Girls' Waterproof 3-in-1 Jacket,RI-9156,30/12/1899 05:45:00,53.62,1
"""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.""","""https://www.example.com/product/RI_9121.html""",,17/03/2018,,,,,,,Women's No-Show Socks,RI-9121,30/12/1899 06:00:00,9.81,1
"""Let your kids show their spirit for adventure with our fun trucker-style hat","ready to go from trailhead to bus stop and back.""","""https://www.example.com/product/RI_7338.html""",18/03/2018,,,,,,,Kids' Hat,RI-7338,30/12/1899 06:15:00,43.53,1
"""Take your favorite hikes all winter long with these easy-to-use snowshoes. Best of all",this boxed set helps you save money and includes everything you need to get started: snowshoes,"hiking poles and a tough snowshoe storage bag.""",19/03/2018,"""https://www.example.com/product/ZN_6172.html""",,,,,,Men's Snowshoes Set,ZN-6172,30/12/1899 06:30:00,30.79,0
"Pro Freshwater""","""This tippet is field tested in a variety of situations",from spring creeks to tidal rips,20/03/2018,"and is guaranteed to perform under the worst weather conditions.""","""https://www.example.com/product/YY_2057.html""",,,,,"""Tippet Material",YY-2057,30/12/1899 06:45:00,43.4,0
"""Ideal for kayaking",paddle boarding and surfing,this wetsuit covers your core in 3 mm neoprene for maximum warmth,21/03/2018,"while 2 mm thickness on your arms and legs ensures your range of motion is at its best.""","""https://www.example.com/product/BH_5486.html""",,,,,Women's Wet Suit,BH-5486,30/12/1899 07:00:00,0.91,1
"Tall""","""Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.""","""https://www.example.com/product/BH_1732.html""",22/03/2018,,,,,,,"""Waterproof Boots",BH-1732,30/12/1899 07:15:00,65.46,3
"""This pair of water-resistant",remote-controlled heated insoles features thermal technology engineered to keep your feet warm,not hot,24/03/2018,"to avoid sweating and freezing.""","""https://www.example.com/product/BH_4480.html""",,,,,"""Heated Insoles""",BH-4480,30/12/1899 07:45:00,51.42,0
"Pants""","""Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.""","""https://www.example.com/product/BH_1061.html""",25/03/2018,,,,,,,"""Base Layer",BH-1061,30/12/1899 08:00:00,62.55,0
"Camo""","""This camo quarter-zip hoodie is an extremely versatile mid layer thats great for all hunting seasons. Its made from warm","breathable fleece and features an innovative lightweight hood with a built-in face mask.""",26/03/2018,"""https://www.example.com/product/ON_7017.html""",,,,,,"""Quarter-Zip Hoodie",ON-7017,30/12/1899 08:15:00,0.9,2
Traditional Fit,"Short-Sleeve""","""Made of soft cotton that resists wrinkles",27/03/2018,stains,shrinking,fading and pilling,"our resilient tee keeps its shape wash after wash.""","""https://www.example.com/product/ON_1026.html""",,"""Tee",ON-1026,30/12/1899 08:30:00,20.65,3
"""Just as good today as it was back then",our kids' retro fleece pullover combines our soft,warm,28/03/2018,"stretchy fleece with cool colorblock designs and our logo.""","""https://www.example.com/product/AN_6109.html""",,,,,Kids' Pullover,AN-6109,30/12/1899 08:45:00,18.58,4
"""This lightweight fitness vest allows excellent freedom of movement while resisting wind and light rain",making it perfect for running,hiking,29/03/2018,"cycling or walks around town.""","""https://www.example.com/product/AN_9272.html""",,,,,Women's Essential Running Vest,AN-9272,30/12/1899 09:00:00,57.75,3
"Extra-Large""","""We kept the heritage-inspired design of our spacious rolling duffle","then added thoughtful details like easy-rolling spinner wheels.""",30/03/2018,"""https://www.example.com/product/AN_1646.html""",,,,,,"""Rolling Duffle",AN-1646,30/12/1899 09:15:00,78.74,0
"Slightly Fitted Short-Sleeve Stripe""","""Lightweight and breathable",this colorful shirt will be a warm-weather mainstay year after year. Light and comfortable,31/03/2018,"perfect for summer.""","""https://www.example.com/product/AN_9388.html""",,,,,"""Linen Shirt",AN-9388,30/12/1899 09:30:00,64.02,0
"10""""""","""The original boot",made since 1912. Now with even more protection from cold,13/04/2018,wet weather,"with the addition of a waterproof liner and warm insulation.""","""https://www.example.com/product/YY_9611.html""",,,,"""Women's Hunting Shoes",YY-9611,30/12/1899 11:00:00,3.79,4
"Leather/Nubuck""","""Our finest leather Men's slip-on penny loafers are handstitched from supple","fine-grain nubuck leather that molds to your foot for a custom-like feel.""",14/04/2018,"""https://www.example.com/product/RI_1639.html""",,,,,,"""Men's Loafers",RI-1639,30/12/1899 11:15:00,25.14,12
