Comments,Date,F6,Product Description,Product Type,Productid,Time,URL,Price,Qty
,28/01/2018,Men's Waterproof Hiking Boots,https://www.example.com/product/MG_8769.html,These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.,MG-8769,30/12/1899 00:00:00,,74.69,2
,29/01/2018,Light-Up Running Jacket,https://www.example.com/product/RI_3895.html,"The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running, biking or walking the dog, the durable construction and innovative safety features won't let you down.",RI-3895,30/12/1899 00:15:00,,29.81,0
,30/01/2018,Men's Ventilated Trail Shoes,https://www.example.com/product/RI_8070.html,"Great grip and super extra breathability make these amazing ventilated hikers ideal for warm, dry conditions.",RI-8070,30/12/1899 00:30:00,,80.08,1
,31/01/2018,Switch Fly Rods,https://www.example.com/product/RI_9546.html,This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.,RI-9546,30/12/1899 00:45:00,,25.55,1
,13/02/2018,"Throw Pillow, Wooden Paddles",https://www.example.com/product/CC_9259.html,"Add a pop of paddling fun to your bed, chair or sofa with this whimsical throw pillow, handhooked on front for a timeless style.",CC-9259,30/12/1899 01:00:00,,48,9
,14/02/2018,Men's Heavy-Duty Suspenders,https://www.example.com/product/CC_1697.html,"These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way, shape or form.",CC-1697,30/12/1899 01:15:00,,34.22,1
,15/02/2018,Organic Textured Cotton Towel,https://www.example.com/product/RI_6052.html,"All the softness and absorbency you've come to expect from our towels, in certified organic cotton for natural, ecofriendly comfort.",RI-6052,30/12/1899 01:30:00,,89.34,2
,16/02/2018,"Cycling Jersey, Short-Sleeve",https://www.example.com/product/YY_3522.html,"Designed with lots of performance features, plus a semi-form-fitting profile, this cycling jersey delivers all-day comfort and serious style.",YY-3522,30/12/1899 01:45:00,,19.34,2
,17/02/2018,"Men's Silk Underwear, Crewneck",https://www.example.com/product/YY_5315.html,"For strong, lightweight comfort without bulk, our men's silk crewneck makes for an ideal first layer against the cold from slope to lodge to shoveling snow.",YY-5315,30/12/1899 02:00:00,,45.39,0
,18/02/2018,"All-Weather Dining Table, Round 48""",https://www.example.com/product/BH_9827.html,"Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.",BH-9827,30/12/1899 02:15:00,,78.07,2
,19/02/2018,Women's No-Show Socks,https://www.example.com/product/BH_7885.html,"The warmth and comfort of wool, these socks are designed in a minimal, no-show style that is of pure elegance and design.",BH-7885,30/12/1899 02:30:00,,52.45,1
,20/02/2018,Women's  Fly Rod 8 Wt.,https://www.example.com/product/BH_7531.html,"Amazingly crisp action and a remarkably light feel in our 8\'9"" length fly rod, impeccably designed for her.",BH-7531,30/12/1899 02:45:00,,48.08,1
,21/02/2018,Men's Down Vest,https://www.example.com/product/BH_3190.html,"Our best-value down vest is packed with ultralight 650-fill for warmth and protection, even when wet.",BH-3190,30/12/1899 03:00:00,,65.38,3
,22/02/2018,Tropic Cap,https://www.example.com/product/HK_3372.html,"Made with the same tropical fabric as our bestselling shirts, this wonderful cap provides UPF 50+ sun protection.",HK-3372,30/12/1899 03:15:00,,6.45,3
,23/02/2018,Women's 3-in-1 Jacket,https://www.example.com/product/HK_5716.html,Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.,HK-5716,30/12/1899 03:30:00,,46.01,1
,24/02/2018,"Organic Cotton Oxford Shirt, Plaid",https://www.example.com/product/AN_5096.html,Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.,AN-5096,30/12/1899 03:45:00,,33.83,1
,25/02/2018,Kids' Good Mocs,https://www.example.com/product/AN_8641.html,"Just like Mom and Dad our shearling slippers wrap completely around little feet for soft, cozy comfort.",AN-8641,30/12/1899 04:00:00,,65.18,3
