Wakefield Council Purchase Card Spend for Quarter 1st July 2018 to 30th September 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose of Spend,Type,TransNo,Seq No,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract,,,,,,
Wakefield MDC,E08000036,30/09/2018,REGENCULT,4,Children´s and Education Services,4IMPRINT,Promotions,Revenue,10/07/2018,161023,10,151.45,Nil,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,A KHAN (BRADFORD) LTD,Purchase of Food & Drink,Revenue,07/09/2018,161038,383,9.54,Nil,MISC FOOD STORE-CONVENIENCEMRKTSPLTYVENDNG MACS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,BUSINESS,A,Net (Surplus) / Deficit of Trading Operations,AAT-ORG.UK,Training Expenses,Revenue,07/09/2018,161038,149,94.00,Nil,ACCOUNTING AUDITING AND BOOKKEEPING SERVICES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ABBEY STATIONERY,Printing & Stationery,Revenue,06/08/2018,161031,597,20.82,Nil,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,REGENCULT,5,Highways & Transport Services,ABBEYDALE GLOVES,Clothing,Revenue,14/08/2018,161033,145,65.00,Nil,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,REGENCULT,5,Highways & Transport Services,ABBEYDALE GLOVES,Clothing,Revenue,14/08/2018,161033,146,150.00,Nil,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ABBIS FILLING STATIONS,Postage,Revenue,21/09/2018,161043,85,20.16,Nil,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,REGENCULT,5,Highways & Transport Services,ACCOLADE OFFICE SUPPLIES,Equipment,Revenue,07/09/2018,161038,183,33.87,Nil,MISCELLANEOUS GENERAL MERCHANDISE,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,6,Housing Services,ACE TAXIS ,Rent,Revenue,29/08/2018,161036,1,21.00,Nil,LIMOUSINES AND TAXICABS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ACTION ON HEARING LOSS,Other Telephones & Communications Equipment,Revenue,28/09/2018,161045,127,26.62,Nil,HEALTH PRACTITIONERS MEDICAL SRVCS-NOT ELSEWHERE,GPC,Not Yet Available,,,,,,
