Diffusion tube,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
C01,2004,18,18,20,14,12,7,12,16,15,23,20,24
C02,2004,,,,,,,,,,,,
C03,2004,47,46,42,42,43,44,36,42,29,47,38,44
C04,2004,,,,,,,,,,,,
C05,2004,43,46,49,35,39,26,34,38,39,45,29,48
C06,2004,,,,,,,,,,,,
C07,2004,,,,65,66,50,61,60,61,71,46,59
C08,2004,25,26,24,15,19,13,16,16,14,26,18,26
C09,2004,51,,,,,,,48,48,59,42,50
C10,2004,70,54,57,51,46,14,,52,62,75,46,74
C11,2004,,,,,,,,,,,,
C12,2004,36,36,36,27,28,13,26,29,28,32,26,32
C13,2004,,,,,,,,,,,,
C14,2004,,,27,24,30,17,27,29,22,23,26,37
C15,2004,,,49,49,94,23,44,38,39,29,30,43
C16,2004,,,,,,,,,,,,
C17,2004,50,43,44,37,42,37,42,42,36,40,37,44
C18,2004,40,38,34,30,36,30,34,38,29,40,36,40
C19,2004,38,40,30,,,,27,32,26,33,29,40
N01 (ug/m3),2004,53,42,38,49,41,38,44,,43,46,52,43
N02 (ug/m3),2004,30,29,31,17,23,16,24,12,23,31,29,29
N03 (ug/m3),2004,61,55,53,59,,35,54,53,51,59,60,53
NO4 (ug/m3),2004,36,34,35,33,22,19,27,31,26,33,35,37
HB1,2004,58,57,57,56,57,28,51,44,53,58,41,51
GH1,2004,28,28,27,58,67,25,60,51,53,57,34,57
GH2,2004,28,29,23,57,64,29,58,52,53,51,36,57
GH3,2004,30,29,29,67,63,46,57,52,38,61,48,58
AT1,2004,73,53,65,55,37,33,43,49,51,56,32,57
HTA M,2004,88,99,85,67,84,33,75,65,73,60,48,85
HTA F,2004,,,,,,,,,,,,
CB1,2004,,,,,,,,,,,,
CB2,2004,,,,,,,,,,,,
CB3,2004,,,,,,,,,,,,
HP1,2004,,,,,,,,,,,,
HP2,2004,73,60,57,47,53,19,48,44,51,58,39,109
HP3,2004,,,,,,,,,,,,
HP4,2004,,,,,,,,,,,,
HP5,2004,,,,,,,,,,,,
NB1,2004,56,65,58,41,42,23,33,42,41,59,45,65
NB2,2004,33,47,34,36,34,20,,41,24,41,31,44
KX1,2004,53,52,53,,48,,36,50,47,53,39,50
KX2,2004,,,,,,,,,,,,
HTA H,2004,22,49,47,59,64,44,47,43,53,55,39,52
KH1,2004,30,25,17,18,19,15,18,21,19,22,21,31
KH2,2004,81,85,52,53,68,52,62,57,50,46,49,73
KH3,2004,38,30,24,25,21,10,23,18,23,33,20,32
HCF1,2004,38,36,41,34,38,23,32,29,42,47,24,39
WC1,2004,37,33,37,29,35,33,39,34,39,39,29,38
HB2,2004,48,51,54,38,42,39,38,39,62,51,37,55
HB3,2004,40,34,35,22,22,46,,,22,35,28,36
HB4,2004,48,50,41,35,36,26,37,38,39,41,42,48
HB5,2004,40,45,39,41,40,15,33,36,37,27,34,45
CRH1,2004,73,67,64,63,65,35,55,44,64,50,43,66
