file,spreadweb_success,spreadweb_header_precision,spreadweb_header_recall,spreadweb_header_f1,spreadweb_record_precision,spreadweb_record_recall,spreadweb_record_f1,spreadweb_cell_precision,spreadweb_cell_recall,spreadweb_cell_f1
moj-aramis-data-march-11.csv,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.9994292237442922,1.0,0.9997145304025121
April-2011-for-publication.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9970887918486172,0.9970887918486172,0.9970887918486172
tetranatrolite.csv,1,1.0,1.0,1.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.7638888888888888,0.7638888888888888,0.763888888888889
PLA_6%Talc-1hz.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.25_7.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_5.dat__m23.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub242_nov.csv,1,1.0,1.0,1.0,0.9964285714285714,1.0,0.998211091234347,0.9964285714285714,1.0,0.998211091234347
ResultsOR30x100-0.25_10.dat__m21Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
narrow.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_9.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
nati-clin-audi-bowe-canc-2017-tran-main-fiel-list.csv,1,0.875,0.875,0.875,1.0,1.0,1.0,0.5714285714285714,0.17391304347826086,0.26666666666666666
senior-staff-march-2020.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381
1% nano+20% micro.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.33323535175387026,0.39992944496707433
ResultsOR30x100-0.75_10.dat__m13.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
dwp-cmg-spend-1214.csv,1,0.75,0.75,0.75,0.875,0.875,0.875,0.96875,0.96875,0.96875
