id,catid,knv,hid,k,com
1,101492,18,101492,1,14
1,101492,18,96227,1,15
1,101492,18,104658,1,15
1,101492,18,5871165,1,15
1,101492,18,97917,1,16
2,536247,11,536247,1,9
2,536247,11,536201,1,10
2,536247,11,84974,1,10
3,8294315,9,8294315,1,7
3,8294315,9,165080,1,8
3,8294315,9,1868705,1,8
4,84974,66,84974,1,63
4,84974,66,84976,1,64
4,84974,66,165080,1,65
4,84974,66,108395,1,66
5,1080298,19,1080298,1,16
5,1080298,19,461941,1,19
5,1080298,19,165080,1,18
5,1080298,19,84974,1,17
6,4156518,49,4156518,1,46
6,4156518,49,106626,1,47
6,4156518,49,8025004,1,48
6,4156518,49,136920,1,48
7,106626,17,106626,1,15
7,106626,17,3106537,1,16
7,106626,17,136920,1,16
8,154212,24,154212,1,19
8,154212,24,149632,1,20
8,154212,24,5871165,1,20
8,154212,24,87495,1,20
8,154212,24,445649,1,20
8,154212,24,138155,1,20
9,192442,13,192442,1,9
9,192442,13,85536,1,13
9,192442,13,151077,1,10
9,192442,13,4291963,1,10
9,192442,13,423033,1,11
10,872824,3,872824,1,1
10,872824,3,448539,1,2
10,872824,3,329643,1,2
11,87520,23,87520,1,21
11,87520,23,84921,1,22
11,87520,23,108395,1,23
12,84920,11,84920,1,7
12,84920,11,293687,1,10
12,84920,11,99401,1,8
12,84920,11,3930512,1,8
12,84920,11,273608,1,8
13,4006194,10,4006194,1,6
13,4006194,10,5834281,1,7
13,4006194,10,5747345,1,7
13,4006194,10,2279420,1,7
13,4006194,10,11846139,1,7
14,5142800,5,5142800,1,3
14,5142800,5,154211,1,4
14,5142800,5,82811,1,4
15,149632,36,149632,1,33
15,149632,36,149634,1,34
15,149632,36,154211,1,34
15,149632,36,84915,1,34
16,4548566,8,4548566,1,6
16,4548566,8,154211,1,8
16,4548566,8,124542,1,7
17,4210400,2,4210400,1,1
17,4210400,2,2728463,1,2
18,3256580,12,3256580,1,8
18,3256580,12,199398,1,9
18,3256580,12,6320316,1,9
18,3256580,12,6320301,1,9
18,3256580,12,5142800,1,9
19,104861,12,104861,1,10
19,104861,12,85441,1,12
19,104861,12,1351474,1,11
20,84695,39,84695,1,38
20,84695,39,85441,1,39
21,1112666,9,1112666,1,6
21,1112666,9,1112496,1,7
21,1112666,9,169786,1,9
21,1112666,9,81357,1,7
22,104627,22,104627,1,19
22,104627,22,1917545,1,21
22,104627,22,112140,1,20
22,104627,22,4645993,1,20
23,435608,12,435608,1,9
23,435608,12,8808913,1,10
23,435608,12,182953,1,10
23,435608,12,7690187,1,11
24,1457418,6,1457418,1,4
24,1457418,6,1197394,1,5
24,1457418,6,9994402,1,5
25,1294103,6,1294103,1,4
25,1294103,6,1048506,1,5
25,1294103,6,1457418,1,5
26,7076469,9,7076469,1,6
26,7076469,9,3151664,1,7
26,7076469,9,6200508,1,7
26,7076469,9,2167837,1,7
27,175985,16,175985,1,14
27,175985,16,3151664,1,15
27,175985,16,6200508,1,15
28,4967899,6,4967899,1,5
28,4967899,6,84974,1,6
29,1676049,20,1676049,1,15
29,1676049,20,786170,1,16
29,1676049,20,760287,1,16
29,1676049,20,691213,1,16
29,1676049,20,423033,1,17
29,1676049,20,291067,1,17
30,566918,4,566918,1,2
30,566918,4,89356,1,3
30,566918,4,223006,1,3
31,10071972,3,10071972,1,2
31,10071972,3,84961,1,3
32,773864,2,773864,1,1
32,773864,2,166888,1,2
33,213634,10,213634,1,9
33,213634,10,4781934,1,10
34,363403,9,363403,1,6
34,363403,9,209092,1,7
34,363403,9,112012,1,7
34,363403,9,256829,1,7
35,209092,72,209092,1,67
35,209092,72,143586,1,68
35,209092,72,154211,1,69
