"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Objective Value";"Valid?";"ReturnCode";"CompTime"
"Org";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0.998988185578669";"0.990446915589308";"0.988378994720565";"0.989286167110435";"0.9953672392804";"0.996275126838353";"0.999794309221803";"0.987951427219681";"0.991767421032689";"0.99939055977085";"0.986107034536738";"0.984576180257511";"0.996483870967742";"0.990936755755491";"0.998877245508982";"0.997086487000032";"0.992473706217233";"0.999020499545232";"0.996377037916172";"0.997798876441407";"0.933452406614726";"0.982074430083783";"0.980191460465733";"0.995706311721769";"0.968433794773108";"0.99244923857868";"0.980597014925373";"0.979274611398964";"0.993792950565285";"0.979642420436895";"56357";"TRUE";"TIME_LIMIT";"1440.00475478172"
"Org_kmax_kmin";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0.998988185578669";"0.990446915589308";"0.988378994720565";"0.989286167110435";"0.9953672392804";"0.996275126838353";"0.999794309221803";"0.987951427219681";"0.991767421032689";"0.99939055977085";"0.986107034536738";"0.984576180257511";"0.996483870967742";"0.990936755755491";"0.998877245508982";"0.997086487000032";"0.992473706217233";"0.999020499545232";"0.996377037916172";"0.997798876441407";"0.933452406614726";"0.982074430083783";"0.980191460465733";"0.995706311721769";"0.968433794773108";"0.99244923857868";"0.980597014925373";"0.979274611398964";"0.993792950565285";"0.979642420436895";"56357";"TRUE";"TIME_LIMIT";"1440.00288701057"
"Dim.  1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1.01017766270869";"1.04872977126842";"0.971947143169535";"1.02063522251807";"0.986135533612877";"1.1314623338257";"1.12663695577648";"1.01236398044472";"0.881574868244291";"1.14279184568973";"0.939405798519388";"1.0087178111588";"1.03196774193548";"0.961133897856576";"1.01041099618944";"1.04905469170599";"0.888295648258338";"0.907926957251802";"0.994940346055344";"0.994809290712573";"0.954423675053121";"0.940345521854907";"1.06939613766604";"0.924530171417247";"1.03854987894966";"1.0244923857868";"0.918291521117815";"0.922344157306987";"0.980872153782817";"1.1075713011005";"58276";"FALSE";"TIME_LIMIT";"0.0946249961853027"
"Dim.  2";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0.987560634467161";"1.05111050839285";"0.965605573084252";"0.978794218333967";"0.95593804950629";"1.11441140581851";"1.13736715803908";"1.0566787572938";"0.873376735214082";"1.11137520187708";"0.960669210449075";"1.00784603004292";"1.05245161290323";"0.945785922201641";"0.988976592270005";"1.08195838743389";"0.914734167443955";"0.925208143846638";"0.967081016927978";"1.00427083675548";"0.945831921904351";"0.931382736896798";"1.05816688197688";"0.908577468045051";"1.0259482276988";"1.01751269035533";"0.958431248015243";"0.925691114472372";"0.999398296228267";"1.12373178227965";"58244";"FALSE";"TIME_LIMIT";"0.0304269790649414"
"Dim.  3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"1";"0.511620986221468";"1.0577404092457";"1.05785511230515";"0.925954101686319";"1.0147436764507";"0.949393102562456";"0.995817620843332";"1.10515691531304";"0.96052495608143";"0.985830514672274";"0.883996999641261";"0.979747854077253";"1.04893548387097";"1.02725588780101";"1.01364316820904";"0.931785793457263";"0.911871602714612";"1.09878961729518";"0.928477731276157";"0.889286770261835";"1.08256089674499";"0.956777294278106";"0.996886283083242";"0.950985896885425";"0.96070519585325";"1.03940355329949";"1.0181009844395";"0.898271811540566";"1.03265034677138";"0.957929872104167";"45516";"FALSE";"TIME_LIMIT";"0.0360260009765625"
"Dim.  4";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0.99315537303217";"1.02441008950366";"0.989847240011246";"1.00846329402815";"1.0119369674016";"1.10047524243787";"0.999897154610902";"0.986153603532566";"0.924218938376218";"1.10787092055947";"0.918794638489385";"1.09136936695279";"0.99858064516129";"0.887040222281027";"1.05848530212303";"1.05659182316243";"0.968543951625872";"0.877352550199398";"0.927041039415329";"0.995729163244522";"0.945647153019431";"1.02519971423004";"1.05094570870185";"0.900056148231331";"1.01365696194674";"1.00333121827411";"0.956525881232137";"0.944839571332025";"1.04313265984736";"1.15889487425229";"58024";"FALSE";"TIME_LIMIT";"0.0427150726318359"
"Dim.  5";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0.989971133529744";"1.06138685471476";"0.952485083252632";"1.01534170153417";"1.02921682672799";"1.14456361184253";"0.995063421323277";"0.999243021605425";"0.895559918707588";"1.12475241490691";"0.965822000456576";"1.02347103004292";"1.06287096774194";"0.962754697009791";"1.06784158954818";"1.05608512524939";"0.919462223794667";"0.917092282935703";"0.940564682366169";"1.01038141857485";"0.984387029224279";"0.966941612002338";"1.03064029944682";"0.969779040195528";"1.01527096654044";"0.990767766497462";"0.930168307399174";"0.936214720175072";"1.0252398897932";"0.986648600416405";"57726";"FALSE";"TIME_LIMIT";"0.0581841468811035"
"Dim.  6";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0.999285778055531";"1.05758972968086";"0.9101246446534";"1.03410675795613";"0.994352766130123";"0.989242823196969";"0.999211518683579";"0.983535719917994";"0.943853122524198";"1.11094859371667";"0.896715911685093";"1.11826046137339";"1.03187096774194";"0.901792802328658";"1.06447332607512";"1.06555404249929";"0.937377376089544";"0.950955012943399";"1.0008745080892";"1.08433259962548";"0.929171927447418";"1.01337922972008";"1.02934843817284";"0.948607854146712";"1.01837482152834";"1.01821065989848";"0.909177516671959";"0.977922955620635";"1.00826550970643";"0.990779602762814";"57594";"FALSE";"TIME_LIMIT";"0.0633249282836914"
"Dim.  7";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0.981251673957682";"1.11026730554802";"0.938989722282965";"0.988176746544947";"0.99925605302313";"0.999646779269154";"0.992629413781282";"0.992146349156285";"0.916193035031518";"1.14035408477314";"0.998336757655807";"0.98112258583691";"1.04877419354839";"1.01177560201111";"1.05637588459445";"1.05842860309719";"0.89929561609469";"0.960784999650178";"0.969798238490849";"1.06067873451822";"0.983678748498753";"0.94297590439696";"1.05876312564179";"0.920930078937808";"1.05962505431746";"0.962309644670051";"0.92035566846618";"1.00086892157178";"0.976596890141559";"0.998744175286692";"57492";"FALSE";"TIME_LIMIT";"0.0771839618682861"
"Dim.  8";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0.999880963009255";"1.13081999819185";"0.96826091031208";"1.08529859262077";"0.988198295685108";"0.977361762250337";"0.998525882756256";"0.995773537296956";"0.998449932830423";"0.985800042660816";"0.97824739914555";"0.993830472103004";"1.08877419354839";"0.969237893622651";"1.06338459444747";"1.04892801722773";"0.926666881090991";"0.904008955432729";"1.00687113498657";"1.04734058280495";"0.906599328673051";"0.990744950314996";"1.02212726489781";"0.961125606896324";"1.00015519274939";"0.983565989847716";"0.985392187996189";"0.914169858076143";"1.00079171548912";"0.996662150104101";"57346";"FALSE";"TIME_LIMIT";"0.0959219932556152"
