"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Objective Value";"Valid?";"ReturnCode";"CompTime"
"Org";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0.975961961785683";"0.968747486123401";"0.979312333309306";"0.99181080667381";"0.995891831525207";"0.988052438537241";"0.975752007350298";"0.996650522790024";"0.999031870812841";"0.983547462796931";"0.993626259809585";"0.963946948711492";"0.999833159541189";"0.996366572466694";"0.98756446514723";"0.985247585781796";"0.99542627883651";"0.968362548097478";"0.990540094599054";"0.997735906980314";"0.979932798207952";"41528";"TRUE";"OPTIMAL";"6.3914589881897"
"Org_kmax_kmin";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0.975961961785683";"0.968747486123401";"0.979312333309306";"0.99181080667381";"0.995891831525207";"0.988052438537241";"0.975752007350298";"0.996650522790024";"0.999031870812841";"0.983547462796931";"0.993626259809585";"0.963946948711492";"0.999833159541189";"0.996366572466694";"0.98756446514723";"0.985247585781796";"0.99542627883651";"0.968362548097478";"0.990540094599054";"0.997735906980314";"0.979932798207952";"41528";"TRUE";"OPTIMAL";"16.3729481697083"
"Dim.  1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1.01985559566787";"0.995776687313973";"1.00396453542853";"0.98851982243992";"1.03270580727505";"1.01746740748811";"0.902968082131586";"1.03313266645544";"0.940827944080858";"0.96852759035031";"1.10954865952277";"1.05523377822547";"0.958206465067779";"1.05002018570852";"0.944767925469972";"0.985165399630162";"0.994944834503511";"0.983909207509037";"1.05243280900524";"1.0395256916996";"0.920057868209819";"42666";"FALSE";"OPTIMAL";"0.0113608837127686"
"Dim.  2";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1.03231487188518";"1.00707907650229";"0.967274562099041";"1.01641665391091";"1.04179961710274";"1.00875186113229";"0.968881076978389";"1.02910424116236";"0.970181621035511";"0.948932433681486";"1.06545034458033";"1.04209686896667";"0.964796663190824";"1.0502220427937";"0.936948926967227";"0.922005342099856";"1.01961885656971";"0.959928485366707";"1.07160928390716";"1.04013968302698";"0.899057308194885";"42562";"FALSE";"OPTIMAL";"0.00423002243041992"
"Dim.  3";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.02694373514132";"0.999316225565119";"0.9684639227276";"1.00294657890709";"1.00929323548181";"0.973453898391255";"0.984939879359246";"0.994161046485312";"0.941331371258181";"0.964460671041686";"1.08477074453253";"1.02807856962982";"0.983441084462982";"1.0624142107388";"0.931292630178007";"0.924676392027943";"0.996509528585757";"0.991021804189825";"1.09591904080959";"1.02148969645804";"0.977179391450439";"42479";"FALSE";"OPTIMAL";"0.0122950077056885"
"Dim.  4";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0.972307827771419";"1.02497787788593";"1.01834498666474";"0.952204194091535";"1.00590299936184";"0.977775356792679";"0.939040466584109";"1.02702213370751";"0.950005808775123";"1.01543580737591";"1.05835955861849";"1.06858054226475";"0.918456725755996";"1.04561970125151";"0.918690733654966";"0.970947195397575";"1.03614844533601";"1.00501379766023";"0.999963333699996";"1.03227291914502";"0.99934664924398";"42351";"FALSE";"OPTIMAL";"0.136132001876831"
"Dim.  5";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.05542837016818";"1.04677821575095";"1.00209039140777";"1.04033369049441";"0.948627951499681";"0.970911864037477";"0.961171253944793";"0.967772597655366";"0.917283042249158";"1.03969867825122";"1.0828586224754";"1.04327205573743";"0.988196037539103";"0.993742430359306";"0.89864415238729";"0.921964249024039";"1.06254764292879";"0.962688017412259";"0.999376672899938";"1.04370850761733";"0.998599962665671";"42333";"FALSE";"OPTIMAL";"0.235594034194946"
"Dim.  6";"1";"1";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1.05688121863168";"1.02401254927198";"0.9677791393354";"1.0720955150773";"0.988194001276324";"0.949014053818499";"0.983981144888747";"0.943918888335672";"0.977810479030322";"0.973472594509659";"1.00768832410469";"1.00415512465374";"0.986277372262774";"1.04844570044409";"0.999792047912161";"0.923566878980892";"1.04986960882648";"1.00676279684403";"0.999156675099916";"1.00633178556353";"0.994633190218406";"42295";"FALSE";"OPTIMAL";"0.162653923034668"
"Dim.  7";"1";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.08413313375011";"1.00096532861395";"0.996576083038997";"0.98894076228379";"1.01447830248883";"0.981987870864655";"0.94195661726521";"1.01145159100167";"0.905936568175657";"0.915287919401054";"1.04047325020914";"1.00415512465374";"0.990698644421272";"1.02539362131611";"0.994510064881051";"0.987918635709883";"1.04830491474423";"0.985347273504606";"0.996516701499652";"0.989715645266511";"0.988613029680791";"42234";"FALSE";"OPTIMAL";"0.1770920753479"
"Dim.  8";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.00567931672096";"1.00080444051162";"0.996684206732502";"0.990471452625134";"0.939653797064454";"0.993753858445001";"0.949426756681181";"1.00344000362106";"0.975448243813654";"0.96478417598669";"0.989602836314385";"1.06627213967934";"0.987236704900939";"1.08328623334679";"0.99887705872567";"0.998643928498048";"1.00068204613842";"0.983753740914921";"0.998276683899828";"0.97985340957059";"0.9754526787381";"42103";"FALSE";"OPTIMAL";"0.607478857040405"
