"ID:GO:0014069      Name:postsynaptic density"
"C=186; O=67; E=21.62; R=3.1; PValue=0e+00; FDR=0e+00"
"userid","Gene Symbol","Gene Name","Entrez Gene"
"RGS14","RGS14","regulator of G-protein signaling 14","10636"
"LZTS1","LZTS1","leucine zipper tumor suppressor 1","11178"
"SYNPO","SYNPO","synaptopodin","11346"
"ADORA1","ADORA1","adenosine A1 receptor","134"
"ADORA2A","ADORA2A","adenosine A2a receptor","135"
"CTNNA2","CTNNA2","catenin alpha 2","1496"
"DAB1","DAB1","DAB1, reelin adaptor protein","1600"
"DLG2","DLG2","discs large MAGUK scaffold protein 2","1740"
"DLG4","DLG4","discs large MAGUK scaffold protein 4","1742"
"DRD2","DRD2","dopamine receptor D2","1813"
"DRP2","DRP2","dystrophin related protein 2","1821"
"NLGN4Y","NLGN4Y","neuroligin 4, Y-linked","22829"
"CNKSR2","CNKSR2","connector enhancer of kinase suppressor of Ras 2","22866"
"NLGN1","NLGN1","neuroligin 1","22871"
"SORCS3","SORCS3","sortilin related VPS10 domain containing receptor 3","22986"
"IGSF9B","IGSF9B","immunoglobulin superfamily member 9B","22997"
"EPB41L3","EPB41L3","erythrocyte membrane protein band 4.1 like 3","23136"
"SYT11","SYT11","synaptotagmin 11","23208"
"ARC","ARC","activity regulated cytoskeleton associated protein","23237"
"MAPK8IP2","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","23542"
"GAP43","GAP43","growth associated protein 43","2596"
"CACNG5","CACNG5","calcium voltage-gated channel auxiliary subunit gamma 5","27091"
"PCLO","PCLO","piccolo presynaptic cytomatrix protein","27445"
"GPER1","GPER1","G protein-coupled estrogen receptor 1","2852"
"GRIA1","GRIA1","glutamate ionotropic receptor AMPA type subunit 1","2890"
"GRIK2","GRIK2","glutamate ionotropic receptor kainate type subunit 2","2898"
"GRIK5","GRIK5","glutamate ionotropic receptor kainate type subunit 5","2901"
"GRIN2A","GRIN2A","glutamate ionotropic receptor NMDA type subunit 2A","2903"
"GRIN2C","GRIN2C","glutamate ionotropic receptor NMDA type subunit 2C","2905"
"GRM1","GRM1","glutamate metabotropic receptor 1","2911"
"GRM3","GRM3","glutamate metabotropic receptor 3","2913"
"GRM5","GRM5","glutamate metabotropic receptor 5","2915"
"ITPR1","ITPR1","inositol 1,4,5-trisphosphate receptor type 1","3708"
"KCNH1","KCNH1","potassium voltage-gated channel subfamily H member 1","3756"
"LRP4","LRP4","LDL receptor related protein 4","4038"
"MAP1B","MAP1B","microtubule associated protein 1B","4131"
"NEFH","NEFH","neurofilament heavy","4744"
"NTRK2","NTRK2","neurotrophic receptor tyrosine kinase 2","4915"
"PALM","PALM","paralemmin","5064"
"SHANK1","SHANK1","SH3 and multiple ankyrin repeat domains 1","50944"
"PDE4B","PDE4B","phosphodiesterase 4B","5142"
"PRKCG","PRKCG","protein kinase C gamma","5582"
"ANKS1B","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B","56899"
"NLGN4X","NLGN4X","neuroligin 4, X-linked","57502"
"LRFN1","LRFN1","leucine rich repeat and fibronectin type III domain containing 1","57622"
"DLGAP3","DLGAP3","DLG associated protein 3","58512"
"CACNG8","CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8","59283"
"CLSTN2","CLSTN2","calsyntenin 2","64084"
"CPEB1","CPEB1","cytoplasmic polyadenylation element binding protein 1","64506"
"SPOCK1","SPOCK1","SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1","6695"
"SYN1","SYN1","synapsin I","6853"
"CACNA1C","CACNA1C","calcium voltage-gated channel subunit alpha1 C","775"
"SYNDIG1","SYNDIG1","synapse differentiation inducing 1","79953"
"SRCIN1","SRCIN1","SRC kinase signaling inhibitor 1","80725"
"CAMK2A","CAMK2A","calcium/calmodulin dependent protein kinase II alpha","815"
"NETO1","NETO1","neuropilin and tolloid like 1","81832"
"SYN3","SYN3","synapsin III","8224"
"ITGA8","ITGA8","integrin subunit alpha 8","8516"
"MPDZ","MPDZ","multiple PDZ domain crumbs cell polarity complex component","8777"
"LIN7A","LIN7A","lin-7 homolog A, crumbs cell polarity complex component","8825"
"BSN","BSN","bassoon presynaptic cytomatrix protein","8927"
"KALRN","KALRN","kalirin, RhoGEF kinase","8997"
"DCLK1","DCLK1","doublecortin like kinase 1","9201"
"DLGAP2","DLGAP2","DLG associated protein 2","9228"
"DLGAP1","DLGAP1","DLG associated protein 1","9229"
"CABP1","CABP1","calcium binding protein 1","9478"
"MAGI2","MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2","9863"
