id,catid,knv,hid,k,com
1,1585667,231059,1585667,5,20073
1,1585667,231059,36771252,5,20104
1,1585667,231059,8843955,5,27259
1,1585667,231059,36771257,5,20106
1,1585667,231059,36658666,5,28119
1,1585667,231059,7787969,5,31044
1,1585667,231059,691008,5,229788
1,1585667,231059,699703,5,29838
1,1585667,231059,7345184,5,230377
1,1585667,231059,36658670,5,28200
1,1585667,231059,19023060,5,152889
1,1585667,231059,1784082,5,229816
1,1585667,231059,890039,5,228371
1,1585667,231059,36659029,5,31732
1,1585667,231059,1617394,5,181165
1,1585667,231059,7684410,5,32639
1,1585667,231059,25063390,5,228959
1,1585667,231059,4787400,5,31895
1,1585667,231059,26794717,5,223822
1,1585667,231059,694863,5,230133
1,1585667,231059,1633936,5,228801
1,1585667,231059,692675,5,228405
1,1585667,231059,20675825,5,28214
1,1585667,231059,10821359,5,46267
1,1585667,231059,1612019,5,31733
1,1585667,231059,4681099,5,142151
1,1585667,231059,1055905,5,227010
1,1585667,231059,2315922,5,230474
1,1585667,231059,26201565,5,229817
1,1585667,231059,1063460,5,225440
1,1585667,231059,14656170,5,228374
1,1585667,231059,14104879,5,230393
1,1585667,231059,714674,5,31798
1,1585667,231059,2688181,5,228939
1,1585667,231059,902386,5,225684
1,1585667,231059,1209234,5,226451
1,1585667,231059,1004110,5,230331
1,1585667,231059,8899078,5,228411
1,1585667,231059,815949,5,227326
1,1585667,231059,737037,5,223770
1,1585667,231059,10340059,5,47749
1,1585667,231059,5335000,5,135261
1,1585667,231059,49438905,5,228375
1,1585667,231059,2389032,5,228338
1,1585667,231059,28059872,5,227015
1,1585667,231059,4339469,5,28246
1,1585667,231059,37535091,5,177860
1,1585667,231059,945435,5,28219
1,1585667,231059,873749,5,228940
1,1585667,231059,3598957,5,227070
1,1585667,231059,744023,5,228964
1,1585667,231059,50053927,5,227083
1,1585667,231059,16473127,5,230475
1,1585667,231059,6535870,5,64636
1,1585667,231059,10844347,5,95457
1,1585667,231059,716885,5,229420
1,1585667,231059,39157130,5,229358
1,1585667,231059,5183917,5,228936
1,1585667,231059,693678,5,225454
1,1585667,231059,2999304,5,230134
1,1585667,231059,12322905,5,229252
1,1585667,231059,983652,5,226263
1,1585667,231059,56248692,5,225686
1,1585667,231059,56248162,5,229889
1,1585667,231059,34275570,5,228315
1,1585667,231059,14105005,5,230547
1,1585667,231059,805431,5,29964
1,1585667,231059,39681638,5,229818
2,23210501,262679,23210501,5,7005
2,23210501,262679,7821381,5,259588
2,23210501,262679,698290,5,132060
2,23210501,262679,30881781,5,261924
2,23210501,262679,56659459,5,260607
2,23210501,262679,1245670,5,258061
2,23210501,262679,56691321,5,261124
2,23210501,262679,4225851,5,175236
2,23210501,262679,694873,5,261001
2,23210501,262679,35505592,5,262186
2,23210501,262679,40249123,5,257820
2,23210501,262679,36985507,5,261006
2,23210501,262679,56652185,5,260608
2,23210501,262679,41030203,5,258063
2,23210501,262679,1784082,5,261331
2,23210501,262679,1017749,5,257811
2,23210501,262679,40455234,5,257816
2,23210501,262679,2524202,5,257893
2,23210501,262679,7496144,5,257822
2,23210501,262679,694863,5,261670
2,23210501,262679,54800035,5,260609
2,23210501,262679,871525,5,261003
2,23210501,262679,695042,5,259704
2,23210501,262679,1036222,5,262191
2,23210501,262679,1055905,5,257837
