"Data_x","Data_y",x0001,y0001
897.508789,-74.29730219,897.508789,247.3668272,
896.357422,53.94787318,896.357422,252.6003304,
895.206055,195.1600994,895.206055,258.0331423,
894.054688,51.89333955,894.054688,263.6674263,
892.90332,73.65126172,892.90332,269.5063867,
891.750977,36.80227826,891.750977,275.5705392,
890.598633,39.02022241,890.598633,281.8768893,
889.446289,-19.50178713,889.446289,288.4422234,
888.293945,-67.15608328,888.293945,295.2786604,
887.140625,-12.8833862,887.140625,302.4052821,
885.987305,19.68924349,885.987305,309.831842,
884.833984,28.4102138,884.833984,317.5756312,
883.679688,76.13428147,883.679688,325.6623507,
882.526367,45.8558488,882.526367,334.0985126,
881.37207,-25.55201807,881.37207,342.9201277,
880.216797,17.84551335,880.216797,352.1516275,
879.0625,93.70935965,879.0625,361.8027195,
877.907227,5.057616171,877.907227,371.9170851,
876.751953,100.3956789,876.751953,382.516363,
875.59668,72.39198313,875.59668,393.632586,
874.44043,-16.12756908,874.44043,405.310616,
873.28418,-104.6190589,873.28418,417.5790788,
872.12793,-28.71662954,872.12793,430.4790595,
870.97168,185.5188876,870.97168,444.0552695,
869.814453,62.56088166,869.814453,458.3688391,
868.658203,60.68474215,868.658203,473.4488122,
867.5,67.48690256,867.5,489.3927022,
866.342773,180.1499765,866.342773,506.2250512,
865.18457,187.0072115,865.18457,524.0442943,
864.027344,170.1630916,864.027344,542.8972034,
862.868164,200.8580867,862.868164,562.9175701,
861.709961,117.2328094,861.709961,584.1494919,
860.550781,232.1717652,860.550781,606.7318752,
859.391602,256.5350449,859.391602,630.7613617,
858.232422,276.6395218,858.232422,656.3642963,
857.073242,232.1275052,857.073242,683.6808044,
855.913086,273.9213295,855.913086,712.8920966,
854.75293,343.7853674,854.75293,744.149913,
853.592773,482.6380397,853.592773,777.6485154,
852.431641,451.3491778,852.431641,813.6364758,
851.270508,547.2139001,851.270508,852.3308683,
850.109375,548.392305,850.109375,894.0061112,
848.948242,605.6279829,848.948242,938.9713482,
847.786133,602.6757439,847.786133,987.6181537,
846.625,713.856797,846.625,1040.260301,
845.462891,782.0690011,845.462891,1097.435732,
844.299805,852.5061034,844.299805,1159.668465,
843.137695,974.6245336,843.137695,1227.43897,
841.974609,1047.358737,841.974609,1301.53175,
840.811523,1206.143145,840.811523,1382.663341,
839.647461,1165.145081,839.647461,1471.800762,
838.484375,1504.526482,838.484375,1569.822998,
837.320313,1721.460007,837.320313,1678.089213,
836.155273,1869.712045,836.155273,1798.018682,
834.991211,1904.248666,834.991211,1931.036452,
833.826172,2190.02712,833.826172,2079.272956,
832.661133,2413.586662,832.661133,2244.863248,
831.496094,2780.929406,831.496094,2430.444384,
830.330078,3146.108696,830.330078,2639.309862,
829.165039,3444.796001,829.165039,2874.77766,
827.999023,3822.827291,827.999023,3141.572214,
826.832031,4185.840247,826.832031,3444.877873,
825.666016,4383.835769,825.666016,3790.17313,
824.499023,4879.715086,824.499023,4185.023113,
823.332031,5390.531706,823.332031,4637.223529,
822.164063,5659.285352,822.164063,5156.397273,
820.99707,6229.984457,820.99707,5751.809649,
819.829102,6723.537757,819.829102,6435.184362,
818.661133,7490.983781,818.661133,7216.543391,
817.492188,8185.515249,817.492188,8105.331964,
816.324219,8809.319889,816.324219,9104.19752,
815.155273,9920.659526,815.155273,10210.17757,
813.985352,10845.6562,813.985352,11404.15162,
812.816406,12215.08611,812.816406,12642.93743,
811.646484,13505.01043,811.646484,13859.43076,
810.476563,14662.06341,810.476563,14954.6792,
809.306641,15677.78827,809.306641,15812.16837,
808.135742,16460.43601,808.135742,16320.93888,
806.964844,16822.2457,806.964844,16406.28861,
805.793945,16050.42684,805.793945,16057.72698,
804.623047,15633.46213,804.623047,15332.07101,
803.451172,14662.0352,803.451172,14332.10307,
802.279297,13433.07162,802.279297,13176.95056,
801.107422,11878.487,801.107422,11972.3493,
799.935547,10819.53949,799.935547,10796.77602,
798.762695,9541.645287,798.762695,9698.649574,
797.589844,8552.27609,797.589844,8704.242985,
796.416992,7708.452274,796.416992,7821.879638,
795.243164,6686.211665,795.243164,7048.828729,
794.070313,6056.567564,794.070313,6378.583299,
792.896484,5655.266566,792.896484,5799.719462,
791.72168,5194.707521,791.72168,5301.523469,
790.547852,4900.57728,790.547852,4874.296732,
789.373047,4400.310662,789.373047,4507.699817,
788.198242,3962.151006,788.198242,4193.573334,
787.022461,3781.771275,787.022461,3924.273159,
785.847656,3471.904915,785.847656,3693.837828,
784.671875,3326.081219,784.671875,3496.394744,
783.496094,3265.529132,783.496094,3327.464432,
782.319336,3413.465829,782.319336,3182.94222,
781.143555,3045.130901,781.143555,3059.659034,
779.966797,2821.590055,779.966797,2954.492476,
778.789063,2647.162374,778.789063,2864.981029,
777.612305,2980.503324,777.612305,2789.115323,
776.43457,2908.34157,776.43457,2724.90048,
775.256836,2944.620092,775.256836,2670.778216,
774.079102,2736.988367,774.079102,2625.325997,
772.900391,2584.761846,772.900391,2587.264211,
