Created as New Dataset,Sample 012 By Analyst Date Wednesday, January 20 2016
cm-1,A
4000.00,0.0066
3999.00,0.0066
3998.00,0.0066
3997.00,0.0067
3996.00,0.0067
3995.00,0.0067
3994.00,0.0067
3993.00,0.0067
3992.00,0.0067
3991.00,0.0066
3990.00,0.0066
3989.00,0.0066
3988.00,0.0066
3987.00,0.0066
3986.00,0.0067
3985.00,0.0066
3984.00,0.0066
3983.00,0.0066
3982.00,0.0066
3981.00,0.0066
3980.00,0.0066
3979.00,0.0067
3978.00,0.0066
3977.00,0.0066
3976.00,0.0066
3975.00,0.0066
3974.00,0.0066
3973.00,0.0066
3972.00,0.0066
3971.00,0.0066
3970.00,0.0066
3969.00,0.0066
3968.00,0.0066
3967.00,0.0066
3966.00,0.0066
3965.00,0.0066
3964.00,0.0066
3963.00,0.0066
3962.00,0.0066
3961.00,0.0066
3960.00,0.0066
3959.00,0.0066
3958.00,0.0066
3957.00,0.0066
3956.00,0.0066
3955.00,0.0066
3954.00,0.0066
3953.00,0.0066
3952.00,0.0066
3951.00,0.0066
3950.00,0.0066
3949.00,0.0066
3948.00,0.0065
3947.00,0.0066
3946.00,0.0066
3945.00,0.0066
3944.00,0.0067
3943.00,0.0066
3942.00,0.0066
3941.00,0.0066
3940.00,0.0066
3939.00,0.0065
3938.00,0.0065
3937.00,0.0065
3936.00,0.0065
3935.00,0.0065
3934.00,0.0065
3933.00,0.0065
3932.00,0.0065
3931.00,0.0066
3930.00,0.0066
3929.00,0.0066
3928.00,0.0066
3927.00,0.0066
3926.00,0.0066
3925.00,0.0066
3924.00,0.0066
3923.00,0.0066
3922.00,0.0066
3921.00,0.0065
3920.00,0.0065
3919.00,0.0065
3918.00,0.0065
3917.00,0.0065
3916.00,0.0065
3915.00,0.0065
3914.00,0.0066
3913.00,0.0066
3912.00,0.0065
3911.00,0.0065
3910.00,0.0065
3909.00,0.0065
3908.00,0.0065
3907.00,0.0065
3906.00,0.0065
3905.00,0.0065
3904.00,0.0064
3903.00,0.0064
3902.00,0.0065
3901.00,0.0065
3900.00,0.0066
3899.00,0.0065
3898.00,0.0065
3897.00,0.0065
3896.00,0.0065
3895.00,0.0065
3894.00,0.0065
3893.00,0.0064
3892.00,0.0064
3891.00,0.0064
3890.00,0.0064
3889.00,0.0064
3888.00,0.0065
3887.00,0.0065
3886.00,0.0065
3885.00,0.0064
3884.00,0.0065
3883.00,0.0066
3882.00,0.0067
3881.00,0.0067
3880.00,0.0066
3879.00,0.0065
3878.00,0.0065
3877.00,0.0066
3876.00,0.0066
3875.00,0.0066
3874.00,0.0065
3873.00,0.0065
3872.00,0.0065
3871.00,0.0065
3870.00,0.0064
3869.00,0.0064
3868.00,0.0064
3867.00,0.0064
3866.00,0.0064
3865.00,0.0064
3864.00,0.0063
3863.00,0.0063
3862.00,0.0064
3861.00,0.0064
3860.00,0.0063
3859.00,0.0063
3858.00,0.0063
3857.00,0.0063
3856.00,0.0063
3855.00,0.0064
3854.00,0.0063
3853.00,0.0063
3852.00,0.0063
3851.00,0.0064
3850.00,0.0064
3849.00,0.0064
3848.00,0.0064
3847.00,0.0063
3846.00,0.0063
3845.00,0.0064
3844.00,0.0064
3843.00,0.0063
3842.00,0.0063
3841.00,0.0063
3840.00,0.0063
3839.00,0.0064
3838.00,0.0064
3837.00,0.0064
3836.00,0.0064
3835.00,0.0064
3834.00,0.0064
3833.00,0.0064
3832.00,0.0064
3831.00,0.0064
3830.00,0.0063
3829.00,0.0064
3828.00,0.0064
3827.00,0.0063
3826.00,0.0063
3825.00,0.0062
3824.00,0.0062
3823.00,0.0063
3822.00,0.0063
3821.00,0.0062
3820.00,0.0062
3819.00,0.0063
3818.00,0.0064
3817.00,0.0064
3816.00,0.0064
3815.00,0.0063
3814.00,0.0063
3813.00,0.0064
3812.00,0.0063
3811.00,0.0063
3810.00,0.0063
3809.00,0.0063
3808.00,0.0063
3807.00,0.0062
3806.00,0.0062
3805.00,0.0063
3804.00,0.0064
3803.00,0.0064
3802.00,0.0064
3801.00,0.0063
3800.00,0.0063
3799.00,0.0064
3798.00,0.0064
3797.00,0.0064
3796.00,0.0063
3795.00,0.0063
3794.00,0.0063
3793.00,0.0064
3792.00,0.0064
3791.00,0.0064
3790.00,0.0064
3789.00,0.0064
3788.00,0.0064
3787.00,0.0064
3786.00,0.0064
3785.00,0.0064
3784.00,0.0064
3783.00,0.0064
3782.00,0.0064
3781.00,0.0064
3780.00,0.0064
3779.00,0.0064
3778.00,0.0063
3777.00,0.0064
3776.00,0.0064
3775.00,0.0064
3774.00,0.0063
3773.00,0.0063
3772.00,0.0063
3771.00,0.0063
3770.00,0.0063
3769.00,0.0063
3768.00,0.0063
3767.00,0.0064
3766.00,0.0064
3765.00,0.0063
3764.00,0.0063
3763.00,0.0063
3762.00,0.0064
3761.00,0.0064
3760.00,0.0064
3759.00,0.0063
3758.00,0.0063
3757.00,0.0063
3756.00,0.0063
3755.00,0.0062
3754.00,0.0062
3753.00,0.0061
3752.00,0.0060
3751.00,0.0060
3750.00,0.0060
3749.00,0.0061
3748.00,0.0061
3747.00,0.0062
3746.00,0.0063
3745.00,0.0063
3744.00,0.0063
3743.00,0.0062
3742.00,0.0063
3741.00,0.0063
3740.00,0.0062
3739.00,0.0062
3738.00,0.0062
3737.00,0.0062
3736.00,0.0061
3735.00,0.0061
3734.00,0.0061
3733.00,0.0062
3732.00,0.0062
3731.00,0.0062
3730.00,0.0062
3729.00,0.0062
3728.00,0.0062
3727.00,0.0062
3726.00,0.0062
3725.00,0.0063
3724.00,0.0063
3723.00,0.0064
3722.00,0.0064
3721.00,0.0064
3720.00,0.0064
3719.00,0.0064
3718.00,0.0064
3717.00,0.0064
3716.00,0.0064
3715.00,0.0064
3714.00,0.0064
3713.00,0.0064
3712.00,0.0063
3711.00,0.0064
3710.00,0.0064
3709.00,0.0065
3708.00,0.0065
3707.00,0.0065
3706.00,0.0065
3705.00,0.0066
3704.00,0.0066
3703.00,0.0067
3702.00,0.0067
3701.00,0.0067
3700.00,0.0067
3699.00,0.0067
3698.00,0.0068
3697.00,0.0068
3696.00,0.0068
3695.00,0.0068
3694.00,0.0068
3693.00,0.0069
3692.00,0.0069
3691.00,0.0069
3690.00,0.0070
3689.00,0.0070
3688.00,0.0071
3687.00,0.0071
3686.00,0.0072
3685.00,0.0072
3684.00,0.0072
3683.00,0.0072
3682.00,0.0073
3681.00,0.0073
3680.00,0.0074
3679.00,0.0075
3678.00,0.0076
3677.00,0.0077
3676.00,0.0078
3675.00,0.0077
3674.00,0.0077
3673.00,0.0078
3672.00,0.0079
3671.00,0.0079
3670.00,0.0078
3669.00,0.0079
3668.00,0.0079
3667.00,0.0080
3666.00,0.0080
3665.00,0.0081
3664.00,0.0081
3663.00,0.0082
3662.00,0.0082
3661.00,0.0082
3660.00,0.0082
3659.00,0.0082
3658.00,0.0082
3657.00,0.0083
3656.00,0.0083
3655.00,0.0083
3654.00,0.0084
3653.00,0.0085
3652.00,0.0086
3651.00,0.0085
3650.00,0.0085
3649.00,0.0086
3648.00,0.0088
3647.00,0.0089
3646.00,0.0089
3645.00,0.0090
3644.00,0.0090
3643.00,0.0090
3642.00,0.0090
3641.00,0.0090
3640.00,0.0091
3639.00,0.0091
3638.00,0.0091
3637.00,0.0092
3636.00,0.0092
3635.00,0.0092
3634.00,0.0092
3633.00,0.0092
3632.00,0.0092
3631.00,0.0093
3630.00,0.0094
3629.00,0.0094
3628.00,0.0095
3627.00,0.0096
3626.00,0.0097
3625.00,0.0098
3624.00,0.0098
3623.00,0.0099
3622.00,0.0100
3621.00,0.0101
3620.00,0.0103
3619.00,0.0103
3618.00,0.0104
3617.00,0.0105
3616.00,0.0106
3615.00,0.0106
3614.00,0.0107
3613.00,0.0107
3612.00,0.0108
3611.00,0.0108
3610.00,0.0110
3609.00,0.0111
3608.00,0.0113
3607.00,0.0115
3606.00,0.0116
3605.00,0.0117
3604.00,0.0118
3603.00,0.0119
3602.00,0.0120
3601.00,0.0121
3600.00,0.0122
3599.00,0.0124
3598.00,0.0125
3597.00,0.0126
3596.00,0.0128
3595.00,0.0129
3594.00,0.0130
3593.00,0.0130
3592.00,0.0131
3591.00,0.0132
3590.00,0.0133
3589.00,0.0135
3588.00,0.0136
3587.00,0.0138
3586.00,0.0139
3585.00,0.0139
3584.00,0.0140
3583.00,0.0140
3582.00,0.0141
3581.00,0.0142
3580.00,0.0143
3579.00,0.0144
3578.00,0.0144
3577.00,0.0145
3576.00,0.0146
3575.00,0.0147
3574.00,0.0147
3573.00,0.0148
3572.00,0.0149
3571.00,0.0149
3570.00,0.0151
3569.00,0.0152
3568.00,0.0153
3567.00,0.0154
3566.00,0.0155
3565.00,0.0155
3564.00,0.0156
3563.00,0.0156
3562.00,0.0156
3561.00,0.0157
3560.00,0.0157
3559.00,0.0158
3558.00,0.0158
3557.00,0.0159
3556.00,0.0160
3555.00,0.0161
3554.00,0.0162
3553.00,0.0163
3552.00,0.0164
3551.00,0.0164
3550.00,0.0165
3549.00,0.0166
3548.00,0.0166
3547.00,0.0167
3546.00,0.0168
3545.00,0.0169
3544.00,0.0170
3543.00,0.0171
3542.00,0.0172
3541.00,0.0173
3540.00,0.0173
3539.00,0.0174
3538.00,0.0175
3537.00,0.0176
3536.00,0.0177
3535.00,0.0178
3534.00,0.0179
3533.00,0.0180
3532.00,0.0181
3531.00,0.0181
3530.00,0.0182
3529.00,0.0183
3528.00,0.0184
3527.00,0.0185
3526.00,0.0186
3525.00,0.0187
3524.00,0.0189
3523.00,0.0190
3522.00,0.0191
3521.00,0.0192
3520.00,0.0193
3519.00,0.0194
3518.00,0.0196
3517.00,0.0197
3516.00,0.0198
3515.00,0.0199
3514.00,0.0200
3513.00,0.0201
3512.00,0.0202
3511.00,0.0204
3510.00,0.0205
3509.00,0.0207
3508.00,0.0208
3507.00,0.0209
3506.00,0.0210
3505.00,0.0212
3504.00,0.0213
3503.00,0.0214
3502.00,0.0216
3501.00,0.0217
3500.00,0.0219
3499.00,0.0220
3498.00,0.0221
3497.00,0.0223
3496.00,0.0224
3495.00,0.0225
3494.00,0.0227
3493.00,0.0228
3492.00,0.0229
3491.00,0.0231
3490.00,0.0232
3489.00,0.0233
3488.00,0.0235
3487.00,0.0236
3486.00,0.0238
3485.00,0.0239
3484.00,0.0240
3483.00,0.0242
3482.00,0.0243
3481.00,0.0245
3480.00,0.0246
3479.00,0.0248
3478.00,0.0249
3477.00,0.0250
3476.00,0.0252
3475.00,0.0253
3474.00,0.0255
3473.00,0.0256
3472.00,0.0257
3471.00,0.0259
3470.00,0.0260
3469.00,0.0261
3468.00,0.0262
3467.00,0.0264
3466.00,0.0265
3465.00,0.0266
3464.00,0.0268
3463.00,0.0269
3462.00,0.0270
3461.00,0.0272
3460.00,0.0273
3459.00,0.0274
3458.00,0.0275
3457.00,0.0277
3456.00,0.0278
3455.00,0.0279
3454.00,0.0280
3453.00,0.0281
3452.00,0.0282
3451.00,0.0284
3450.00,0.0285
3449.00,0.0286
3448.00,0.0287
3447.00,0.0288
3446.00,0.0289
3445.00,0.0290
3444.00,0.0291
3443.00,0.0293
3442.00,0.0294
3441.00,0.0295
3440.00,0.0296
3439.00,0.0297
3438.00,0.0298
3437.00,0.0299
3436.00,0.0299
3435.00,0.0300
3434.00,0.0301
3433.00,0.0302
3432.00,0.0303
3431.00,0.0304
3430.00,0.0305
3429.00,0.0305
3428.00,0.0306
3427.00,0.0307
3426.00,0.0307
3425.00,0.0308
3424.00,0.0309
3423.00,0.0310
3422.00,0.0311
3421.00,0.0311
3420.00,0.0312
3419.00,0.0313
3418.00,0.0313
3417.00,0.0314
3416.00,0.0314
3415.00,0.0315
3414.00,0.0315
3413.00,0.0316
3412.00,0.0317
3411.00,0.0317
3410.00,0.0318
3409.00,0.0318
3408.00,0.0319
3407.00,0.0319
3406.00,0.0320
3405.00,0.0321
3404.00,0.0321
3403.00,0.0322
3402.00,0.0322
3401.00,0.0322
3400.00,0.0323
3399.00,0.0323
3398.00,0.0324
3397.00,0.0324
3396.00,0.0324
3395.00,0.0325
3394.00,0.0325
3393.00,0.0326
3392.00,0.0327
3391.00,0.0327
3390.00,0.0328
3389.00,0.0328
3388.00,0.0329
3387.00,0.0329
3386.00,0.0330
3385.00,0.0330
3384.00,0.0331
3383.00,0.0332
3382.00,0.0332
3381.00,0.0333
3380.00,0.0333
3379.00,0.0334
3378.00,0.0334
3377.00,0.0335
3376.00,0.0335
3375.00,0.0336
3374.00,0.0336
3373.00,0.0337
3372.00,0.0337
3371.00,0.0338
3370.00,0.0338
3369.00,0.0339
3368.00,0.0339
3367.00,0.0340
3366.00,0.0340
3365.00,0.0340
3364.00,0.0341
3363.00,0.0341
3362.00,0.0341
3361.00,0.0341
3360.00,0.0341
3359.00,0.0341
3358.00,0.0340
3357.00,0.0340
3356.00,0.0340
3355.00,0.0340
3354.00,0.0340
3353.00,0.0339
3352.00,0.0339
3351.00,0.0339
3350.00,0.0338
3349.00,0.0338
3348.00,0.0337
3347.00,0.0337
3346.00,0.0337
3345.00,0.0336
3344.00,0.0336
3343.00,0.0336
3342.00,0.0335
3341.00,0.0335
3340.00,0.0334
3339.00,0.0333
3338.00,0.0333
3337.00,0.0333
3336.00,0.0332
3335.00,0.0332
3334.00,0.0331
3333.00,0.0331
3332.00,0.0331
3331.00,0.0330
3330.00,0.0329
3329.00,0.0329
3328.00,0.0328
3327.00,0.0328
3326.00,0.0327
3325.00,0.0327
3324.00,0.0327
3323.00,0.0326
3322.00,0.0326
3321.00,0.0325
3320.00,0.0325
3319.00,0.0324
3318.00,0.0324
3317.00,0.0323
3316.00,0.0322
3315.00,0.0322
3314.00,0.0321
3313.00,0.0320
3312.00,0.0319
3311.00,0.0319
3310.00,0.0318
3309.00,0.0318
3308.00,0.0317
3307.00,0.0316
3306.00,0.0316
3305.00,0.0315
3304.00,0.0314
3303.00,0.0313
3302.00,0.0313
3301.00,0.0312
3300.00,0.0311
3299.00,0.0310
3298.00,0.0310
3297.00,0.0309
3296.00,0.0308
3295.00,0.0307
3294.00,0.0307
3293.00,0.0306
3292.00,0.0305
3291.00,0.0304
3290.00,0.0303
3289.00,0.0303
3288.00,0.0302
3287.00,0.0301
3286.00,0.0300
3285.00,0.0300
3284.00,0.0299
3283.00,0.0298
3282.00,0.0297
3281.00,0.0296
3280.00,0.0295
3279.00,0.0294
3278.00,0.0293
3277.00,0.0293
3276.00,0.0292
3275.00,0.0291
3274.00,0.0290
3273.00,0.0289
3272.00,0.0288
3271.00,0.0288
3270.00,0.0287
3269.00,0.0286
3268.00,0.0285
3267.00,0.0285
3266.00,0.0284
3265.00,0.0283
3264.00,0.0283
3263.00,0.0282
3262.00,0.0281
3261.00,0.0280
3260.00,0.0280
3259.00,0.0279
3258.00,0.0279
3257.00,0.0278
3256.00,0.0277
3255.00,0.0275
3254.00,0.0275
3253.00,0.0274
3252.00,0.0273
3251.00,0.0273
3250.00,0.0272
3249.00,0.0271
3248.00,0.0270
3247.00,0.0270
3246.00,0.0269
3245.00,0.0269
3244.00,0.0268
3243.00,0.0268
3242.00,0.0267
3241.00,0.0266
3240.00,0.0266
3239.00,0.0265
3238.00,0.0264
3237.00,0.0264
3236.00,0.0263
3235.00,0.0262
3234.00,0.0262
3233.00,0.0261
3232.00,0.0261
3231.00,0.0260
3230.00,0.0260
3229.00,0.0260
3228.00,0.0259
3227.00,0.0258
3226.00,0.0258
3225.00,0.0257
3224.00,0.0256
3223.00,0.0256
3222.00,0.0255
3221.00,0.0255
3220.00,0.0254
3219.00,0.0254
3218.00,0.0253
3217.00,0.0253
3216.00,0.0252
3215.00,0.0252
3214.00,0.0252
3213.00,0.0251
3212.00,0.0251
3211.00,0.0250
3210.00,0.0250
3209.00,0.0249
3208.00,0.0248
3207.00,0.0247
3206.00,0.0247
3205.00,0.0247
3204.00,0.0246
3203.00,0.0246
3202.00,0.0245
3201.00,0.0244
3200.00,0.0244
3199.00,0.0243
3198.00,0.0243
3197.00,0.0242
3196.00,0.0242
3195.00,0.0241
3194.00,0.0241
3193.00,0.0240
3192.00,0.0239
3191.00,0.0238
3190.00,0.0238
3189.00,0.0237
3188.00,0.0237
3187.00,0.0236
3186.00,0.0236
3185.00,0.0235
3184.00,0.0234
3183.00,0.0234
3182.00,0.0233
3181.00,0.0232
3180.00,0.0232
3179.00,0.0231
3178.00,0.0230
3177.00,0.0229
3176.00,0.0229
3175.00,0.0228
3174.00,0.0227
3173.00,0.0227
3172.00,0.0226
3171.00,0.0225
3170.00,0.0224
3169.00,0.0224
3168.00,0.0223
3167.00,0.0223
3166.00,0.0222
3165.00,0.0222
3164.00,0.0221
3163.00,0.0220
3162.00,0.0219
3161.00,0.0219
3160.00,0.0218
3159.00,0.0217
3158.00,0.0217
3157.00,0.0216
3156.00,0.0215
3155.00,0.0215
3154.00,0.0214
3153.00,0.0213
3152.00,0.0212
3151.00,0.0211
3150.00,0.0211
3149.00,0.0210
3148.00,0.0209
3147.00,0.0209
3146.00,0.0208
3145.00,0.0208
3144.00,0.0207
3143.00,0.0206
3142.00,0.0206
3141.00,0.0205
3140.00,0.0205
3139.00,0.0205
3138.00,0.0205
3137.00,0.0204
3136.00,0.0204
3135.00,0.0204
3134.00,0.0204
3133.00,0.0203
3132.00,0.0203
3131.00,0.0203
3130.00,0.0203
3129.00,0.0203
3128.00,0.0203
3127.00,0.0203
3126.00,0.0202
3125.00,0.0202
3124.00,0.0201
3123.00,0.0201
3122.00,0.0200
3121.00,0.0200
3120.00,0.0200
3119.00,0.0199
3118.00,0.0199
3117.00,0.0198
3116.00,0.0198
3115.00,0.0197
3114.00,0.0197
3113.00,0.0197
3112.00,0.0197
3111.00,0.0197
3110.00,0.0198
3109.00,0.0198
3108.00,0.0198
3107.00,0.0199
3106.00,0.0199
3105.00,0.0200
3104.00,0.0201
3103.00,0.0202
3102.00,0.0202
3101.00,0.0203
3100.00,0.0203
3099.00,0.0203
3098.00,0.0203
3097.00,0.0203
3096.00,0.0202
3095.00,0.0202
3094.00,0.0201
3093.00,0.0201
3092.00,0.0200
3091.00,0.0200
3090.00,0.0199
3089.00,0.0199
3088.00,0.0199
3087.00,0.0198
3086.00,0.0199
3085.00,0.0199
3084.00,0.0199
3083.00,0.0200
3082.00,0.0201
3081.00,0.0202
3080.00,0.0203
3079.00,0.0204
3078.00,0.0206
3077.00,0.0207
3076.00,0.0209
3075.00,0.0211
3074.00,0.0212
3073.00,0.0214
3072.00,0.0215
3071.00,0.0217
3070.00,0.0218
3069.00,0.0219
3068.00,0.0221
3067.00,0.0222
3066.00,0.0224
