Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes
1,Antonia Romeo,SCS4,Permanent Secretary,Permanent Secretary,Department for International Trade,Department for International Trade,DIT,020 7215 5000,enquiries@trade.gov.uk,xx,"£1,008,439.00",1,"165,000","169,999",Policy,
2,Crawford Falconer,SCS4,Chief Trade Negotiation Adviser & Second Permanent Secretary,Chief Trade Negotiation Adviser & Second Permanent Secretary,Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,1,"£435,430.00",1,"265,000","269,999",Policy,
3,Catherine Vaughan,SCS3,Chief Operating Officer,Chief Operating Officer,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,1,"£618,091.00",1,"140,000","144,999",Finance,
4,John Alty,SCS3,Director General Trade Policy Group,Director General Trade Policy Group,Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,2,"£1,558,948.00",1,"135,000","139,999",Other,
5,John Mahon,SCS3,Director General Exports & Investment,Director General Exports & Investment,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,1,"£952,953.00",1,"140,000","144,999",International Trade,
6,Darren Tierney,SCS3,Director General Global Trade & Investment Policy and Programmes,Director General Global Trade & Investment Policy and Programmes,Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,1,"£2,421,440.20",1,"100,000","104,999",Policy,
136,Mark Slaughter,SCS3,Director General for Investment,Director General for Investment,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,1,"£120,700.00",1,"140,000","144,999",International Trade,
7,Conrad Bird,SCS2,Director of Campaigns and Marketing,Director of Campaigns and Marketing,Department for International Trade,Department for International Trade,Communication and Marketing,020 7215 5000,enquiries@trade.gov.uk,8,"£950,420.00",1,"100,000","104,999",Communications,
8,Toby Orr,SCS2,Director of Communication and Marketing,Director of Communication and Marketing,Department for International Trade,Department for International Trade,Communication and Marketing,020 7215 5000,enquiries@trade.gov.uk,1,"£717,895.60",1,"120,000","124,999",Communications,
9,Edward Pikett,SCS2,"Director of Digital, Data and Technology","Director of Digital, Data and Technology",Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,3,"£749,319.00",1,"90,000","94,999","Digital, Data and Technology",
10,James Norton,SCS2,HR & Organisational Development Director,HR & Organisational Development Director,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,3,"£1,250,219.24",1,"95,000","99,999",Human Resources,
11,Richard Price,SCS2,Chief Economist,Chief Economist,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,3,"£1,614,298.00",1,"115,000","119,999",Economics,
12,Bidesh Sarkar,SCS2,Director of Finance & Business Services,Director of Finance,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,3,"£1,828,782.40",1,"120,000","124,999",Finance,
13,Christopher Allan,SCS2,"Director, Global Strategy Director","Director, Global Strategy Director",Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,16,"£486,228.00",1,"90,000","94,999",Policy,
14,Susan Caldwell,SCS2,"Director, Financial & Professional Services","Director, Financial & Professional Services",Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,6,"£450,883.00",0.9,"120,000","124,999",International Trade,
15,Michael Charlton,SCS2,Director Investment,Director Investment,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,5,"£64,845.00",1,"125,000","129,999",Finance,
16,Anthony Green,SCS2,Director Ministerial Strategy Directorate,Director Ministerial Strategy Directorate,Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,1,"£1,233,590.80",1,"95,000","99,999",Policy,
17,Michael Short,SCS2,Chief Scientific Adviser,Chief Scientific Adviser,Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,16,£0.00,0.91,"120,000","124,999",Science and Engineering,
18,Oliver Griffiths,SCS2,Director Americas Negotiation Directorate,Director Americas Negotiation Directorate,Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,2,"£912,139.00",1,"105,000","109,999",International Trade,
19,Graham Zebedee,SCS2,"Director of Continuity, Negotiations and Development","Director of Continuity, Negotiations and Development",Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,2,"£589,971.00",1,"95,000","99,999",International Trade,
20,Vivien Life,SCS2,"Director, Asia & Australasia Negotiations","Director, Asia & Australasia Negotiations",Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,2,"£518,998.00",1,"95,000","99,999",International Trade,
21,Amanda Brooks,SCS2,"Director, Controls, Remedies and WTO","Director, Controls, Remedies and WTO",Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,4,"£1,104,011.00",1,"100,000","104,999",International Trade,
22,Mark Goldsack,SCS2,Director of Defence & Security,Director of Defence & Security,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,5,"£642,081.00",1,"125,000","129,999",International Trade,
23,Jennifer Kathryn Ashby,SCS2,"Director, Policy (Job share)","Director, Policy (Job share)",Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,18,"£1,085,491.00",0.6,"75,000","79,999",International Trade,
24,Ian Shepherd,SCS2,"Director, Policy (Job share)","Director, Policy (Job share)",Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,18,"£1,209,765.00",0.58,"70,000","74,999",International Trade,
25,Marian Sudbury,SCS2,"Director, UK Regions","Director, UK Regions",Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,6,"£1,977,703.00",1,"100,000","104,999",International Trade,
26,Claire Vince,SCS2,Director of Trade Policy Engagement and Delivery,Director of Trade Policy Engagement and Delivery,Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,4,"£778,857.00",1,"95,000","99,999",International Trade,
