"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Objective Value";"Valid?";"ReturnCode";"CompTime"
"Org";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.999694669347961";"0.997845055246868";"0.99205590290548";"0.995974033058753";"0.997903283827535";"0.998715302641001";"0.995404862815079";"0.999737461144249";"0.998983152441504";"0.979490366687383";"0.98515532835234";"0.995850579894267";"0.996089511511232";"0.999768247732139";"0.995829893082221";"0.996871943035239";"0.99945775154593";"0.999654731198083";"0.977720732712176";"0.993581489134449";"0.985755848538271";"0.997554466288849";"0.99660213520146";"0.998441791379407";"0.998884069566682";"0.994051641060292";"0.99681851363572";"0.99390692414944";"0.996617625697744";"0.997411269956995";"149958";"TRUE";"TIME_LIMIT";"1440.00720000267"
"Org_kmax_kmin";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.999694669347961";"0.997845055246868";"0.99205590290548";"0.995974033058753";"0.997903283827535";"0.998715302641001";"0.995404862815079";"0.999737461144249";"0.998983152441504";"0.979490366687383";"0.98515532835234";"0.995850579894267";"0.996089511511232";"0.999768247732139";"0.995829893082221";"0.996871943035239";"0.99945775154593";"0.999654731198083";"0.977720732712176";"0.993581489134449";"0.985755848538271";"0.997554466288849";"0.99660213520146";"0.998441791379407";"0.998884069566682";"0.994051641060292";"0.99681851363572";"0.99390692414944";"0.996617625697744";"0.997411269956995";"149958";"TRUE";"TIME_LIMIT";"1440.00204586983"
"Dim.  1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1.03954558376062";"0.999049289079501";"1.03047338832554";"1.01743494626589";"0.978930058070816";"0.998957499684091";"1.00398170867723";"1.00417961858355";"0.967460878128144";"0.968131844581128";"0.955039979027395";"1.01718167288226";"1.0007842463178";"1.00349835566248";"0.974341823350508";"1.01030552585481";"1.03527743307924";"1.02377277250848";"0.972724007521498";"0.99409057786562";"0.995132977860457";"0.973375580814256";"0.983545525095958";"1.00042598509052";"1.02740346148987";"0.986342036177542";"0.998823285865266";"1.01791693655516";"1.00789566516569";"1.01375725108568";"151541";"FALSE";"OPTIMAL";"0.00838208198547363"
"Dim.  2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.999252466334663";"0.99618659286333";"1.01294593600588";"1.02235557252741";"0.997821059663909";"0.99918916642096";"1.01194512603168";"1.00664748382761";"0.984458287842785";"0.951694134287735";"0.980982653908332";"1.02726322691693";"1.00963656091875";"1.00193126889885";"0.96926244499953";"1.01316058875719";"1.01064683983858";"1.00704754554502";"0.976474192389766";"1.00575969015462";"1.0046398944397";"0.978085891397038";"0.989292530989785";"1.00997701922538";"1.02090790415631";"0.976117948093091";"1.01865309813578";"1.0038863943263";"1.00478305077712";"1.00807261123615";"151291";"FALSE";"TIME_LIMIT";"0.0299808979034424"
"Dim.  3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.999989471356826";"0.991559799716899";"1.00929963747176";"1.02127543505537";"0.992281206639601";"1.00719219914915";"1.01300468436315";"1.00353902377552";"0.977629353713099";"0.978268789781616";"0.97095512736488";"1.01766321052416";"0.998184416058786";"1.00563930518463";"0.966597339074633";"1.02135041062857";"1.01839473601885";"1.01700956597681";"0.953751241258372";"1.00231585462023";"0.994776062903557";"0.980042318365958";"0.986817543050108";"1.01538030379463";"1.0284667536952";"0.979208436257297";"0.999803880977544";"1.0096062006653";"1.0030607374821";"1.01314440887142";"151199";"FALSE";"TIME_LIMIT";"0.0357799530029297"
"Dim.  4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0.999957885427305";"0.98436608708512";"1.00633636315872";"1.01671485461786";"0.99580656765507";"1.00115833368434";"1.0014164621905";"0.994602201125767";"0.96133838546015";"0.98110842030818";"0.965744745925635";"1.02417933691242";"1.00718713406315";"1.02458781203787";"0.964360740376877";"1.0143890620379";"1.01818617892113";"1.01305928468428";"0.982305465762397";"0.989658511264836";"1.00262819195535";"0.972227243245542";"0.975438890869811";"1.01823888795471";"1.03019328757317";"0.968508036376929";"1.01063400921759";"1.01455751095107";"1.00483492768359";"1.01824790524191";"151092";"FALSE";"TIME_LIMIT";"0.0426759719848633"
"Dim.  5";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.999547268343529";"0.986436524200875";"1.01141175852467";"1.01736948338879";"0.985826609794954";"1.00910871488143";"1.01245817532902";"0.999684953373099";"0.990323892706527";"0.972803840466342";"0.960173897845939";"1.01123929347158";"0.996497749320499";"1.00625731123226";"0.974038732872775";"1.00935004663649";"1.01906211873156";"1.01522229217865";"0.975534005197439";"0.990207528523942";"0.998107269167956";"0.968877925336793";"0.99088659101873";"0.999159239952917";"1.0241188360635";"0.975309325741883";"1.01303101949205";"1.01100047207615";"1.0135813741155";"1.00116228695808";"151008";"FALSE";"OPTIMAL";"0.0320138931274414"
"Dim.  6";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.999463039198139";"0.97321107895126";"1.01181106499238";"1.02112268834215";"0.989876149853538";"1.00183227328251";"1.01285969217042";"1.01291691170293";"0.999422002440434";"0.969974925526671";"0.996460872984664";"1.00905700586042";"1.00629545674291";"1.01543911536849";"0.968760778001902";"1.00735946493164";"1.01435915617798";"0.995927859130329";"0.984154148443937";"0.992223919184659";"0.994202835851567";"0.967920977362864";"0.981301256370997";"1.0034303009921";"1.03067755927064";"0.974290240038991";"1.00095880410978";"1.00682863635865";"1.00778153597145";"0.996259549243985";"150884";"FALSE";"TIME_LIMIT";"0.0627880096435547"
"Dim.  7";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.998252245233157";"0.982665370882894";"1.00977250039405";"1.03304784245268";"0.998119122257053";"1.00410681942631";"1.00186259201428";"1.00719356464757";"0.997366900006422";"0.95696620303894";"0.997476733516844";"1.01279660669645";"1.00351299377974";"1.00590416491933";"0.968008277505461";"1.01344495757217";"1.03212822090368";"1.00352377277251";"0.991485495763876";"0.995777558170874";"0.991964005667377";"0.969409563100086";"0.984908865910187";"1.00600863180315";"0.999410451846549";"0.977037340629396";"0.993462699251479";"1.00725679844544";"1.00178456558279";"0.994188565209581";"150840";"FALSE";"TIME_LIMIT";"0.0769820213317871"
"Dim.  8";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0.998747091462323";"0.985633701645786";"1.02225608154258";"0.996563198952594";"0.993555681175806";"1.00204287940693";"1.00548739683248";"1.00191128286986";"0.993353028064993";"0.97021066843831";"0.99032201686547";"1.01907708700463";"1.01545932125093";"1.00721742777054";"0.967893312151838";"1.00514138817481";"1.02426561831966";"0.995856774376993";"0.988527603473411";"0.994210363449425";"0.997274467601856";"0.978181586194431";"0.984929840384252";"1.01534667339275";"0.997494420347833";"0.973681004020958";"1.00116581863349";"1.00485250365036";"1.00578946276276";"0.997749389799347";"150759";"FALSE";"TIME_LIMIT";"0.0963208675384521"
