"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Objective Value";"Valid?";"ReturnCode";"CompTime"
"Org";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0.988328008519702";"0.967674348997306";"0.945912152623724";"0.984998561505898";"0.997071802697241";"0.962363919129082";"0.917504107600015";"0.990829193733282";"0.875127441784593";"0.994280974417183";"0.993752210302959";"0.974357824898014";"0.998620535381403";"0.980839744050615";"0.985818152764461";"0.997968238172244";"0.98565033677781";"0.977678207739308";"0.977599557522124";"0.987424647690527";"0.997885586749677";"0.981796217612264";"0.999962352232513";"41469";"TRUE";"OPTIMAL";"27.5750660896301"
"Org_kmax_kmin";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0.988328008519702";"0.967674348997306";"0.945912152623724";"0.984998561505898";"0.997071802697241";"0.962363919129082";"0.917504107600015";"0.990829193733282";"0.875127441784593";"0.994280974417183";"0.993752210302959";"0.974357824898014";"0.998620535381403";"0.980839744050615";"0.985818152764461";"0.997968238172244";"0.98565033677781";"0.977678207739308";"0.977599557522124";"0.987424647690527";"0.997885586749677";"0.981796217612264";"0.999962352232513";"41469";"TRUE";"OPTIMAL";"36.2528471946716"
"Dim.  1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0.955654952076677";"0.960832941377688";"0.950510224660186";"0.893428136944639";"0.964985359013486";"0.90268829149078";"0.951281953307096";"1.03366450133741";"1.0188409934342";"1.0357984807474";"1.03768320955637";"1.04012193481867";"1.0803817761539";"0.945646703573226";"1.06236017897092";"1.03429116390928";"0.990377776848094";"1.03307535641548";"0.982142857142857";"1.02730647930057";"0.981166059751752";"1.0532783470799";"1.0617799864468";"42899";"FALSE";"OPTIMAL";"0.0128569602966309"
"Dim.  2";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0.996123535676251";"0.943558387138154";"0.92852821360868";"0.931938679051416";"0.980080009898132";"0.892112863808043";"0.993045737648542";"1.05697363393198";"1.03564291831491";"1.05234436392212";"1.02951000039294";"0.999148249428431";"1.10976064424726";"0.939930979941045";"1.05021572387344";"1.00194883277356";"0.997699033594109";"0.980366598778004";"0.971950063211125";"0.993013693161404";"0.975723403422217";"1.05994334749646";"1.0638882614261";"42873";"FALSE";"OPTIMAL";"0.0352821350097656"
"Dim.  3";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0.992161874334398";"0.922649335100697";"0.971967894163675";"0.864165056923267";"0.996205716171073";"0.875449900022217";"0.938061212792786";"1.03232709209018";"0.965865992414665";"0.980136208853575";"1.06738968132343";"1.06083292240104";"0.998210424278577";"1.00762096484291";"1.02952221156919";"1.07289463863665";"1.05463749320169";"0.995967413441955";"1.00189633375474";"1.04259651083876";"1.03445710482008";"1.03032575189536";"1.05101272494541";"42612";"FALSE";"OPTIMAL";"0.0678229331970215"
"Dim.  4";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0.996762513312034";"0.958352931115577";"0.948533860363812";"0.989971641116271";"0.95417989854415";"0.963696956231949";"0.937220587673379";"1.01092854413451";"0.956363932955426";"1.00593730900201";"1.01159181107313";"1.0305733626216";"0.998471404071285";"1.00427780573729";"1.01098593799936";"1.06779450180371";"1.00845082207254";"1.04114052953157";"0.982142857142857";"1.00926184678031";"1.00873174360782";"1.00687328167958";"1.07932384609593";"42526";"FALSE";"OPTIMAL";"0.100322961807251"
"Dim.  5";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0.983897763578275";"0.939154230983025";"0.934094300810713";"0.962927951995397";"1.04153091104054";"0.89642301710731";"0.943945588628635";"1.01413832632786";"0.940785449206802";"1.03470706365145";"1.0701009862863";"0.975209575469584";"0.998657818208933";"1.00262420015817";"1.01298338127197";"1.04913546461003";"1.00677739195917";"0.99112016293279";"1.04069216182048";"1.03517106471316";"1.04780923293786";"1.01557943847371";"0.991190422407951";"42444";"FALSE";"OPTIMAL";"0.130402088165283"
"Dim.  6";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0.998807241746539";"0.945482533031171";"0.934457306497802";"0.999630101516584";"0.990349321565555";"0.941435236614086";"0.903137060104696";"1.04394344669469";"0.96517270910648";"1.04636339823627";"1.02719163817832";"1.00121038239118";"0.999440757587055";"0.996656840894385";"1.03707254713966";"1.03491313181573";"1.00903652261222";"1.00228105906314";"1.02263748419722";"1.01660744939918";"1.04287560202044";"0.980546530034158";"0.995294029064076";"42360";"FALSE";"OPTIMAL";"0.157572031021118"
"Dim.  7";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0.999275825346113";"0.945653568221662";"0.977533981365708";"0.997657309605031";"0.972120262300491";"0.929615640968674";"0.972526842688472";"1.00022927015667";"0.943925614779169";"1.04282720684537";"1.0665252072773";"0.961895369166629";"0.998173141451048";"0.978862606945143";"1.00327580696708";"1.05158187170875";"0.983516713383257";"0.963380855397149";"1.04669721871049";"1.02710687053375";"1.031050550139";"0.996834124802133";"0.990964535803027";"42287";"FALSE";"OPTIMAL";"0.0969839096069336"
"Dim.  8";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0.986070287539936";"1.00192414589302";"0.984673093211794";"0.969709424191361";"0.97141914463645";"0.946323039324594";"0.994383095793053";"0.992701566679404";"0.963459891521553";"1.02082423819087";"0.999842822900703";"0.939256735553862";"0.999888151517411";"0.960744841469552";"0.996684244167466";"1.0467305220384";"1.04664686441033";"1.01319755600815";"0.99359987357775";"1.01848377180726";"1.01382199772896";"1.0355744397234";"0.998192907160605";"42207";"FALSE";"OPTIMAL";"1.21367692947388"
