Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. ()",Total Cost of Use of Official Secure Car,Booked through
"Ind, Mr. Hugh Timothy",03/10/2016,,,EDAG Meeting in Liverpool - Evening Meal for 4 persons,Miscellaneous,,,,74.42,,
"Ind, Mr. Hugh Timothy",03/10/2016,,,Fares - in connection with visit to Liverpool for EDAG Meeting,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Ind, Mr. Hugh Timothy",03/10/2016,,Liverpool,External Meeting,,,Hotel Room,,138.60,,Redfern
"Ind, Mr. Hugh Timothy",03/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,156.00,,Redfern
"Lloyd, Ms. Myrtle",03/10/2016,,,Parking at railway station,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Tube ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Overnight stay in London,T&S - Subsistence,,,,25.05,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Meeting overran - used taxi so as not to miss train. fixed train ticket,Taxis,,,,16.04,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Car Parking at railway station.,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",03/10/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",03/10/2016,,,Meal with North Region Director,T&S - Hotels,,,,20.36,,
"Montgomery, Sir Charles Percival",03/10/2016,,Liverpool,External Meeting,,,Hotel Room,,74.60,,Redfern
"Montgomery, Sir Charles Percival",03/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,300.34,,Redfern
"Montgomery, Sir Charles Percival",03/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,137.84,,Redfern
"Riach, Ms. Shona",03/10/2016,,,Taxi to airport to hotel,Taxis,,,,59.50,,
"Riach, Ms. Shona",03/10/2016,,,Dinner before flight,T&S - Subsistence,,,,7.64,,
"Williams, Ms. Wendy",03/10/2016,,London Kings Cross,External Meeting,Rail,Standard,,,140.00,,Redfern
"Cunningham, Mr. Michael Bernard",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",04/10/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Ind, Mr. Hugh Timothy",04/10/2016,,,EDAG Meeting and Visit to Liverpool Teams - Dinner for 2 persons,Miscellaneous,,,,51.09,,
"Lamberti, Mr. David James",04/10/2016,,,OPCC awayday - Yatton st to Wrington,Taxis,,,,20.00,,
"Lamberti, Mr. David James",04/10/2016,,,OPCC awayday - Wrington to Yatton St,Taxis,,,,20.00,,
"Lamberti, Mr. David James",04/10/2016,,London Terminals,External Meeting,Rail,Standard,,,9.80,,Redfern
"Lamberti, Mr. David James",04/10/2016,,Yatton,External Meeting,Rail,Standard,,,63.60,,Redfern
"Leach, Mrs. Paula Michelle",04/10/2016,,Birmingham International,External Meeting,Rail,Standard,,,21.00,,Redfern
"Leach, Mrs. Paula Michelle",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,-70.00,,Redfern
"Leach, Mrs. Paula Michelle",04/10/2016,,London Euston,External Meeting,Rail,Standard,,,75.00,,Redfern
"Lincoln, Mr. Paul Michael",04/10/2016,,,Travel from Darlington to Middlesbrough,Taxis,,,,22.00,,
"Lincoln, Mr. Paul Michael",04/10/2016,,Middlesbrough,External Meeting,Rail,Standard,,,8.56,,Redfern
"Lincoln, Mr. Paul Michael",04/10/2016,,Newcastle,External Meeting,,,Hotel Room,,75.60,,Redfern
