"ID:GO:0030141      Name:secretory granule"
"C=354; O=129; E=41.15; R=3.13; PValue=0e+00; FDR=0e+00"
"userid","Gene Symbol","Gene Name","Entrez Gene"
"CRISP3","CRISP3","cysteine rich secretory protein 3","10321"
"OLFM4","OLFM4","olfactomedin 4","10562"
"ZPBP","ZPBP","zona pellucida binding protein","11055"
"CHGA","CHGA","chromogranin A","1113"
"CAPN11","CAPN11","calpain 11","11131"
"CHGB","CHGB","chromogranin B","1114"
"CLCA1","CLCA1","chloride channel accessory 1","1179"
"SERPINA3","SERPINA3","serpin family A member 3","12"
"SPACA7","SPACA7","sperm acrosome associated 7","122258"
"ZPBP2","ZPBP2","zona pellucida binding protein 2","124626"
"SPACA3","SPACA3","sperm acrosome associated 3","124912"
"COL1A1","COL1A1","collagen type I alpha 1 chain","1277"
"SYT2","SYT2","synaptotagmin 2","127833"
"MROH2B","MROH2B","maestro heat like repeat family member 2B","133558"
"CPA3","CPA3","carboxypeptidase A3","1359"
"CRHBP","CRHBP","corticotropin releasing hormone binding protein","1393"
"SYT9","SYT9","synaptotagmin 9","143425"
"CTSG","CTSG","cathepsin G","1511"
"CYLC1","CYLC1","cylicin 1","1538"
"TBC1D21","TBC1D21","TBC1 domain family member 21","161514"
"DBH","DBH","dopamine beta-hydroxylase","1621"
"DEFA4","DEFA4","defensin alpha 4","1669"
"SLC30A8","SLC30A8","solute carrier family 30 member 8","169026"
"FAM170B","FAM170B","family with sequence similarity 170 member B","170370"
"DMBT1","DMBT1","deleted in malignant brain tumors 1","1755"
"DRD2","DRD2","dopamine receptor D2","1813"
"ECM1","ECM1","extracellular matrix protein 1","1893"
"AHSG","AHSG","alpha 2-HS glycoprotein","197"
"ELANE","ELANE","elastase, neutrophil expressed","1991"
"ABCA3","ABCA3","ATP binding cassette subfamily A member 3","21"
"F5","F5","coagulation factor V","2153"
"F13A1","F13A1","coagulation factor XIII A chain","2162"
"FGA","FGA","fibrinogen alpha chain","2243"
"FGB","FGB","fibrinogen beta chain","2244"
"FGG","FGG","fibrinogen gamma chain","2266"
"RPH3A","RPH3A","rabphilin 3A","22895"
"MMRN1","MMRN1","multimerin 1","22915"
"ZP1","ZP1","zona pellucida glycoprotein 1","22917"
"FSTL4","FSTL4","follistatin like 4","23105"
"ARC","ARC","activity regulated cytoskeleton associated protein","23237"
"SFTA3","SFTA3","surfactant associated 3","253970"
"TXNDC8","TXNDC8","thioredoxin domain containing 8","255220"
"KLK5","KLK5","kallikrein related peptidase 5","25818"
"KLK13","KLK13","kallikrein related peptidase 13","26085"
"SPAG8","SPAG8","sperm associated antigen 8","26206"
"GCG","GCG","glucagon","2641"
"GHRHR","GHRHR","growth hormone releasing hormone receptor","2692"
"GIP","GIP","gastric inhibitory polypeptide","2695"
"HGF","HGF","hepatocyte growth factor","3082"
"HRG","HRG","histidine rich glycoprotein","3273"
"APOA1","APOA1","apolipoprotein A1","335"
"TMEM225","TMEM225","transmembrane protein 225","338661"
"TREML1","TREML1","triggering receptor expressed on myeloid cells like 1","340205"
"IGF1","IGF1","insulin like growth factor 1","3479"
"IGF2","IGF2","insulin like growth factor 2","3481"
"IL1B","IL1B","interleukin 1 beta","3553"
"INS","INS","insulin","3630"
"ISLR","ISLR","immunoglobulin superfamily containing leucine rich repeat","3671"
"ITGA1","ITGA1","integrin subunit alpha 1","3672"
"ITGA2B","ITGA2B","integrin subunit alpha 2b","3674"
"ITGB3","ITGB3","integrin subunit beta 3","3690"
"ITIH3","ITIH3","inter-alpha-trypsin inhibitor heavy chain 3","3699"
"ITPR1","ITPR1","inositol 1,4,5-trisphosphate receptor type 1","3708"
"CATSPER4","CATSPER4","cation channel sperm associated 4","378807"
"PATE4","PATE4","prostate and testis expressed 4","399968"
"LOXL1","LOXL1","lysyl oxidase like 1","4016"
"LTF","LTF","lactotransferrin","4057"
"MPO","MPO","myeloperoxidase","4353"
"NCF2","NCF2","neutrophil cytosolic factor 2","4688"
"ACR","ACR","acrosin","49"
"ORM1","ORM1","orosomucoid 1","5004"
"OXT","OXT","oxytocin/neurophysin I prepropeptide","5020"
"PCDH7","PCDH7","protocadherin 7","5099"
"SERPINA5","SERPINA5","serpin family A member 5","5104"
"PCSK1","PCSK1","proprotein convertase subtilisin/kexin type 1","5122"
"PCSK2","PCSK2","proprotein convertase subtilisin/kexin type 2","5126"
"PLA1A","PLA1A","phospholipase A1 member A","51365"
"PECAM1","PECAM1","platelet and endothelial cell adhesion molecule 1","5175"
"SERPINA4","SERPINA4","serpin family A member 4","5267"
"PLA2G1B","PLA2G1B","phospholipase A2 group IB","5319"
"PLAT","PLAT","plasminogen activator, tissue type","5327"
"PLG","PLG","plasminogen","5340"
"SERPINF2","SERPINF2","serpin family F member 2","5345"
"POMC","POMC","proopiomelanocortin","5443"
"SRGN","SRGN","serglycin","5552"
"PRKACG","PRKACG","protein kinase cAMP-activated catalytic subunit gamma","5568"
"PRL","PRL","prolactin","5617"
"KLK7","KLK7","kallikrein related peptidase 7","5650"
"AZU1","AZU1","azurocidin 1","566"
"PTPRN","PTPRN","protein tyrosine phosphatase, receptor type N","5798"
"PTPRN2","PTPRN2","protein tyrosine phosphatase, receptor type N2","5799"
"RAB13","RAB13","RAB13, member RAS oncogene family","5872"
"TSKS","TSKS","testis specific serine kinase substrate","60385"
"SELP","SELP","selectin P","6403"
"SFTPB","SFTPB","surfactant protein B","6439"
"SFTPC","SFTPC","surfactant protein C","6440"
