Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,03/09/2018,Marketing Promotion,Corporate Communications,CARAT,5100038997,184904.05,Marketing Promotion,NW1 3BF,,,,
HMRC,HMRC,03/09/2018,Contin Labor Build,Customs Transformation,EQUAL EXPERTS UK LTD,5100039016,301300,Customs Declaration Service - Risk Scrum,WC1H 9BB,,,,
HMRC,HMRC,03/09/2018,Contin Labor Build,Customs Transformation,EQUAL EXPERTS UK LTD,5100039017,270787.5,Customs Declaration Service - Data Scrum,WC1H 9BB,,,,
HMRC,HMRC,03/09/2018,Counsel Fee VAT Irre,Solicitors Office,AKASH NAWBATT,5100039021,39348,Counsel Fees,EC4Y 9BS,,,,
HMRC,HMRC,03/09/2018,Legal Service Sol's,Solicitors Office,THE SCOTLAND OFFICE,5100039035,71240.17,Legal Service Sol's,EH3 7HW,,,,
HMRC,HMRC,03/09/2018,WAN maint or supp,Information Management Services,VODAFONE,5100039077,287750.67,WAN Maintenance & Support,RG12 1XL,,,,
HMRC,HMRC,03/09/2018,Contract Besp SW Dev,Information Management Services,PEOPLE SOURCE CONSULTING,5100039099,1268425,Contingency Labour Run ,BS1 6BA,,,,
HMRC,HMRC,03/09/2018,Court Fees,Debt Management,THE INSOLVENCY SERVICE,5100039120,286630,Court Fees,B4 6FD,,,,
HMRC,HMRC,04/09/2018,Officer ESC (O),Information Management Services,HR  PENSION COMPENSATION,1900238170,27684.23,September 18 Additional Compensation Payments,PO20  1EL,,,,
HMRC,HMRC,04/09/2018,Mail and Fulfilment,Operational Excellence & Output Mgmt,COMMUNISIS UK LTD,5100039161,44857.32,Monthly Output Management bulk charges ,NE12 8EW,,,,
HMRC,HMRC,04/09/2018,Contingnt Labr IT,Customs Transformation,SPECIALIST COMPUTER CTR,5100039164,200000,Customs Declaration Management Service Exit,B11 2LE,,,,
HMRC,HMRC,04/09/2018,Mail and Fulfilment,Operational Excellence & Output Mgmt,COMMUNISIS UK LTD,5100039180,146752.11,Monthly Output Management bulk charges ,NE12 8EW,,,,
HMRC,HMRC,04/09/2018,IMS Management Consu,CDIO Transformation Programmes,Sol-Tec Ltd,5100039186,36300,Testing support to enable HMRC to migrate live services to Azure Cloud,RG1 8EQ,,,,
HMRC,HMRC,04/09/2018,Legal Serv's Agencys,Estates,GVA GRIMLEY LLP (RENT),5100039207,27600,Professional services - Property Services for building surveys / site searches,B11 3EA,,,,
HMRC,HMRC,04/09/2018,Govt dept services,CFO Transformation Programmes,AECOM LTD,5100039212,31561.2,Professional Services to provide expert support on the design of London Stratford Regional Centre,AL1 3ER,,,,
HMRC,HMRC,04/09/2018,Dept forms Non Stock,Solicitors Office,COMMUNISIS UK LTD,5100039225,32055.05,Copying Services,NE12 8EW,,,,
HMRC,HMRC,04/09/2018,Maj AW non-struc VAT,CFO Transformation Programmes,NEWCASTLE ESTATE PARTNERSHIP,5100039228,24687.5,Professional Services to provide expert support on the design of Newcastle Benton Park View future workspace options.,BS1 4DJ,,,,
HMRC,HMRC,04/09/2018,P04 Rate IT Serv Res,Customs Transformation,BLOOM PROCUREMENT SERVICES LTD,5100039230,430330.95,Customs Declaration Service - IT Support,NE1 3DY,,,,
HMRC,HMRC,04/09/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100039236,223232.62,Government Gateway Core Services,WV10 6UH,,,,
