Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date
,64756030,"30 Crown Street, Halifax, HX1 1TT",,6500,262.16,06/01/02
,29264012,"12 Garden Road, Brighouse, HD6 2AX",,3750,0,10/01/94
,56132737,"Unit 1, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,2100,0,03/01/93
,64304001,"1/3 Bowman Terrace, Halifax, HX1 5PB",,6100,49.22,05/13/02
,64336700,"Bradshaw Lane, Bradshaw, Halifax, HX2 9XB",,4450,1723.04,04/01/90
,64784742,"Unit D1/A, Dean Clough Mills, Halifax, HX3 5AX",,6700,378.34,01/05/00
Peter Jackson & Son Ltd,64344728,"Unit 63 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD","Units 62 & 53 Bowers Mill, Branch Road, Barkisland, Halifax, HX4 0AD",5900,2855.6,04/01/00
,64784802,"Unit T2, Dean Clough Industrial Park, Halifax, HX3 5WL",,5100,0,04/18/96
West Yorks Police Authority,29308702,"West Yorkshire Police, Hartshead Moor Serv Station, Hartshead Moor, Brighouse           HD6 4JB","Estates Department, Po Box 9, Laburnum Road, Wakefield, WF1 3QP",7800,3775.2,04/01/01
Dean Clough Foundation,64784841,"Office Suite L G 38, Dean Clough Mills, Halifax, HX3 5AX","Attn Ruth Robinson, Office Suite D182, Dean Clough, Halifax, HX3 5AX",1275,126.74,09/01/99
Dean Clough Ltd,64784878,"Car Park, G Mill Yard, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",3000,1452,01/15/02
Director Of Safer & Stronger Communities,29384702,"Brighouse Cemetery, Lightcliffe Road, Brighouse, HD6 2HY","Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",1575,762.3,04/01/90
Websters (Brighouse) Ltd,29384710,"R/0 91 Lightcliffe Road, Brighouse, HD6 2HJ","94 Commercial Street, Brighouse, HD6 1AQ",5600,2710.4,04/01/90
,56220737,"Unit 20 Woodman Works, South Lane, Elland, HX5 0HQ",,4900,0,11/17/97
,56224062,"62 Southgate, Elland, HX5 0PS",,3000,1452,01/27/97
J C Decaux Uk Ltd,64444705,"Adj 51 Burnley Road, Halifax, HX2 7JD","991 Great West Road, Brentford, TW8 9DN",500,242,04/01/94
Clear Channel (Uk) Ltd,29420718,"Adshels At Sainsburys, Mill Lane, Brighouse, HD6 1PQ","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",3200,1548.8,05/31/00
,29452707,"Unit 1 Bull Fold Garage, Owler Ings Road, Brighouse, HD6 1EJ",,4750,0,10/27/94
,29456702,"Park Row, Brighouse, HD6 1AB",,6900,685.86,04/01/90
Leading Force Ltd,56224728,"R/O 80 Southgate, Elland, HX5 0EP",,6500,262.16,12/18/93
,56228006,"6 The Cross, Elland, HX5 0BB",,5100,0,04/01/90
,29032712,"Atlas Mill Road, Brighouse, HD6 1ES",,4900,0,04/01/90
,29480701,"Castlefields Golf Club, Rastrick Common, Brighouse, HD6 3EL",,3000,0,04/01/90
Director Of Safer & Stronger Communities,56244704,"Melrose Court, Victoria Road, Elland, HX5 0QE","Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",930,450.12,04/01/90
,56248706,"Media Mills, Westbury Mills, Westbury Street, Elland              HX5 9AT",,3400,0,08/10/01
Primesight Ltd,64452704,"Advertising Right, Cote Hill Service Station, Burnley Road, Halifax              HX2 7NB","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",480,232.32,04/01/01
Jc Decaux Ltd,29052715,"Huddersfield Road, Adj 1A Birds Royd Lane, Brighouse, HD6 1LQ","Rates Administrator, Estates Management, Summit House, 27 Sale Place, London, W2 1YR",1375,665.5,04/01/96
Jc Decaux Ltd,29052716,"Adj 3/5 Birds Royd Lane, Brighouse, HD6 1LQ","Rates Administrator, Estates Management, Summit House, 27 Sale Place, London, W2 1YR",440,212.96,04/01/98
D.B.Dental Equipment Ltd,29528702,"51/53 Smithy Carr Lane, Brighouse, HD6 4BG",,11250,4763.78,09/04/00
,29564701,"25 Thornhill Bridge Lane, Brighouse, HD6 4AW",,7800,1132.67,04/01/90
,64500701,"Carr Wood House, Carr House Road, Shelf, Halifax             HX3 7RJ",,6200,100.02,08/28/92
,29048710,"Rooms 1 & 2, 47 Bethel Street, Brighouse, HD6 1JR",,3400,0,07/30/00
,29588703,"Adj 111 Towngate, Clifton, Brighouse, HD6 4HP",,1825,883.3,04/01/90
,64040705,"Moorlea Garage, Albert Road, Halifax, HX2 0DF",,3050,0,04/01/97
Owram Estates Ltd,29608715,"Widex Works, Wakefield Road, Brighouse, HD6 1PE","Robin Hood Works, Wakefield Rd, Brighouse, HD6 1PG",7400,835.66,04/01/90
,64088702,"Ashday Lane, Southowram, Halifax, HX3 9TR",,5300,526.82,04/01/90
