Prosecution Outcomes,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage,2013 - 14 Volume,2013 - 14 Percentage
"Prosecutions Dropped inc. discontinued, no evidence offered & withdrawn",795,22.69%,787,22.52%,740,19.38%,776,18.44%,626,16.20%,506,13.71%,508,13.1%
of which - no evidence offered,494,14.10%,474,13.56%,488,12.78%,549,13.05%,448,11.59%,357,9.67%,386,9.9%
Dismissed after full trial,5,0.14%,0,0.00%,14,0.37%,9,0.21%,12,0.31%,7,0.19%,10,0.3%
Judge directed acquittal,99,2.83%,64,1.83%,62,1.62%,72,1.71%,45,1.16%,35,0.95%,38,1.0%
Jury acquittal,539,15.39%,575,16.45%,691,18.09%,838,19.91%,733,18.97%,763,20.67%,930,23.9%
All Other Unsuccessful Outcomes,44,1.26%,51,1.46%,42,1.10%,48,1.14%,34,0.88%,48,1.30%,57,1.5%
Unsuccessful Outcomes,1482,42.31%,1477,42.26%,1549,40.56%,1743,41.42%,1450,37.53%,1359,36.81%,1543,39.7%
Guilty plea,1235,35.26%,1230,35.19%,1409,36.89%,1503,35.72%,1542,39.91%,1465,39.68%,1397,35.9%
Conviction after trial,786,22.44%,788,22.55%,858,22.47%,961,22.84%,871,22.54%,868,23.51%,951,24.4%
Proved in absence,0,0.00%,0,0.00%,3,0.08%,1,0.02%,1,0.03%,0,0.00%,0,0.0%
Convictions,2021,57.69%,2018,57.74%,2270,59.44%,2465,58.58%,2414,62.47%,2333,63.19%,2348,60.3%
Total Prosecutions,3503,100.00%,3495,100.00%,3819,100.00%,4208,100.00%,3864,100.00%,3692,100.00%,3891,100.00%
