Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),"ASHTON, LEIGH & WIGAN PCT",HAFS-10474,"40,000,000.00",
Department of Health,Department of Health,01/04/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1939001-18-APR-11,"151,598.47",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARKING AND DAGENHAM PCT,HAFS-10475,"38,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARNET PCT,HAFS-10476,"45,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARNSLEY PCT,HAFS-10477,"40,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BASSETLAW PCT,HAFS-10478,"13,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BATH & NORTH EAST SOMERSET PCT,HAFS-10479,"36,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BEDFORDSHIRE PCT,HAFS-10480,"51,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BERKSHIRE EAST PCT,HAFS-10481,"40,097,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BERKSHIRE WEST PCT,HAFS-10482,"47,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BEXLEY CARE TRUST,HAFS-10483,"24,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BIRMINGHAM EAST AND NORTH PCT,HAFS-10484,"54,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-10485,"21,869,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BLACKPOOL PCT,HAFS-10486,"26,974,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BOLTON PCT,HAFS-10487,"31,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BOURNEMOUTH & POOLE PCT,HAFS-10488,"45,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRADFORD AND AIREDALE PCT,HAFS-10489,"70,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRENT TEACHING PCT,HAFS-10490,"39,000,000.00",
Department of Health,Department of Health,01/04/2011,Secondees in invoiced costs,COMMISSIONING,BRIGHTON & HOVE CITY TEACHING PCT,13431949,"30,060.27",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRIGHTON & HOVE CITY TEACHING PCT,HAFS-10491,"32,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRISTOL PCT,HAFS-10492,"77,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BROMLEY PCT,HAFS-10493,"39,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BUCKINGHAMSHIRE PCT,HAFS-10494,"55,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BURY PCT,HAFS-10495,"22,000,000.00",
Department of Health,Department of Health,01/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,CALDERDALE METROPOLITAN BOROUGH COUNCIL,25201190631583,"58,022.00",
Department of Health,Department of Health,01/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,CALDERDALE METROPOLITAN BOROUGH COUNCIL,25201190374118,"151,550.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CALDERDALE PCT,HAFS-10496,"25,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CAMBRIDGESHIRE PCT,HAFS-10497,"50,000,000.00",
Department of Health,Department of Health,01/04/2011,Other creditors (ST),More than one directorate,CAMDEN PCT,PAYMENT MADE IN ERROR TO DH,"10,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CAMDEN PCT,HAFS-10498,"40,000,000.00",
Department of Health,Department of Health,01/04/2011,Outsourcing Contract,COMMISSIONING,CAPGEMINI UK PLC,26020080709710,"97,954.62",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CENTRAL & EASTERN CHESHIRE PCT,HAFS-10499,"50,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CENTRAL LANCASHIRE PCT,HAFS-10500,"54,000,000.00",
