,Overall,Percentage
num_datasets,784062,1.0
html,326446,0.41635227826370874
csv,245594,0.3132328820935079
pdf,151053,0.19265440743206533
xml,128452,0.1638288808793182
zip,67024,0.0854830357803337
json,65008,0.08291181054559461
kml,47157,0.06014447837033296
tiff,46775,0.059657272001448866
xls,42730,0.05449824121051652
xlsx,41211,0.0525608944190638
wms,39264,0.050077672428966075
,37526,0.047861010991477715
geojson,29716,0.037900064025549
text,29630,0.03779037882208295
arcgis geoservices rest api,25114,0.032030630230772565
shp,23244,0.02964561476005724
xyz,23161,0.029539755784619072
pc-axis,22805,0.02908571005864332
jpeg,15709,0.02003540536335137
sid,12835,0.016369878912637012
dwg,12755,0.01626784616522673
rdf,12620,0.01609566590397188
esri rest,12498,0.0159400659641712
other,11099,0.014155768293833906
gpkg,10412,0.013279562075448115
mapinfo file,10304,0.013141817866444236
filegdb,10304,0.013141817866444236
sos,9335,0.011905946213437203
esri mapserver,8493,0.010832051546943992
x-netcdf,8219,0.010482589387063777
excel,7976,0.010172664916805048
karte,5868,0.007484102022544135
webanwendung,5867,0.007482826613201507
netcdf,5361,0.006837469485831478
wfs,5001,0.006378322122485212
wcs,4930,0.006287768059158587
png,4661,0.005944682945991516
application/unknown,4388,0.005596496195453931
kea,4245,0.005414112659458053
gtiff,4245,0.005414112659458053
ods,4019,0.005125870148024008
hfa,3213,0.0040978902178654235
jp2kak,3210,0.0040940639898375385
jp2kak_lossless,3210,0.0040940639898375385
wsdl,3084,0.003933362412666346
gml,2982,0.0038032706597182367
jpg,2866,0.0036553231759733286
mapinfo mif,2835,0.0036157854863518445
api,2622,0.0033441232963719704
qgis,2434,0.0031043463399578093
ascii,2111,0.0026923891222887988
kmz,2097,0.002674533391491999
rdf-xml,2074,0.0026451989766115435
edi,1881,0.0023990449734842397
doc,1791,0.002284258132647673
arcgis geoservices ..,1783,0.002274054857906645
rss,1426,0.0018187337225882647
ogc wms,1337,0.0017052222910943268
application/vnd.geo+json,1331,0.0016975698350385556
exe,1296,0.0016529305080465575
jp2,1230,0.0015687534914330754
txt,1215,0.0015496223512936477
ogc wfs,1165,0.0014858518841622218
plain,1082,0.001379992908724055
tsv,1038,0.0013238748976484003
aaigrid,1032,0.0013162224415926291
vnd.ms-excel,979,0.0012486257464333177
arcgis online map,940,0.0011988847820708056
cdf,896,0.0011427667709951509
octet-stream,811,0.001034356976871727
fgdb/gdb,661,0.0008430455754774495
zip shp,511,0.000651734174083172
application/html,503,0.0006415308993421439
docx,483,0.0006160227124895736
rdf-turtle,473,0.0006032686190632884
sparql,423,0.0005394981519318625
gif,411,0.0005241932398203203
bin,332,0.0004234359017526675
atom,329,0.00041960967372478195
odt,275,0.0003507375692228421
ascii grid,269,0.00034308511316707096
segy,253,0.0003226785636850147
geotif,249,0.00031757692631450066
gz,245,0.00031247528894398657
xhtml,232,0.00029589496748981585
elp,229,0.0002920687394619303
scorm,229,0.0002920687394619303
tar,220,0.00028059005537827363
json-ld,215,0.0002742130086651311
csv/zip,210,0.0002678359619519885
undefined,209,0.00026656055260935996
nc,197,0.0002512556404978178
chemical/x-mdl-sdfile,192,0.0002448785937846752
rdf-n3,190,0.00024232777509941816
sqlite,189,0.00024105236575678964
file geodatabase feature class,184,0.00023467531904364705
00,174,0.0002219212256173619
xlsm,168,0.0002142687695615908
text/html; charset=utf-8,164,0.00020916713219107673
shtml,162,0.00020661631350581968
vnd.google-earth.kml+xml,159,0.00020279008547793414
powerpoint,154,0.00019641303876479155
arcgis map preview,149,0.00019003599205164896
arcgis map service,149,0.00019003599205164896
zip+csv,140,0.00017855730796799234
access,138,0.0001760064892827353
binary/octet-stream,130,0.00016580321454170717
php,128,0.00016325239585645012
ecw,127,0.00016197698651382162
aspx,122,0.00015559993980067904
json-p,120,0.000153049121115422
mxd,104,0.00013264257163336573
ashx,102,0.00013009175294810869
gzip,96,0.0001224392968923376
cdr,91,0.00011606225017919502
cdfnc,91,0.00011606225017919502
geopackage,91,0.00011606225017919502
rar,91,0.00011606225017919502
url,90,0.00011478684083656649
b0,89,0.00011351143149393798
csv / zip,81,0.00010330815675290984
rtf,79,0.00010075733806765281
calendar,79,0.00010075733806765281
application/txt,72,9.18294726692532e-05
marc,71,9.055406332662468e-05
webpage,68,8.672783529873912e-05
image/x-3ds,65,8.290160727085358e-05
"application/zip, application/octet-stream, application/x-zip-compressed, multipart/x-zip",65,8.290160727085358e-05
data explorer,63,8.035078858559655e-05
gis,59,7.524915121508249e-05
ppt,57,7.269833252982545e-05
mdb,55,7.014751384456841e-05
mixed,54,6.88721045019399e-05
word,54,6.88721045019399e-05
mesh dataset,52,6.632128581668287e-05
wms-xml,49,6.249505778879731e-05
rasterdataset,49,6.249505778879731e-05
pptx,47,5.994423910354028e-05
"geoservice api, geojson api, csv, kml, shapefile, geojson, file geodatabase",44,5.611801107565473e-05
cvs,43,5.4842601733026214e-05
text/rtf,42,5.35671923903977e-05
tab,42,5.35671923903977e-05
https,41,5.229178304776918e-05
xlxs,40,5.1016373705140666e-05
odata,40,5.1016373705140666e-05
obj,39,4.974096436251215e-05
las,37,4.719014567725512e-05
arcgis,37,4.719014567725512e-05
rdfa,36,4.59147363346266e-05
xlsb,36,4.59147363346266e-05
file geodatabase raster dataset,35,4.4639326991998085e-05
wav,35,4.4639326991998085e-05
csv/json,32,4.081309896411253e-05
vnd.google-earth.kmz,32,4.081309896411253e-05
atom feed,31,3.9537689621484014e-05
application/x-info,30,3.82622802788555e-05
gráfico,28,3.5711461593598465e-05
tab-d,27,3.443605225096995e-05
application/xhtml+xml,27,3.443605225096995e-05
text/html,25,3.188523356571292e-05
webmap,25,3.188523356571292e-05
txt / gz,24,3.06098242230844e-05
js,24,3.06098242230844e-05
zip+xml,23,2.933441488045588e-05
pdf/a-1,22,2.8059005537827365e-05
shp / zip,22,2.8059005537827365e-05
raster dataset,22,2.8059005537827365e-05
geopdf,22,2.8059005537827365e-05
dxf,21,2.678359619519885e-05
ttl,21,2.678359619519885e-05
open data site,21,2.678359619519885e-05
do,21,2.678359619519885e-05
web,20,2.5508186852570333e-05
pdf/ua,18,2.29573681673133e-05
oracle,17,2.168195882468478e-05
information and download,17,2.168195882468478e-05
solr,16,2.0406549482056265e-05
website,16,2.0406549482056265e-05
zip/csv,16,2.0406549482056265e-05
application/msword,16,2.0406549482056265e-05
xsv,14,1.7855730796799233e-05
gdb,14,1.7855730796799233e-05
view,14,1.7855730796799233e-05
sql,13,1.6580321454170717e-05
shape,12,1.53049121115422e-05
weblink,12,1.53049121115422e-05
sde feature class,12,1.53049121115422e-05
epub,12,1.53049121115422e-05
lzh,11,1.4029502768913683e-05
application/gml+xml,11,1.4029502768913683e-05
wmts,10,1.2754093426285166e-05
csv+zip,10,1.2754093426285166e-05
grib2,10,1.2754093426285166e-05
turtle,10,1.2754093426285166e-05
zip/spreadsheet,10,1.2754093426285166e-05
odp,9,1.147868408365665e-05
01 / 2015 / csv,9,1.147868408365665e-05
cfm,9,1.147868408365665e-05
"csv, excel",9,1.147868408365665e-05
gpx,9,1.147868408365665e-05
xslt,8,1.0203274741028132e-05
tmx,8,1.0203274741028132e-05
01 / 2016 / csv,8,1.0203274741028132e-05
esri rest api,8,1.0203274741028132e-05
sav,8,1.0203274741028132e-05
web map,8,1.0203274741028132e-05
html+rdfa,7,8.927865398399616e-06
shp-zip,7,8.927865398399616e-06
dta,7,8.927865398399616e-06
sas,7,8.927865398399616e-06
zip+xls,7,8.927865398399616e-06
mysql,7,8.927865398399616e-06
mp3,6,7.6524560557711e-06
xsl,6,7.6524560557711e-06
formulário de consulta,6,7.6524560557711e-06
csv (zip),6,7.6524560557711e-06
xbrl,6,7.6524560557711e-06
axd,6,7.6524560557711e-06
dgn,6,7.6524560557711e-06
sketchup model,6,7.6524560557711e-06
3ds,6,7.6524560557711e-06
pdf/a,6,7.6524560557711e-06
pdf / pdf,6,7.6524560557711e-06
open data website,6,7.6524560557711e-06
asx,6,7.6524560557711e-06
max,6,7.6524560557711e-06
n3,5,6.377046713142583e-06
xlw,5,6.377046713142583e-06
metadata,5,6.377046713142583e-06
sql server 2012,5,6.377046713142583e-06
jtd,5,6.377046713142583e-06
lyr,5,6.377046713142583e-06
e00,5,6.377046713142583e-06
georss,5,6.377046713142583e-06
dbf,5,6.377046713142583e-06
03 / 2015 / csv,5,6.377046713142583e-06
application/x-www-form-urlencoded; charset=utf-8,5,6.377046713142583e-06
tfw,4,5.101637370514066e-06
xml (tgz file),4,5.101637370514066e-06
hmtl,4,5.101637370514066e-06
text/html; charset=iso-8859-1,4,5.101637370514066e-06
"plataforma joomla, formato de los archivos .csv",4,5.101637370514066e-06
10 / 2015 / csv,4,5.101637370514066e-06
11 / 2013 / csv,4,5.101637370514066e-06
"csv, xls, xml",4,5.101637370514066e-06
csv file,4,5.101637370514066e-06
sparql-xml,4,5.101637370514066e-06
01 / 2017 / csv,4,5.101637370514066e-06
csv / csv,4,5.101637370514066e-06
05 / 2017 / csv,4,5.101637370514066e-06
"zip, contiene archivos csv",4,5.101637370514066e-06
02 / 2016 / csv,3,3.82622802788555e-06
manejador de bases de datos mysql,3,3.82622802788555e-06
02 / 2017 / csv,3,3.82622802788555e-06
geosoft grid,3,3.82622802788555e-06
12 / 2015 / csv,3,3.82622802788555e-06
excel csv,3,3.82622802788555e-06
esri grid,3,3.82622802788555e-06
12 / 2014 / csv,3,3.82622802788555e-06
10 / 2014 / csv,3,3.82622802788555e-06
10 / 2016 / csv,3,3.82622802788555e-06
sql server,3,3.82622802788555e-06
csw,3,3.82622802788555e-06
application/x-msdos-program,3,3.82622802788555e-06
mapinfo,3,3.82622802788555e-06
website containing data files,3,3.82622802788555e-06
sparql web form,3,3.82622802788555e-06
sparql-json,3,3.82622802788555e-06
txt/plain,3,3.82622802788555e-06
11 / 2014 / csv,3,3.82622802788555e-06
spss,3,3.82622802788555e-06
hdf,3,3.82622802788555e-06
xls / xlsx,3,3.82622802788555e-06
html5,3,3.82622802788555e-06
atco.cif,3,3.82622802788555e-06
03 / 2016 / csv,3,3.82622802788555e-06
06 / 2016 / csv,3,3.82622802788555e-06
