"##Temp./¡ãC",Time/min,"tan d(1.000 Hz)","E'(1.000 Hz)/MPa","E""(1.000 Hz)/MPa"
" 21.56102"," 0.88667",5.6564e-002,5353.10596,302.79184
" 21.83386"," 0.93667",5.6740e-002,5353.01357,303.72860
" 22.10627"," 0.98667",5.6916e-002,5352.92152,304.66420
" 22.37700"," 1.03667",5.7091e-002,5352.83018,305.59735
" 22.64403"," 1.08667",5.7266e-002,5352.73996,306.52663
" 22.90367"," 1.13667",5.7439e-002,5352.65133,307.45039
" 23.15428"," 1.18667",5.7611e-002,5352.56483,308.36682
" 23.39924"," 1.23667",5.7782e-002,5352.48107,309.27381
" 23.64005"," 1.28667",5.7950e-002,5352.40072,310.16900
" 23.87639"," 1.33667",5.8115e-002,5352.32457,311.04966
" 24.10616"," 1.38667",5.8277e-002,5352.25354,311.91267
" 24.33045"," 1.43667",5.8435e-002,5352.18867,312.75440
" 24.55220"," 1.48667",5.8588e-002,5352.13118,313.57063
" 24.77276"," 1.53667",5.8736e-002,5352.08249,314.35645
" 24.99263"," 1.58667",5.8876e-002,5352.04429,315.10606
" 25.21235"," 1.63667",5.9008e-002,5352.01856,315.81259
" 25.43265"," 1.68667",5.9131e-002,5352.00769,316.46782
" 25.65455"," 1.73667",5.9242e-002,5352.01453,317.06188
" 25.87966"," 1.78667",5.9339e-002,5352.04255,317.58274
" 26.11043"," 1.83667",5.9419e-002,5352.09539,318.01784
" 26.34581"," 1.88667",5.9485e-002,5352.17105,318.37272
" 26.58388"," 1.93667",5.9538e-002,5352.26470,318.66207
" 26.82415"," 1.98667",5.9581e-002,5352.37209,318.89828
" 27.06727"," 2.03667",5.9615e-002,5352.48941,319.09183
" 27.31293"," 2.08667",5.9644e-002,5352.61318,319.25184
" 27.55841"," 2.13667",5.9668e-002,5352.74008,319.38635
" 27.80064"," 2.18667",5.9688e-002,5352.86688,319.50262
" 28.03477"," 2.23667",5.9706e-002,5352.99036,319.60738
" 28.25632"," 2.28667",5.9723e-002,5353.10716,319.70703
" 28.47132"," 2.33667",5.9741e-002,5353.21375,319.80781
" 28.68530"," 2.38667",5.9760e-002,5353.30630,319.91599
" 28.90320"," 2.43667",5.9782e-002,5353.38054,320.03805
" 29.12930"," 2.48667",5.9808e-002,5353.43167,320.18089
" 29.36111"," 2.53667",5.9840e-002,5353.45414,320.35202
" 29.59635"," 2.58667",5.9879e-002,5353.44148,320.55988
" 29.83406"," 2.63667",5.9927e-002,5353.38597,320.81412
" 30.07431"," 2.68667",5.9987e-002,5353.27831,321.12608
" 30.31793"," 2.73667",6.0060e-002,5353.11111,321.50464
" 30.56612"," 2.78667",6.0144e-002,5352.89051,321.94237
" 30.82215"," 2.83667",6.0238e-002,5352.62477,322.42916
" 31.09279"," 2.88667",6.0340e-002,5352.32062,322.95648
" 31.39129"," 2.93667",6.0449e-002,5351.98363,323.51702
" 31.72444"," 2.98667",6.0563e-002,5351.61843,324.10440
" 32.07617"," 3.03667",6.0681e-002,5351.22883,324.71298
" 32.43532"," 3.08667",6.0802e-002,5350.81800,325.33768
" 32.79419"," 3.13667",6.0926e-002,5350.38856,325.97381
" 33.14576"," 3.18667",6.1051e-002,5349.94267,326.61698
" 33.48869"," 3.23667",6.1177e-002,5349.48204,327.26299
" 33.82286"," 3.28667",6.1303e-002,5349.00803,327.90768
" 34.14338"," 3.33667",6.1428e-002,5348.52164,328.54689
" 34.43816"," 3.38667",6.1552e-002,5348.02356,329.17633
" 34.70091"," 3.43667",6.1672e-002,5347.51415,329.79143
" 34.94440"," 3.48667",6.1790e-002,5346.99344,330.38728
" 35.17727"," 3.53667",6.1903e-002,5346.46110,330.95844
" 35.40462"," 3.58667",6.2010e-002,5345.91642,331.49875
" 35.62971"," 3.63667",6.2110e-002,5345.35825,332.00110
" 35.85457"," 3.68667",6.2202e-002,5344.78511,332.45918
" 36.07978"," 3.73667",6.2287e-002,5344.19601,332.87754
" 36.30567"," 3.78667",6.2367e-002,5343.58957,333.26393
" 36.53299"," 3.83667",6.2441e-002,5342.96363,333.62508
" 36.76314"," 3.88667",6.2513e-002,5342.31523,333.96695
" 36.99652"," 3.93667",6.2582e-002,5341.64062,334.29495
" 37.23368"," 3.98667",6.2650e-002,5340.93522,334.61415
" 37.47695"," 4.03667",6.2717e-002,5340.19349,334.92934
" 37.73154"," 4.08667",6.2785e-002,5339.40893,335.24527
" 38.00277"," 4.13667",6.2855e-002,5338.57384,335.56667
" 38.28317"," 4.18667",6.2928e-002,5337.67918,335.89844
" 38.56550"," 4.23667",6.3004e-002,5336.71433,336.24575
" 38.84356"," 4.28667",6.3086e-002,5335.66683,336.61419
" 39.10999"," 4.33667",6.3174e-002,5334.52194,337.00989
" 39.36519"," 4.38667",6.3269e-002,5333.26222,337.43975
" 39.61322"," 4.43667",6.3375e-002,5331.86690,337.91164
" 39.85573"," 4.48667",6.3492e-002,5330.31106,338.43469
" 40.09266"," 4.53667",6.3623e-002,5328.56461,339.01965
" 40.32204"," 4.58667",6.3771e-002,5326.59095,339.67935
" 40.54245"," 4.63667",6.3937e-002,5324.36789,340.42087
" 40.75752"," 4.68667",6.4119e-002,5321.92158,341.23295
" 40.96987"," 4.73667",6.4315e-002,5319.27930,342.10329
" 41.18098"," 4.78667",6.4523e-002,5316.46191,343.02133
" 41.39186"," 4.83667",6.4739e-002,5313.48492,343.97787
" 41.60316"," 4.88667",6.4963e-002,5310.35920,344.96471
" 41.81543"," 4.93667",6.5193e-002,5307.09158,345.97448
" 42.02966"," 4.98667",6.5429e-002,5303.68516,347.00033
" 42.24765"," 5.03667",6.5668e-002,5300.13949,348.03582
" 42.47274"," 5.08667",6.5909e-002,5296.45073,349.07475
" 42.70597"," 5.13667",6.6152e-002,5292.61148,350.11097
" 42.94320"," 5.18667",6.6396e-002,5288.61082,351.13829
" 43.18170"," 5.23667",6.6640e-002,5284.43377,352.15030
" 43.41940"," 5.28667",6.6882e-002,5280.06097,353.14021
" 43.65467"," 5.33667",6.7122e-002,5275.46807,354.10072
" 43.88815"," 5.38667",6.7358e-002,5270.62485,355.02375
" 44.12073"," 5.43667",6.7590e-002,5265.49414,355.90024
" 44.35293"," 5.48667",6.7816e-002,5260.03037,356.71981
" 44.58517"," 5.53667",6.8035e-002,5254.17756,357.47041
" 44.81784"," 5.58667",6.8245e-002,5247.87360,358.13916
" 45.05102"," 5.63667",6.8447e-002,5241.13310,358.72893
" 45.28475"," 5.68667",6.8642e-002,5234.02224,359.25336
" 45.51932"," 5.73667",6.8832e-002,5226.59641,359.72423
