Comments,Date,F10,F11,F12,F13,F14,Product Description,Product Type,Productid,Time,URL,Price,Qty
Boots,28/01/2018,These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.,https://www.example.com/product/MG_8769.html,,,,Waterproof,Men's,MG-8769,30/12/1899 00:00:00,Hiking,74.69,2
"The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running, biking or walking the dog, the durable construction and innovative safety features won't let you down.",29/01/2018,https://www.example.com/product/RI_3895.html,,,,,Running,Light-Up,RI-3895,30/12/1899 00:15:00,Jacket,29.81,0
Shoes,30/01/2018,"Great grip and super extra breathability make these amazing ventilated hikers ideal for warm, dry conditions.",https://www.example.com/product/RI_8070.html,,,,Ventilated,Men's,RI-8070,30/12/1899 00:30:00,Trail,80.08,1
This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.,31/01/2018,https://www.example.com/product/RI_9546.html,,,,,Fly,Switch,RI-9546,30/12/1899 00:45:00,Rods,25.55,1
,13/02/2018,,,,,,"Add a pop of paddling fun to your bed, chair or sofa with this whimsical throw pillow, handhooked on front for a timeless style.","Throw Pillow, Wooden Paddles",CC-9259,30/12/1899 01:00:00,https://www.example.com/product/CC_9259.html,48,9
"These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way, shape or form.",14/02/2018,https://www.example.com/product/CC_1697.html,,,,,Heavy-Duty,Men's,CC-1697,30/12/1899 01:15:00,Suspenders,34.22,1
Towel,15/02/2018,"All the softness and absorbency you've come to expect from our towels, in certified organic cotton for natural, ecofriendly comfort.",https://www.example.com/product/RI_6052.html,,,,Textured,Organic,RI-6052,30/12/1899 01:30:00,Cotton,89.34,2
,16/02/2018,,,,,,"Designed with lots of performance features, plus a semi-form-fitting profile, this cycling jersey delivers all-day comfort and serious style.","Cycling Jersey, Short-Sleeve",YY-3522,30/12/1899 01:45:00,https://www.example.com/product/YY_3522.html,19.34,2
,17/02/2018,,,,,,"For strong, lightweight comfort without bulk, our men's silk crewneck makes for an ideal first layer against the cold from slope to lodge to shoveling snow.","Men's Silk Underwear, Crewneck",YY-5315,30/12/1899 02:00:00,https://www.example.com/product/YY_5315.html,45.39,0
,18/02/2018,,,,,,"Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.","All-Weather Dining Table, Round 48""",BH-9827,30/12/1899 02:15:00,https://www.example.com/product/BH_9827.html,78.07,2
"The warmth and comfort of wool, these socks are designed in a minimal, no-show style that is of pure elegance and design.",19/02/2018,https://www.example.com/product/BH_7885.html,,,,,No-Show,Women's,BH-7885,30/12/1899 02:30:00,Socks,52.45,1
8,20/02/2018,Wt.,"Amazingly crisp action and a remarkably light feel in our 8\'9"" length fly rod, impeccably designed for her.",https://www.example.com/product/BH_7531.html,,,Fly,Women's,BH-7531,30/12/1899 02:45:00,Rod,48.08,1
"Our best-value down vest is packed with ultralight 650-fill for warmth and protection, even when wet.",21/02/2018,https://www.example.com/product/BH_3190.html,,,,,Down,Men's,BH-3190,30/12/1899 03:00:00,Vest,65.38,3
https://www.example.com/product/HK_3372.html,22/02/2018,,,,,,Cap,Tropic,HK-3372,30/12/1899 03:15:00,"Made with the same tropical fabric as our bestselling shirts, this wonderful cap provides UPF 50+ sun protection.",6.45,3
Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.,23/02/2018,https://www.example.com/product/HK_5716.html,,,,,3-in-1,Women's,HK-5716,30/12/1899 03:30:00,Jacket,46.01,1
,24/02/2018,,,,,,Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.,"Organic Cotton Oxford Shirt, Plaid",AN-5096,30/12/1899 03:45:00,https://www.example.com/product/AN_5096.html,33.83,1
"Just like Mom and Dad our shearling slippers wrap completely around little feet for soft, cozy comfort.",25/02/2018,https://www.example.com/product/AN_8641.html,,,,,Good,Kids',AN-8641,30/12/1899 04:00:00,Mocs,65.18,3
,26/02/2018,,,,,,"With its fleece warmth, sweatshirt styling, and fun colorblocking, our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.","Kids' Sweater Fleece, Hooded",ZN-4777,30/12/1899 04:15:00,https://www.example.com/product/ZN_4777.html,34.14,2
,27/02/2018,,,,,,"Youll be light on your feet with these ultralightweight, breathable hikers. But dont let the comfortable, airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.","Women's Hikers, Low Ventilated",ZN-2049,30/12/1899 04:30:00,https://www.example.com/product/ZN_2049.html,83.32,0
,28/02/2018,,,,,,"This women's quarter-zip cycling shirt is our most popular cycling jersey, thanks in part to sun protection that's built right in. With a more relaxed look and fit than most cycling apparel.","Women's Comfort Cycling Jersey, Short-Sleeve",GN-5043,30/12/1899 04:45:00,https://www.example.com/product/GN_5043.html,69.07,3
,13/03/2018,,,,,,"Perfect for a day on the bonefish flats, these boxers are breathable, quick drying and just may become your everyday underwear.","Men's Boxer, 5"" Inseam",GN-9860,30/12/1899 05:00:00,https://www.example.com/product/GN_9860.html,24.86,0
,14/03/2018,,,,,,"An easy-to-ride mountain bike that not only proves to be great fun for all the kids, but also offers great durability and stability.","Kids' Mountain Bike, 24""",YY-2600,30/12/1899 05:15:00,https://www.example.com/product/YY_2600.html,90.99,1
https://www.example.com/product/YY_4017.html,15/03/2018,,,,,,Sofa,Leather,YY-4017,30/12/1899 05:30:00,Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.,69.52,1
Jacket,16/03/2018,"This 3-in-1 girls' jacket offers three great options for one great price, so she'll stay warm, dry and comfortable whatever the weather.",https://www.example.com/product/RI_9156.html,,,,Waterproof,Girls',RI-9156,30/12/1899 05:45:00,3-in-1,53.62,1
These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,17/03/2018,https://www.example.com/product/RI_9121.html,,,,,No-Show,Women's,RI-9121,30/12/1899 06:00:00,Socks,9.81,1
https://www.example.com/product/RI_7338.html,18/03/2018,,,,,,Hat,Kids',RI-7338,30/12/1899 06:15:00,"Let your kids show their spirit for adventure with our fun trucker-style hat, ready to go from trailhead to bus stop and back.",43.53,1
"Take your favorite hikes all winter long with these easy-to-use snowshoes. Best of all, this boxed set helps you save money and includes everything you need to get started: snowshoes, hiking poles and a tough snowshoe storage bag.",19/03/2018,https://www.example.com/product/ZN_6172.html,,,,,Snowshoes,Men's,ZN-6172,30/12/1899 06:30:00,Set,30.79,0
,20/03/2018,,,,,,"This tippet is field tested in a variety of situations, from spring creeks to tidal rips, and is guaranteed to perform under the worst weather conditions.","Tippet Material, Pro Freshwater",YY-2057,30/12/1899 06:45:00,https://www.example.com/product/YY_2057.html,43.4,0
"Ideal for kayaking, paddle boarding and surfing, this wetsuit covers your core in 3 mm neoprene for maximum warmth, while 2 mm thickness on your arms and legs ensures your range of motion is at its best.",21/03/2018,https://www.example.com/product/BH_5486.html,,,,,Wet,Women's,BH-5486,30/12/1899 07:00:00,Suit,0.91,1
