Comments,Date,Price,Product Description,Product Type,Productid,Qty,Time,URL
,28/01/2018,$74.69,These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.,Men's Waterproof Hiking Boots,MG-8769,2,00:00,https://www.example.com/product/MG_8769.html
,29/01/2018,$29.81,"The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running, biking or walking the dog, the durable construction and innovative safety features won't let you down.",Light-Up Running Jacket,RI-3895,0,00:15,https://www.example.com/product/RI_3895.html
,30/01/2018,$80.08,"Great grip and super extra breathability make these amazing ventilated hikers ideal for warm, dry conditions.",Men's Ventilated Trail Shoes,RI-8070,1,00:30,https://www.example.com/product/RI_8070.html
,31/01/2018,$25.55,This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.,Switch Fly Rods,RI-9546,1,00:45,https://www.example.com/product/RI_9546.html
,13/02/2018,$48.00,"Add a pop of paddling fun to your bed, chair or sofa with this whimsical throw pillow, handhooked on front for a timeless style.","Throw Pillow, Wooden Paddles",CC-9259,9,01:00,https://www.example.com/product/CC_9259.html
,14/02/2018,$34.22,"These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way, shape or form.",Men's Heavy-Duty Suspenders,CC-1697,1,01:15,https://www.example.com/product/CC_1697.html
,15/02/2018,$89.34,"All the softness and absorbency you've come to expect from our towels, in certified organic cotton for natural, ecofriendly comfort.",Organic Textured Cotton Towel,RI-6052,2,01:30,https://www.example.com/product/RI_6052.html
,16/02/2018,$19.34,"Designed with lots of performance features, plus a semi-form-fitting profile, this cycling jersey delivers all-day comfort and serious style.","Cycling Jersey, Short-Sleeve",YY-3522,2,01:45,https://www.example.com/product/YY_3522.html
,17/02/2018,$45.39,"For strong, lightweight comfort without bulk, our men's silk crewneck makes for an ideal first layer against the cold from slope to lodge to shoveling snow.","Men's Silk Underwear, Crewneck",YY-5315,0,02:00,https://www.example.com/product/YY_5315.html
,18/02/2018,$78.07,"Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.","All-Weather Dining Table, Round 48""",BH-9827,2,02:15,https://www.example.com/product/BH_9827.html
,19/02/2018,$52.45,"The warmth and comfort of wool, these socks are designed in a minimal, no-show style that is of pure elegance and design.",Women's No-Show Socks,BH-7885,1,02:30,https://www.example.com/product/BH_7885.html
,20/02/2018,$48.08,"Amazingly crisp action and a remarkably light feel in our 8\'9"" length fly rod, impeccably designed for her.",Women's  Fly Rod 8 Wt.,BH-7531,1,02:45,https://www.example.com/product/BH_7531.html
,21/02/2018,$65.38,"Our best-value down vest is packed with ultralight 650-fill for warmth and protection, even when wet.",Men's Down Vest,BH-3190,3,03:00,https://www.example.com/product/BH_3190.html
,22/02/2018,$6.45,"Made with the same tropical fabric as our bestselling shirts, this wonderful cap provides UPF 50+ sun protection.",Tropic Cap,HK-3372,3,03:15,https://www.example.com/product/HK_3372.html
,23/02/2018,$46.01,Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.,Women's 3-in-1 Jacket,HK-5716,1,03:30,https://www.example.com/product/HK_5716.html
,24/02/2018,$33.83,Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.,"Organic Cotton Oxford Shirt, Plaid",AN-5096,1,03:45,https://www.example.com/product/AN_5096.html
,25/02/2018,$65.18,"Just like Mom and Dad our shearling slippers wrap completely around little feet for soft, cozy comfort.",Kids' Good Mocs,AN-8641,3,04:00,https://www.example.com/product/AN_8641.html
,26/02/2018,$34.14,"With its fleece warmth, sweatshirt styling, and fun colorblocking, our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.","Kids' Sweater Fleece, Hooded",ZN-4777,2,04:15,https://www.example.com/product/ZN_4777.html
,27/02/2018,$83.32,"Youll be light on your feet with these ultralightweight, breathable hikers. But dont let the comfortable, airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.","Women's Hikers, Low Ventilated",ZN-2049,0,04:30,https://www.example.com/product/ZN_2049.html
,28/02/2018,$69.07,"This women's quarter-zip cycling shirt is our most popular cycling jersey, thanks in part to sun protection that's built right in. With a more relaxed look and fit than most cycling apparel.","Women's Comfort Cycling Jersey, Short-Sleeve",GN-5043,3,04:45,https://www.example.com/product/GN_5043.html
,13/03/2018,$24.86,"Perfect for a day on the bonefish flats, these boxers are breathable, quick drying and just may become your everyday underwear.","Men's Boxer, 5"" Inseam",GN-9860,0,05:00,https://www.example.com/product/GN_9860.html
,14/03/2018,$90.99,"An easy-to-ride mountain bike that not only proves to be great fun for all the kids, but also offers great durability and stability.","Kids' Mountain Bike, 24""",YY-2600,1,05:15,https://www.example.com/product/YY_2600.html
,15/03/2018,$69.52,Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.,Leather Sofa,YY-4017,1,05:30,https://www.example.com/product/YY_4017.html
,16/03/2018,$53.62,"This 3-in-1 girls' jacket offers three great options for one great price, so she'll stay warm, dry and comfortable whatever the weather.",Girls' Waterproof 3-in-1 Jacket,RI-9156,1,05:45,https://www.example.com/product/RI_9156.html
,17/03/2018,$9.81,These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,Women's No-Show Socks,RI-9121,1,06:00,https://www.example.com/product/RI_9121.html
,18/03/2018,$43.53,"Let your kids show their spirit for adventure with our fun trucker-style hat, ready to go from trailhead to bus stop and back.",Kids' Hat,RI-7338,1,06:15,https://www.example.com/product/RI_7338.html
,19/03/2018,$30.79,"Take your favorite hikes all winter long with these easy-to-use snowshoes. Best of all, this boxed set helps you save money and includes everything you need to get started: snowshoes, hiking poles and a tough snowshoe storage bag.",Men's Snowshoes Set,ZN-6172,0,06:30,https://www.example.com/product/ZN_6172.html
,20/03/2018,$43.4,"This tippet is field tested in a variety of situations, from spring creeks to tidal rips, and is guaranteed to perform under the worst weather conditions.","Tippet Material, Pro Freshwater",YY-2057,0,06:45,https://www.example.com/product/YY_2057.html
,21/03/2018,$0.91,"Ideal for kayaking, paddle boarding and surfing, this wetsuit covers your core in 3 mm neoprene for maximum warmth, while 2 mm thickness on your arms and legs ensures your range of motion is at its best.",Women's Wet Suit,BH-5486,1,07:00,https://www.example.com/product/BH_5486.html
,22/03/2018,$65.46,Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.,"Waterproof Boots, Tall",BH-1732,3,07:15,https://www.example.com/product/BH_1732.html
,24/03/2018,$51.42,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",Heated Insoles,BH-4480,0,07:45,https://www.example.com/product/BH_4480.html
,25/03/2018,$62.55,Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.,"Base Layer, Pants",BH-1061,0,08:00,https://www.example.com/product/BH_1061.html
,26/03/2018,$0.9,"This camo quarter-zip hoodie is an extremely versatile mid layer thats great for all hunting seasons. Its made from warm, breathable fleece and features an innovative lightweight hood with a built-in face mask.","Quarter-Zip Hoodie, Camo",ON-7017,2,08:15,https://www.example.com/product/ON_7017.html
,27/03/2018,$20.65,"Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.","Tee, Traditional Fit, Short-Sleeve",ON-1026,3,08:30,https://www.example.com/product/ON_1026.html
,28/03/2018,$18.58,"Just as good today as it was back then, our kids' retro fleece pullover combines our soft, warm, stretchy fleece with cool colorblock designs and our logo.",Kids' Pullover,AN-6109,4,08:45,https://www.example.com/product/AN_6109.html
,29/03/2018,$57.75,"This lightweight fitness vest allows excellent freedom of movement while resisting wind and light rain, making it perfect for running, hiking, cycling or walks around town.",Women's Essential Running Vest,AN-9272,3,09:00,https://www.example.com/product/AN_9272.html
,30/03/2018,$78.74,"We kept the heritage-inspired design of our spacious rolling duffle, then added thoughtful details like easy-rolling spinner wheels.","Rolling Duffle, Extra-Large",AN-1646,0,09:15,https://www.example.com/product/AN_1646.html
,31/03/2018,$64.02,"Lightweight and breathable, this colorful shirt will be a warm-weather mainstay year after year. Light and comfortable, perfect for summer.","Linen Shirt, Slightly Fitted Short-Sleeve Stripe",AN-9388,0,09:30,https://www.example.com/product/AN_9388.html
,13/04/2018,$3.79,"The original boot, made since 1912. Now with even more protection from cold, wet weather, with the addition of a waterproof liner and warm insulation.","Women's Hunting Shoes, 10""",YY-9611,4,11:00,https://www.example.com/product/YY_9611.html
,14/04/2018,$25.14,"Our finest leather Men's slip-on penny loafers are handstitched from supple, fine-grain nubuck leather that molds to your foot for a custom-like feel.","Men's Loafers, Leather/Nubuck",RI-1639,12,11:15,https://www.example.com/product/RI_1639.html
,16/04/2018,$45.12,"Designed with FAST fun in mind, these super cool kids' sneakers feature a sleek, engineered mesh upper and award-winning cushioning for all-day, action-packed comfort.",Kids' Sneaker,RI-3655,15,11:45,https://www.example.com/product/RI_3655.html
,17/04/2018,$38.81,"With its great coverage and UPF 50+ sun protection, this quick-drying kids' rashguard blocks the sun, but not the summer fun.","Kids' Shirt, Short Sleeve, Graphic",CC-5271,16,12:00,https://www.example.com/product/CC_5271.html
,18/04/2018,$75.06,"Designed specifically for mountain biking, the cycling shorts are built with performance features such as breathable, moisture-wicking fabric and chamois padding, with a casual, relaxed fit for comfort on and off the bike.",Men's Biking Shorts,CC-9916,9,12:15,https://www.example.com/product/CC_9916.html
,19/04/2018,$67.64,"Our lightest, most compact 2-person cookset nests together to save space. Includes a stove, a two-liter hard anodized aluminum pot with clear strainer lid, 2 bowls, 2-12.5 oz. double-wall insulated mugs and 2 folding sporks.",Backpacking Stove Kit,YY-7121,9,12:30,https://www.example.com/product/YY_7121.html
,20/04/2018,$64.19,This luggage lock helps keep your belongings secure while traveling. Allows your luggage to go through airport security and arrive at your destination fully locked.,"Travel Lock, Combination Cable",YY-8954,15,12:45,https://www.example.com/product/YY_8954.html
,21/04/2018,$72,"Here, when we call something good we mean it: just one touch of these soft men's boot slippers and you'll understand why.",Men's Boots,YY-8239,8,13:00,https://www.example.com/product/YY_8239.html
,23/04/2018,$43.61,"We used performance-packed swim fabric to create board shorts that keep up during the most rigorous adventures, with enough style for heading into town afterward.",Men's Shorts,BH-2268,26,13:30,https://www.example.com/product/BH_2268.html
,25/04/2018,$53.95,"This portable game center will provide hours of fun at your barbecue, tailgate, beach trip and more. With easy set-up and take-down, you can take it anywhere.",Portable Game Center,BH-4482,16,14:00,https://www.example.com/product/BH_4482.html
,26/04/2018,$3.35,"The classic alpine hiker is back, with retro style and all-day comfort you'll want to wear beyond the trail.","Women's Waterproof Hiking Boots, Leather Mesh",HK-4191,22,14:15,https://www.example.com/product/HK_4191.html
,29/04/2018,$2.86,"Inspired by the legendary comfort of our slippers, we designed these warm slipper booties to be so cozy you'll never want to take them off. The durable knit lambswool upper is lined with toasty fleece that wraps your feet in luxury.",Women's Booties,AN-5829,30,15:00,https://www.example.com/product/AN_5829.html
