Id,Title,Author,Abstract,DOI,Kw,qry-heter,qry-n,qry-ieee-1,qry-ieee-2,qry-ieee-3
,REST2SOAP: A framework to integrate SOAP services and RESTful services,"Peng, Y -Y and Ma, S -P and Lee, J","Nowadays, the mainstream of Web 2.0 Website services is in the REST style called RESTful Web service. RESTful services have been widely accepted by the public because of the usability and simplicity. Meanwhile, Web service technologies realize service-oriented architecture (SOA) successfully and are exploited in both industry and academia. Notably, service composition that can aggregate existing services into a new one delivers the most benefits of SOA through BPEL standard. However, BPEL cannot support RESTful services and integrate both Web 2.0 and SOA-based resources in a composite service directly. It means that it is costly or time-consuming to utilize RESTful services in an SOA-based application. Therefore, this paper presents a framework, namely REST2SOAP, to integrate SOAP services and RESTful services. REST2SOAP leverages WADL specification, and can wrap RESTful services into SOAP services semi-automatically. Using REST2SOAP, developers can create a BPEL service that combines SOAP, RESTful services and user interfaces simultaneously.",10.1109/SOCA.2009.5410458,Web 2.0;REST;RESTful service;SOA;SOAP service;service composition;BPEL; Simple object access protocol;Web services;Service oriented architecture;Mashups;Computer science;Oceans;Usability;Marine technology;Aggregates;User interfaces; formal specification;software architecture;user interfaces;Web services; Web 2.0;RESTful service;Web service;service-oriented architecture;SOA;REST style;WADL specification;user interfaces;SOAP service;BPEL,,1,1,,
,On Composition of SOAP Based and RESTful Services,"Thakar, U and Tiwari, A and Varma, S","Many online businesses expose their technological product and service offerings as web services. To offer the desired functionality, often a number of simple web services need to be combined to create a composite web service. Traditionally, services were implemented as SOAP based services. However, RESTful services are now becoming more popular. Thus, there is a large pool of services available to users for inclusion in a composite service. The BPEL (Business Process Execution Language) has been in use for creation of complex services as per the workflow. At present, the BPEL standard does not support inclusion of RESTful web services in the business process. This prevents inclusion of many useful services in a complex business use case where lots of web services are required in order to achieve desired functionality. In this paper, a method RESO Co has been proposed that enables the conventional BPEL engine to consume SOAP based as well as RESTful services in composition. The presented method thus helps in increasing the number of services available for composition while also preserving the advantage of lightweight nature of RESTful services.",10.1109/IACC.2016.99,SOAP;RESTful Services;BPEL;Composite Service; Simple object access protocol;Business;Java;Process control;Standards;Engines; access protocols;business data processing;Web services;Web Services Business Process Execution Language; SOAP based composition;restful services;composite Web service;Business Process Execution Language;BPEL;RESO Co approach,,1,1,,
,Open source apis for processing the XML result of web services,"Pawar, S and Chiplunkar, N N","The aim of this system is to use open source APIs to invoke and process the results of the Web services and to apply confidentiality and integration to the result of the Web services. In this system Web Services are requested using URL (Uniform Resource Locator) query to the WWW instead of SOAP message. When invoking the web services using JAX-RPC (Java Api for Xml-Based Remote Procedure Call ) with SOAP request, the result returned may not be received properly due to de-serialization problem of complex XML data sets. Therefore it is required to invoke such services by submitting the query as URL query and received the results as XML data set. This XML data set may be hampered by man-in-middle attack during transfer. Hence this system uses open source APIs for providing XML signature and XML encryption. At the receiver after decryption and integrity check, the required node from XML data set is extracted and presented to the user. This article is focused on usage of open source APIs (Application program interface) for invoking web services as Restful Web services, applying XML signature and XML encryption, parsing the XML result after reverse process at receiver side and extracting the required nodes according to the user given condition. The problem of de-serialization in receiving huge XML result is resolved in the proposed system. © 2017 IEEE.",10.1109/ICACCI.2017.8126114,Web Services;SOAP;XML;XML-Signature;XML Encryption;WSDL; XML;Uniform resource locators;Encryption;Simple object access protocol;Receivers; application program interfaces;cryptography;Java;public domain software;query processing;remote procedure calls;Web services;XML; open source APIs;URL query;complex XML data sets;XML data set;XML signature;Restful Web services;Uniform Resource Locator;JAX-RPC;Java API;XML-Based Remote Procedure Call;SOAP request;man-in-middle attack;XML encryption;Application program interface,,1,1,,
,Security solutions for Web Service attacks in a dynamic composition scenario,Sindhu S M; Kanchana R,"Web Services can be invoked from anywhere through internet without having enough knowledge about the implementation details. In some cases, single service cannot accomplish user needs. One or more services must be composed which together satisfy the user needs. Therefore, security is the most important concern not only at single service level but also at composition level. Several attacks are possible on SOAP messages communicated among Web Services because of their standardized interfaces. Examples of Web Service attacks are oversize payload, SOAPAction spoofing, XML injection, WS-Addressing spoofing, etc. Most of the existing works provide solution to ensure basic security features of Web Services such as confidentiality, integrity, authentication, authorization, and non-repudiation. Very few of the existing works provide solutions such as schema validation and schema hardening for attacks on Web Services. But these solutions do not address and provide attack specific solutions for SOAP messages communicated between Web Service. Hence, it is proposed to provide solutions for two of the prevailing Web Service attacks. Since new types of Web Service attacks are evolving over time, the proposed security solutions are implemented as APIs that are pluggable in any server where the Web Service is deployed.",10.1109/ICACCCT.2014.7019163,Web Services;WSDL;UDDI;SOAP;SAS API;WSAS API; Simple object access protocol;Security;Lead;Standards;Information services;Electronic publishing; application program interfaces;authorisation;data integrity;protocols;service-oriented architecture;Web services; security solutions;Web service attacks;dynamic composition scenario;Internet;SOAP messages;SOAPAction spoofing;XML injection;WS-Addressing spoofing;confidentiality;integrity;authentication;authorization;nonrepudiation;schema validation;schema hardening;API;service oriented architecture;SOA;simple object access protocol,,1,1,,
,Call/Messaging Open API for Telecommunication Services,S. Jung; M. Kang; D. Choi,"With the saturation of existing intelligent network services, it is becoming increasingly difficult to develop new profitable services. The current trend seems to be moving toward the convergence of traditional telephone networks with the Internet. The capabilities of Internet terminals, such as PCs, are more powerful than those of traditional terminals for telephone networks, particularly in terms of their storage capabilities and user interface. IT developers can easily create new telecommunication services using Parlay APIs, without needing to become experts in the field of telephony. Although using SOAP over HTTP allows for easier communication, normal individual developers have some difficulties in processing SOAP messages due to the verbose XML format. REST based APIs can be a good alternative, as they have no additional messaging layer except for HTTP. In this paper, we introduce REST based Open APIs for building outbound call and messaging services. The suggested APIs enable the service features of click-to-dial, mini-conference, call record, audio-on-demand, short messaging and voice messaging, and show the power of the convergence between telephone networks and the internet.",10.1109/ICACT.2008.4493967,Telecommunication Service;Parlay API;Call/Messaging API; Telecommunication services;Internet telephony;IP networks;Convergence;Simple object access protocol;Intelligent networks;Personal communication networks;User interfaces;XML;Message service; application program interfaces;electronic messaging;Internet;voice mail;XML; Parlay API;call-messaging open;telecommunication services;intelligent network services;telephone networks;Internet terminals;SOAP messages;verbose XML format;HTTP;REST based open API;outbound call;messaging services;click-to-dial;mini-conference,,1,1,,
,Integrating RESTful Service into BPEL Business Process on Service Generation System,"Wu, B and Lin, R and Chen, J","New value-added business, generated by Web service composition in BPEL, provides more powerful and flexible features. SOAP-based web services invoked in BPEL are heavy with redundant information and lower performance. RESTful Web service is brought forward to new value-added business as an alternative solution. However, it's a big challenge to compose RESTful Web services with SOAP-based Web Services in SOA BPEL business processes. BPEL is not designed to use RESTful Web services because these types of services do not use WSDL to describe themselves. This paper proposes a novel approach for integrating RESTful Web services and SOAP-based Web services in business processes described in BPEL. The approach is applied to a practical multimedia conference BPEL process, and the experimental data show the stability of the new RESTful BPEL process with a higher performance. © 2013 IEEE.",10.1109/SCC.2013.70,Business Process;RESTful Web services;SOAP Web service;Service Integration; Business;Simple object access protocol;Standards;Engines;Protocols;Servers; business data processing;service-oriented architecture;Web services; representational state transfer;multimedia conference BPEL process;service-oriented architecture;SOA BPEL business process;SOAP-based Web services;Web service composition;value-added business;service generation system;business process execution language;RESTful Web service integration,,1,1,,
,Scalable microservice based architecture for enabling DMTF profiles,D. Malavalli; S. Sathappan,"This paper proposes an architecture for implementing DMTF management Profiles in middleware layer of a management console, using microservices. Microservices is a software architecture style, gaining popularity for developing Internet scale applications. This paper will also provide a comparison with the current prevalent method of design. This paper will also discuss how this microservice can be exposed utilizing REST thus further making it scalable, lightweight etc. This scalable microservice in turn can interact with the managed device using either SOAP (as defined in DASH or SMASH) or REST (as defined in Redfish).",10.1109/CNSM.2015.7367395,Webservices;Microservices;SOA;DMTF Profiles;DASH;REST;JSON;SOAP;XML;Enterprise;Architecture;Manageability; Decision support systems; middleware;software architecture; scalable microservice based architecture;DMTF profiles;middleware layer;software architecture,,1,1,,
,API based security solutions for communication among web services,A. K. Rajaram; B. C. Babu; C. Kishore Kumar R,"The popularity of web services has largely influenced the way in which enterprise business is conducted. Since web services enable easy accessibility of data, dynamic connections, and relatively less human interventions, ensuring confidentiality and integrity of data that is transmitted via web services protocols becomes more significant. If a single service does not fulfill the service consumer requirements, it is necessary to compose several web services, which together satisfy the user requirements. Security attacks occur on SOAP messages that are communicated among web services while accessing a service or during service composition. Most of the existing works on web services security have provided solutions only for ensuring client authentication, confidentiality, and integrity of information in network layer and not in application layer. WS-Security and XML based web service security also provides message layer security in network layer and not in application layer. Hence, a novel approach that prevents the message alteration attack on SOAP messages and a security solution that detects and overcomes XML injection attack have been proposed in this paper. Our approach uses pluggable APIs in the service provider side and security services in the middleware side. The attacks were simulated and non-vulnerability of the proposed solutions to these attacks have been verified.",10.1109/ICoAC.2013.6922014,Web Services;Security;Composition;API;Message Alteration Attack;XML Injection Attack; Cryptography;Simple object access protocol;Electronic mail;Educational institutions;Computers;Computer science;Web servers; authorisation;business data processing;computer network security;data integrity;message authentication;middleware;Web services;XML; API-based security solutions;enterprise business;data accessibility;dynamic connections;data integrity;data confidentiality;Web service protocol;user requirement satisfaction;security attacks;SOAP messages;service composition;Web service security;client authentication;information integrity;information confidentiality;network layer;WS-Security;XML-based Web service security;message layer security;message alteration attack;XML injection attack detection;service provider;middleware,,1,1,,
,Comparative evaluation of the maintainability of RESTful and SOAP-WSDL web services,"De Oliveira, R R and Sanchez, R V V and Estrella, J C and De Mattos Fortes, R P and Brusamolin, V","Web services not only are one of the most promising technologies in terms of the availability of network services but also solve the problem of integrating heterogeneous applications on the web. Because of their increasing popularity, maintainability has become an important issue as it helps to reduce maintenance costs and improve software quality. However, from the perspective of evolution and maintenance, there are many issues to be examined. This paper describes a controlled experiment to compare RESTful and SOAP-WSDL web services in terms of specific modifiability sub-characteristics and time spent on web services maintenance. The findings indicate that RESTful web services are more maintainable on the server-side, while SOAP-WSDL web services are more maintainable on the client-side. Studies based on controlled experiments are promising and may help reduce the maintenance costs of web services as well as improve the quality of software-oriented services. © 2013 IEEE.",10.1109/MESOCA.2013.6632733,Software Maintainability;Controlled Experiment;Web Services;RESTful;SOAP-WSDL; Web services;Maintenance engineering;Servers;Software measurement; client-server systems;software maintenance;software quality;Web services; RESTful;SOAP-WSDL Web services;network service availability;Web heterogeneous applications;maintenance cost;software quality improvement;modifiability subcharacteristics;Web services maintenance;server-side maintainability;client-side maintainability;software-oriented service,,1,1,,
,Towards composition of RESTful web services,"Rathod, D M and Dahiya, M S and Parikh, S M","RESTful HTTP and SOAP/WSDL services are two architectural styles for building web services, Where SOAP/WSDL based services follows an operation centric approach and RESTful HTTP based services follows resource centric approach. Dynamic composition of SOAP web services has been widely studied by researchers as compare to RESTful web services. RESTful web services have gained momentum in the development of distributed application but mostly it is hard wired with client application. We proposed novel approach termed as Web Service Resource Bundle (WSRB) for RESTful web service composition that takes care of selection of targeted web services considering inter-service dependencies and also dynamically bind services with client application. WSRB is bundle of composition of RESTful web service; ready to consume based on key passed by client. We developed hotel booking benchmark application with android mobile client using RESTful and SOAP based web services. We also measured benchmark results in both cases which show that proposed approach WSRB with RESTful web service gives best performance as compare to SOAP based web service. © 2015 IEEE.",10.1109/ICCCNT.2015.7395237,RESTful;SOAP;Web Service;Composition;WSDL;HTTP; Simple object access protocol;Benchmark testing;Ice;Unified modeling language; resource allocation;software architecture;Web services; WSRB;Web service resource bundle;resource centric approach;architectural style;SOAP/WSDL service;RESTful HTTP service;representational state transfer;RESTful web service composition,,1,1,,
