"Departmental Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Vat Registration Num"
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","ASHTON, LEIGH & WIGAN PCT","HAFS-10474",4e+07,""
"Department of Health","Department of Health",2011-04-01,"Expense clearing GPC (ST)","More than one directorate","BARCLAYCARD BUSINESS","1939001-18-APR-11",151598.47,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BARKING AND DAGENHAM PCT","HAFS-10475",3.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BARNET PCT","HAFS-10476",4.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BARNSLEY PCT","HAFS-10477",4e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BASSETLAW PCT","HAFS-10478",1.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BATH & NORTH EAST SOMERSET PCT","HAFS-10479",3.6e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BEDFORDSHIRE PCT","HAFS-10480",5.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BERKSHIRE EAST PCT","HAFS-10481",40097000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BERKSHIRE WEST PCT","HAFS-10482",4.7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BEXLEY CARE TRUST","HAFS-10483",2.4e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BIRMINGHAM EAST AND NORTH PCT","HAFS-10484",5.4e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS","HAFS-10485",21869000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BLACKPOOL PCT","HAFS-10486",26974000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BOLTON PCT","HAFS-10487",3.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BOURNEMOUTH & POOLE PCT","HAFS-10488",4.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BRADFORD AND AIREDALE PCT","HAFS-10489",7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BRENT TEACHING PCT","HAFS-10490",3.9e+07,""
"Department of Health","Department of Health",2011-04-01,"Secondees in invoiced costs","COMMISSIONING","BRIGHTON & HOVE CITY TEACHING PCT","13431949",30060.27,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BRIGHTON & HOVE CITY TEACHING PCT","HAFS-10491",32500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BRISTOL PCT","HAFS-10492",7.7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BROMLEY PCT","HAFS-10493",39500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BUCKINGHAMSHIRE PCT","HAFS-10494",5.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","BURY PCT","HAFS-10495",2.2e+07,""
"Department of Health","Department of Health",2011-04-01,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","CALDERDALE METROPOLITAN BOROUGH COUNCIL","25201190631583",58022,""
"Department of Health","Department of Health",2011-04-01,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","CALDERDALE METROPOLITAN BOROUGH COUNCIL","25201190374118",151550,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CALDERDALE PCT","HAFS-10496",2.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CAMBRIDGESHIRE PCT","HAFS-10497",5e+07,""
"Department of Health","Department of Health",2011-04-01,"Other creditors (ST)","More than one directorate","CAMDEN PCT","PAYMENT MADE IN ERROR TO DH",1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CAMDEN PCT","HAFS-10498",4e+07,""
"Department of Health","Department of Health",2011-04-01,"Outsourcing Contract","COMMISSIONING","CAPGEMINI UK PLC","26020080709710",97954.62,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CENTRAL & EASTERN CHESHIRE PCT","HAFS-10499",5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CENTRAL LANCASHIRE PCT","HAFS-10500",5.4e+07,""
"Department of Health","Department of Health",2011-04-01,"Professional fees","COMMUNICATIONS","CENTRAL OFFICE OF INFORMATION (COI)","732013",18000,""
"Department of Health","Department of Health",2011-04-01,"Publicity & advertising","COMMUNICATIONS","CENTRAL OFFICE OF INFORMATION (COI)","732013",25925,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CITY AND HACKNEY TEACHING PCT","HAFS-10501",3.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CORNWALL & ISLES OF SCILLY PCT","HAFS-10502",82200000,""
