"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Value"
"Department of Health","South Warwickshire NHS Foundation Trust","02/01/2019","Business Rates","Corporate Division","Warwick District Council","DD",68527
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Serv.Recd-Miscellaneous","Out Of Hospital Care Collab","Univ. Hosp Birmingham Nhs Foundation Trust","35910",31136.85
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Pay Cost (Recharges In)","Corporate Division","St Helen & Knowsley Hospitals Nhs Trust","36465",130000
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Consumables","Corporate Division","Nhs Supply Chain","36827",80114.36
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Consumables","Corporate Division","Nhs Supply Chain","36829",-45949.83
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Drugs","Pharmacy","Celgene Ltd","67160",37263
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Drugs","Pharmacy","Celgene Ltd","67161",33242.94
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Serv.Recd-Miscellaneous","Emergency Division","Medica Reporting Ltd (Medica Group)","857820",36648.28
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Pay Cost (Recharges In)","Emergency Division","University Of Warwick","861047",46690.45
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Contract Services","Out Of Hospital Care Collab","Warwickshire County Council","861503",284400
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Fees-Training Course","Corporate Division","Coventry University","864969",30000
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Fees-Training Course","Corporate Division","Coventry University","864970",36250
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Fees-Training Course","Corporate Division","Coventry University","864971",36250
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Serv.Recd-Miscellaneous","Emergency Division","Medica Reporting Ltd (Medica Group)","866649",29279.43
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Agency-Self Bill Holding A/C","Corporate Division","Medicspro Ltd","869352",21952.59
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Contract Laundry Services","Support Services Division","Synergy Health Managed Services Ltd","870978",37198.09
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Serv.Recd-Miscellaneous","Emergency Division","Medica Reporting Ltd (Medica Group)","871694",30956.2
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Electricity","Support Services Division","Npower","871999",41454.1
"Department of Health","South Warwickshire NHS Foundation Trust","03/01/2019","Computer Software Maintenance","Corporate Division","Csc","873588",30840
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Consumables","Corporate Division","Nhs Supply Chain","36958",50251.8
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Consumables","Corporate Division","Nhs Supply Chain","36961",111964.64
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Cap Exp Computers","Capital","C C S Media Ltd","862675",72434.88
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Computer Software Maintenance","Corporate Division","Zoho Corporation Private Ltd","872672",30645
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Cap Exp Works Building","Capital","Chiel Construction Ltd","873289",98654.4
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Cap Exp Works Building","Capital","Allhands Ltd T/A Harrold-Jones Services","874137",69029.68
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Serv.Recd-Miscellaneous","Support Services Division","Clinical Pathology Services Llp","874934",34875
"Department of Health","South Warwickshire NHS Foundation Trust","11/01/2019","Serv.Recd-Miscellaneous","Emergency Division","Warwick Radiology Limited","874947",36598.3
"Department of Health","South Warwickshire NHS Foundation Trust","14/01/2019","Business Rates","Corporate Division","Stratford District Council","DD",53053
"Department of Health","South Warwickshire NHS Foundation Trust","15/01/2019","Drugs","Pharmacy","Alloga Uk Ltd","301017",32400
"Department of Health","South Warwickshire NHS Foundation Trust","15/01/2019","Drugs","Pharmacy","Biotest (Uk) Ltd","301691",37400
"Department of Health","South Warwickshire NHS Foundation Trust","15/01/2019","Phone-Rent - Smartphones","Corporate Division","Vodafone Corporate","873380",85676.77
"Department of Health","South Warwickshire NHS Foundation Trust","15/01/2019","Wheelchair-New Manual","Support Services Division","Invacare (Uk) Ltd","873720",25268.05
"Department of Health","South Warwickshire NHS Foundation Trust","15/01/2019","Blood/Products-Blood","Support Services Division","Nhs Blood And Transplant","DD",64779.92
"Department of Health","South Warwickshire NHS Foundation Trust","15/01/2019","Scheme Contribution","Corporate Division","NHS Litigation Authority","DD",531735.8
"Department of Health","South Warwickshire NHS Foundation Trust","17/01/2019","Consumables","Corporate Division","Nhs Supply Chain","37005",57928.18
"Department of Health","South Warwickshire NHS Foundation Trust","17/01/2019","Drugs","Pharmacy","Abena Uk Limited","66244",57259.1
"Department of Health","South Warwickshire NHS Foundation Trust","17/01/2019","Drugs","Pharmacy","Novartis Pharmaceuticals Uk Ltd","302159",53424
"Department of Health","South Warwickshire NHS Foundation Trust","17/01/2019","Drugs","Pharmacy","Novartis Pharmaceuticals Uk Ltd","302160",106848
"Department of Health","South Warwickshire NHS Foundation Trust","17/01/2019","Drugs","Pharmacy","Novartis Pharmaceuticals Uk Ltd","302161",53433.59
"Department of Health","South Warwickshire NHS Foundation Trust","17/01/2019","M&S-Other General Consumables","Emergency Division","Abbott Laboratories Ltd","873576",39600
"Department of Health","South Warwickshire NHS Foundation Trust","22/01/2019","Computer H/Ware Maint.Contract","Corporate Division","Convergence Group Ltd","874061",28618.4
"Department of Health","South Warwickshire NHS Foundation Trust","24/01/2019","Inc Non Sla Comm Other Adjusts","Income Clinical Commissioning","Nhs Warwickshire North Ccg","36923",-91336
"Department of Health","South Warwickshire NHS Foundation Trust","24/01/2019","Drugs","Pharmacy","Bristol Myers Squibb Pharm Ltd","302696",51723.72
"Department of Health","South Warwickshire NHS Foundation Trust","24/01/2019","Computer Software","Corporate Division","Advanced Business Solutions","867409",71766
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Drugs","Pharmacy","Abena Uk Limited","67460",56509.31
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Drugs","Pharmacy","Alloga Uk Ltd","303168",27000
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Drugs","Pharmacy","Janssen-Cilag Ltd","303173",26428.56
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Drugs","Pharmacy","Aah Hospital Service","303192",32349.12
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","M&S-Other General Equipment","Support Services Division","Arjo Ltd","839079",28653.6
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Serv.Recd-Miscellaneous","Support Services Division","Clinical Pathology Services Llp","874936",47975
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Engineering External Contracts","Support Services Division","Steris Solutions Ltd","875474",37632
"Department of Health","South Warwickshire NHS Foundation Trust","29/01/2019","Engineering External Contracts","Support Services Division","Bmm Weston Ltd","875627",26280
"Department of Health","South Warwickshire NHS Foundation Trust","08//01/2019","Drugs","Pharmacy","AAH Pharmacautical","FP",43395
