"Meetings.Minister.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Desmond Swayne TD MP.RT Hon Lynne Featherstone MP.Overseas Travel.Minister","Date.Oct-14.Oct-14.Oct-14.Oct-14.Nov-14.Nov-14.Nov-14.Nov-14.Nov-14.Dec-14.Dec-14.Oct-14.Date(s) of trip","Name of organisation or individual.Tearfund.World Vision.Children in Crisis.International Rescue Committee.Norwegian Refugee Council.Save the Children.War Child UK.Said Foundation.Vitol Foundation .Islam Channel.Al Quds Newspaper.Al-Sharq Al-awsat Newspaper.Muslim News.Al Hayat Newspaper.Al Arabiya TV .Total Politics.Westminster Foundation for Democracy.Bretton Woods Project.Oxfam.Forest People's Programme.ADD International.ActionAid.Amnesty International.Sightsavers.Portland Trust.Metropolitan Police.Oxfam.UNRWA.Kids in Kampz.UNRWA.Save the Children.International Rescue Committee.Handicap International .International Committee of the Red Cross.War Child UK.Destination","Purpose of meeting.Discussion about Education in Emergencies.Interview about Gaza Response .Interview about role at DFID.Discussion about work of the WFD.Discussion about World Bank Safeguards.Discussion about Palestinian Private Sector .To discuss Anti-Corruption.Discussion about humanitarian situation in Gaza.Discussion about humanitarian situation in Gaza.To discuss their work in supporting child refugees on the Thai/Burmese border.Discussion about humanitarian situation in Gaza.Roundtable discussion on the protection of Child Refugees.Purpose of trip","Mode of transport","Cost of private jet or RAF plane hire, if relevant (£)","Number of officials who accompanied minister if non-shceduled travel was used","Accompanied by spouse, family member(s) or friend at public expense?","Total cost (for minister only) including all visas, accommodation, travel, meals etc (£)"
"RT Hon Desmond Swayne TD MP","12 - 15 October 2014","Cairo and Jerusalem","Gaza Reconstruction Conference","Scheduled flight","","","No",3271.41
"RT Hon Desmond Swayne TD MP","28th November 2014","Berlin","Conference on Syrian Refugees in Jordan and Lebanon","Scheduled flight","","","No",825.84
"Hospitality","","","","","","","",
"Minister","Date","Person or organisation that offered hospitality","Type of hospitality received","Accompanied by spouse, family member(s) or friend?","","","",
"RT Hon Desmond Swayne TD MP","Nil return","","","","","","",
"Gifts","","","","","","","",
"Minister","Date","Gift","Given or received","Who gift was given to or received from","Value (£)","Outcome 
(received gifts only)","",
"NIL return","","","","","","Used for official hospitality","",
"Notes","","","","","","","",
"Gifts","Gifts over £140 (given and received)","","","","","","",
"Hospitality","Hospitality (not including functions hosted by the Government or Royal Household, diplomatic functions hosted by overseas governments or organisations, minor refreshments at meetings, receptions, conferences, seminars or offers that were declined.","","","","","","",
"Overseas Travel","","","","","","","",
"Meetings with external organisations","Meetings with external organisations (not including conferences, receptions or media interviews, meetings with government departments or bodies, the Royal Household, non-departmental public bodies, non-ministerial departments, agencies, external suppliers, or representatives of Parliament or any devolved or foreign governments)","","","","","","",
