"Posted_Date","Merchant_Name","Invoice_Net_Line_Amount"
2016-02-01,"SHERATON HOTEL",1015.16
2016-02-01,"SHERATON HOTEL",1015.16
2016-02-02,"THE UNIVERSITY OF LIVE",1335
2016-02-02,"CIVIL SERVICE LEARNING",431.82
2016-02-03,"KELWAY LIMITED",1007
2016-02-04,"KELWAY LIMITED",586.41
2016-02-08,"WWW.NEOPOST.CO.UK",429.17
2016-02-10,"SUNBIRD CHAIN HOTELS",480.24
2016-02-10,"SUNBIRD CHAIN HOTELS",448.23
2016-02-12,"WWW.MISCO.CO.UK",980.99
2016-02-12,"WWW.UK.INSIGHT.COM",2713.5
2016-02-15,"SHERATON HOTEL",3951.76
2016-02-18,"KING OF COTTON",746
2016-02-19,"XMA LTD",905
2016-02-23,"WWW.CAPITATRAVELANDEVE",1495
2016-02-24,"WWW.CAPITATRAVELANDEVE",1495
2016-02-24,"WWW.CAPITATRAVELANDEVE",1495
2016-02-24,"WWW.CAPITATRAVELANDEVE",1495
2016-02-25,"KING OF COTTON",899.92
2016-02-25,"TOTAL BUSINESS FURNITU",585
2016-02-25,"WWW.APM.ORG.UK",517
2016-02-25,"WWW.APM.ORG.UK",517
