"Data_x","Data_y","x0001","y0001"
897.508789,-74.29730219,897.508789,
896.357422,53.94787318,896.357422,
895.206055,195.1600994,895.206055,
894.054688,51.89333955,894.054688,
892.90332,73.65126172,892.90332,
891.750977,36.80227826,891.750977,
890.598633,39.02022241,890.598633,
889.446289,-19.50178713,889.446289,
888.293945,-67.15608328,888.293945,
887.140625,-12.8833862,887.140625,
885.987305,19.68924349,885.987305,
884.833984,28.4102138,884.833984,
883.679688,76.13428147,883.679688,
882.526367,45.8558488,882.526367,
881.37207,-25.55201807,881.37207,
880.216797,17.84551335,880.216797,
879.0625,93.70935965,879.0625,
877.907227,5.057616171,877.907227,
876.751953,100.3956789,876.751953,
875.59668,72.39198313,875.59668,
874.44043,-16.12756908,874.44043,
873.28418,-104.6190589,873.28418,
872.12793,-28.71662954,872.12793,
870.97168,185.5188876,870.97168,
869.814453,62.56088166,869.814453,
868.658203,60.68474215,868.658203,
867.5,67.48690256,867.5,
866.342773,180.1499765,866.342773,
865.18457,187.0072115,865.18457,
864.027344,170.1630916,864.027344,
862.868164,200.8580867,862.868164,
861.709961,117.2328094,861.709961,
860.550781,232.1717652,860.550781,
859.391602,256.5350449,859.391602,
858.232422,276.6395218,858.232422,
857.073242,232.1275052,857.073242,
855.913086,273.9213295,855.913086,
854.75293,343.7853674,854.75293,
853.592773,482.6380397,853.592773,
852.431641,451.3491778,852.431641,
851.270508,547.2139001,851.270508,
850.109375,548.392305,850.109375,
848.948242,605.6279829,848.948242,
847.786133,602.6757439,847.786133,
846.625,713.856797,846.625,
845.462891,782.0690011,845.462891,
844.299805,852.5061034,844.299805,
843.137695,974.6245336,843.137695,
841.974609,1047.358737,841.974609,
840.811523,1206.143145,840.811523,
839.647461,1165.145081,839.647461,
838.484375,1504.526482,838.484375,
837.320313,1721.460007,837.320313,
836.155273,1869.712045,836.155273,
834.991211,1904.248666,834.991211,
833.826172,2190.02712,833.826172,
832.661133,2413.586662,832.661133,
831.496094,2780.929406,831.496094,
830.330078,3146.108696,830.330078,
829.165039,3444.796001,829.165039,
827.999023,3822.827291,827.999023,
826.832031,4185.840247,826.832031,
825.666016,4383.835769,825.666016,
824.499023,4879.715086,824.499023,
823.332031,5390.531706,823.332031,
822.164063,5659.285352,822.164063,
820.99707,6229.984457,820.99707,
819.829102,6723.537757,819.829102,
818.661133,7490.983781,818.661133,
817.492188,8185.515249,817.492188,
816.324219,8809.319889,816.324219,
815.155273,9920.659526,815.155273,
813.985352,10845.6562,813.985352,
812.816406,12215.08611,812.816406,
811.646484,13505.01043,811.646484,
810.476563,14662.06341,810.476563,
809.306641,15677.78827,809.306641,
808.135742,16460.43601,808.135742,
806.964844,16822.2457,806.964844,
805.793945,16050.42684,805.793945,
804.623047,15633.46213,804.623047,
803.451172,14662.0352,803.451172,
802.279297,13433.07162,802.279297,
801.107422,11878.487,801.107422,
799.935547,10819.53949,799.935547,
798.762695,9541.645287,798.762695,
797.589844,8552.27609,797.589844,
796.416992,7708.452274,796.416992,
795.243164,6686.211665,795.243164,
794.070313,6056.567564,794.070313,
792.896484,5655.266566,792.896484,
791.72168,5194.707521,791.72168,
790.547852,4900.57728,790.547852,
789.373047,4400.310662,789.373047,
788.198242,3962.151006,788.198242,
787.022461,3781.771275,787.022461,
785.847656,3471.904915,785.847656,
784.671875,3326.081219,784.671875,
783.496094,3265.529132,783.496094,
782.319336,3413.465829,782.319336,
781.143555,3045.130901,781.143555,
779.966797,2821.590055,779.966797,
778.789063,2647.162374,778.789063,
777.612305,2980.503324,777.612305,
776.43457,2908.34157,776.43457,
775.256836,2944.620092,775.256836,
774.079102,2736.988367,774.079102,
772.900391,2584.761846,772.900391,
771.72168,2651.233962,771.72168,
770.542969,2739.028191,770.542969,
769.364258,2589.457908,769.364258,
