"time[s]","posx[m]","posy[m]","pospathx[m]","pospathy[m]","vel[km/h]","accx[m/ss]","yaw[rad]"
0,413.3765,-18.208,413.771,-20.175,48.19,0.2,-1.359054
0.1,413.639,-19.5215,414.033,-21.488,48.26,0.2,-1.361912
0.2,413.9025,-20.837,414.296,-22.804,48.33,0.2,-1.364759
0.3,414.1655,-22.154,414.559,-24.121,48.4,0.2,-1.367588
0.4,414.429,-23.474,414.822,-25.441,48.47,0.2,-1.36968
0.5,414.693,-24.795,415.086,-26.762,48.54,0.2,-1.371042
0.6,414.9575,-26.118,415.351,-28.085,48.61,0.2,-1.371938
0.7,415.222,-27.4425,415.615,-29.41,48.61,0,-1.372534
0.8,415.486,-28.7655,415.879,-30.733,48.54,-0.2,-1.372919
0.9,415.75,-30.086,416.143,-32.053,48.39,-0.4,-1.373164
1,416.013,-31.401,416.406,-33.368,48.18,-0.6,-1.373323
1.1,416.274,-32.7095,416.667,-34.677,47.89,-0.8,-1.373437
1.2,416.534,-34.0095,416.927,-35.977,47.55,-0.93,-1.373504
1.3,416.792,-35.3,417.185,-37.267,47.2,-0.98,-1.373542
1.4,417.048,-36.581,417.441,-38.548,46.83,-1.02,-1.373571
1.5,417.3015,-37.851,417.694,-39.818,46.45,-1.07,-1.373591
1.6,417.553,-39.111,417.946,-41.078,46.05,-1.1,-1.373602
1.7,417.803,-40.36,418.196,-42.327,45.64,-1.14,-1.373611
1.8,418.05,-41.597,418.443,-43.564,45.21,-1.18,-1.373611
1.9,418.295,-42.823,418.688,-44.79,44.78,-1.21,-1.373611
2,418.537,-44.0365,418.93,-46.004,44.33,-1.25,-1.37362
2.1,418.777,-45.238,419.17,-47.205,43.87,-1.28,-1.373627
2.2,419.014,-46.426,419.407,-48.393,43.36,-1.4,-1.373625
2.3,419.249,-47.6,419.642,-49.567,42.83,-1.48,-1.373625
2.4,419.481,-48.7595,419.874,-50.727,42.3,-1.49,-1.373625
2.5,419.709,-49.904,420.102,-51.871,41.75,-1.51,-1.373623
2.6,419.935,-51.034,420.328,-53.001,41.2,-1.53,-1.373698
2.7,420.158,-52.1485,420.551,-54.116,40.64,-1.56,-1.374065
2.8,420.377,-53.248,420.77,-55.215,40.07,-1.58,-1.374648
2.9,420.594,-54.3315,420.987,-56.299,39.49,-1.6,-1.375382
3,420.807,-55.399,421.2,-57.366,38.91,-1.63,-1.376247
3.1,421.017,-56.451,421.41,-58.418,38.31,-1.66,-1.377196
3.2,421.224,-57.486,421.617,-59.453,37.7,-1.68,-1.378202
3.3,421.427,-58.505,421.82,-60.472,37.09,-1.71,-1.379254
3.4,421.6275,-59.507,422.02,-61.474,36.46,-1.74,-1.380342
3.5,421.824,-60.491,422.217,-62.458,35.82,-1.77,-1.381451
3.6,422.017,-61.458,422.41,-63.425,35.17,-1.81,-1.382578
3.7,422.207,-62.407,422.6,-64.374,34.51,-1.84,-1.383725
3.8,422.393,-63.338,422.786,-65.305,33.83,-1.88,-1.384878
3.9,422.571,-64.252,422.96,-66.22,33.15,-1.91,-1.386042
4,422.7305,-65.151,423.104,-67.122,32.44,-1.95,-1.387178
4.1,422.884,-66.031,423.246,-68.004,31.73,-1.99,-1.38773
4.2,423.0325,-66.8915,423.386,-68.866,31,-2.03,-1.387826
4.3,423.176,-67.732,423.523,-69.708,30.25,-2.07,-1.387562
4.4,423.3155,-68.5525,423.658,-70.529,29.49,-2.11,-1.387006
4.5,423.4505,-69.3515,423.79,-71.329,28.71,-2.16,-1.386215
4.6,423.581,-70.1295,423.918,-72.107,27.92,-2.2,-1.38494
4.7,423.708,-70.885,424.043,-72.863,27.11,-2.25,-1.382933
4.8,423.831,-71.618,424.165,-73.596,26.28,-2.3,-1.380317
4.9,423.95,-72.3285,424.283,-74.307,25.44,-2.35,-1.377211
5,424.065,-73.0155,424.397,-74.994,24.58,-2.39,-1.37369
5.1,424.1755,-73.6785,424.507,-75.657,23.7,-2.44,-1.369821
5.2,424.282,-74.3175,424.613,-76.296,22.8,-2.49,-1.365664
5.3,424.3735,-74.854,424.706,-76.832,21.93,-2.42,-1.361164
5.4,424.4945,-75.4035,424.858,-77.376,21.08,-2.35,-1.356123
5.5,424.615,-75.9315,425.003,-77.9,20.26,-2.28,-1.35064
5.6,424.733,-76.4385,425.14,-78.403,19.47,-2.21,-1.344824
5.7,424.8485,-76.926,425.271,-78.887,18.7,-2.13,-1.338738
5.8,424.961,-77.3935,425.396,-79.352,18.01,-1.93,-1.332432
5.9,425.0845,-77.8445,425.545,-79.797,17.39,-1.73,-1.32596
6,425.223,-78.281,425.722,-80.224,16.84,-1.53,-1.319352
6.1,425.3605,-78.703,425.891,-80.638,16.36,-1.33,-1.31263
6.2,425.4965,-79.1125,426.053,-81.04,15.88,-1.32,-1.305832
6.3,425.631,-79.51,426.209,-81.431,15.4,-1.34,-1.299031
6.4,425.764,-79.8945,426.36,-81.81,14.92,-1.35,-1.292253
6.5,425.893,-80.266,426.504,-82.177,14.42,-1.37,-1.285495
6.6,426.0225,-80.631,426.647,-82.537,13.93,-1.38,-1.278748
6.7,426.1525,-80.99,426.79,-82.892,13.42,-1.39,-1.272048
6.8,426.278,-81.335,426.927,-83.233,12.92,-1.41,-1.26595
6.9,426.4,-81.667,427.058,-83.562,12.41,-1.42,-1.26033
7,426.5175,-81.9855,427.183,-83.878,11.89,-1.43,-1.255086
7.1,426.6305,-82.29,427.303,-84.18,11.38,-1.43,-1.250147
7.2,426.739,-82.581,427.417,-84.469,10.86,-1.44,-1.245461
7.3,426.8425,-82.858,427.525,-84.744,10.35,-1.44,-1.24127
7.4,426.9415,-83.122,427.628,-85.007,9.83,-1.43,-1.23782
7.5,427.0435,-83.393,427.733,-85.277,9.32,-1.41,-1.234982
7.6,427.1285,-83.629,427.817,-85.513,8.82,-1.39,-1.232652
7.7,427.2085,-83.853,427.895,-85.738,8.38,-1.25,-1.230746
7.8,427.285,-84.0655,427.97,-85.951,8,-1.05,-1.229195
7.9,427.358,-84.27,428.042,-86.156,7.7,-0.85,-1.227937
8,427.429,-84.467,428.112,-86.353,7.46,-0.65,-1.226962
8.1,427.498,-84.6595,428.18,-86.546,7.3,-0.45,-1.226238
8.2,427.566,-84.849,428.247,-86.736,7.28,-0.08,-1.22575
8.3,427.633,-85.038,428.313,-86.925,7.25,-0.07,-1.225447
8.4,427.7005,-85.2265,428.38,-87.114,7.22,-0.08,-1.225298
8.5,427.7675,-85.4145,428.446,-87.302,7.2,-0.08,-1.225289
8.6,427.834,-85.601,428.512,-87.489,7.17,-0.07,-1.225397
8.7,427.9005,-85.788,428.578,-87.676,7.15,-0.06,-1.225596
8.8,427.967,-85.9735,428.644,-87.862,7.13,-0.05,-1.225879
8.9,428.0335,-86.1595,428.71,-88.048,7.12,-0.03,-1.226221
9,428.099,-86.3445,428.775,-88.233,7.12,-0.01,-1.226548
9.1,428.1655,-86.5305,428.841,-88.419,7.18,0.19,-1.226843
9.2,428.2325,-86.72,428.908,-88.609,7.32,0.39,-1.227109
9.3,428.3015,-86.913,428.976,-88.802,7.54,0.59,-1.227362
