"Department family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount"
"HMRC","HMRC",2011-01-05,"Forensic Services","Criminal Investigations","CCL Forensics Limited",5100080972,75307.72
"HMRC","HMRC",2011-01-06,"STEPS FUP VAT recvbl","Estates & Support Services","Mapeley Steps Limited",1700097407,-2610.12
"HMRC","HMRC",2011-01-06,"STEPS FUP VAT recvbl","Estates & Support Services","Mapeley Steps Limited",1700097407,-93705.32
"HMRC","HMRC",2011-01-06,"Specialty envelopes","Commercial Directorate","Banner Business Services Ltd",5100080513,81371.1
"HMRC","HMRC",2011-01-06,"Rent","Estates & Support Services","Mapeley Steps Limited",5100081163,39259.17
"HMRC","HMRC",2011-01-06,"Rent","Estates & Support Services","Mapeley Steps Limited",5100081166,84830.41
"HMRC","HMRC",2011-01-06,"OGD costs","Estates & Support Services","HM Land Registry",5100081170,65379.94
"HMRC","HMRC",2011-01-06,"Rent","Estates & Support Services","Ernst & Young",5100081174,31137.5
"HMRC","HMRC",2011-01-06,"Landlord Charges","Estates & Support Services","Ernst & Young",5100081174,1560.76
"HMRC","HMRC",2011-01-06,"Landlord Charges","Estates & Support Services","Mapeley Steps Limited",5100081176,30168.81
"HMRC","HMRC",2011-01-06,"Rent","Estates & Support Services","Mapeley Steps Limited",5100081176,26664.66
"HMRC","HMRC",2011-01-06,"Rent","Estates & Support Services","Cording Asset Management LLP",5100081179,78750
"HMRC","HMRC",2011-01-06,"Commission Fees","Debt Management & Banking","Commercial Collection Services",5100081202,119965.15
"HMRC","HMRC",2011-01-06,"Postal delivery serv","Commercial Directorate","Royal Mail",5100081285,592225.52
"HMRC","HMRC",2011-01-06,"Grant in Aid Funding","Individuals Customer Directorate","Citizens Advice Bureau",5100081306,41250
"HMRC","HMRC",2011-01-06,"Grant in Aid Funding","Individuals Customer Directorate","Tax Volunteers",5100081310,40000
"HMRC","HMRC",2011-01-07,"High Court Costs","Debt Management & Banking","RBSG Central",1900180461,40000
"HMRC","HMRC",2011-01-07,"Maintenance fees","Information Management Solutions","Accenture (UK) Limited",5100081506,260584.79
"HMRC","HMRC",2011-01-07,"Electricity","Estates & Support Services","Mapeley Steps Limited",5100081651,2454669.31
"HMRC","HMRC",2011-01-07,"Electricity","Estates & Support Services","Mapeley Steps Limited",5100081651,177645.04
"HMRC","HMRC",2011-01-07,"Water","Estates & Support Services","Mapeley Steps Limited",5100081651,167503.86
"HMRC","HMRC",2011-01-07,"Oil","Estates & Support Services","Mapeley Steps Limited",5100081651,146509.95
"HMRC","HMRC",2011-01-07,"Gas","Estates & Support Services","Mapeley Steps Limited",5100081651,128771.32
"HMRC","HMRC",2011-01-07,"Water","Estates & Support Services","Mapeley Steps Limited",5100081651,44175.16
"HMRC","HMRC",2011-01-07,"Gas","Estates & Support Services","Mapeley Steps Limited",5100081651,17630.04
"HMRC","HMRC",2011-01-07,"Electricity","Estates & Support Services","Mapeley Steps Limited",5100081651,12221.47
"HMRC","HMRC",2011-01-07,"Oil","Estates & Support Services","Mapeley Steps Limited",5100081651,2248.81
"HMRC","HMRC",2011-01-07,"Gas","Estates & Support Services","Mapeley Steps Limited",5100081651,423.55
"HMRC","HMRC",2011-01-07,"Oil","Estates & Support Services","Mapeley Steps Limited",5100081651,146.29
"HMRC","HMRC",2011-01-07,"Oth PFI unitary chrg","Estates & Support Services","Newcastle Estate Partnership",5100081987,3641756.89
"HMRC","HMRC",2011-01-10,"Grant in Aid Funding","Individuals Customer Directorate","One Parent Families",5100081593,37845
"HMRC","HMRC",2011-01-10,"Non PFI serv VAT","Estates & Support Services","MacLellan International Limited",5100081618,51044.41
"HMRC","HMRC",2011-01-10,"Landlord Charges","Estates & Support Services","Mapeley Steps Limited",5100081921,24109.31
"HMRC","HMRC",2011-01-10,"Rent","Estates & Support Services","Mapeley Steps Limited",5100081921,19707.2
"HMRC","HMRC",2011-01-10,"Business Consultancy","Finance & Internal Audit","Deloitte M C S Ltd",5100081964,47056.4
"HMRC","HMRC",2011-01-10,"Postal delivery serv","Commercial Directorate","TNT Post UK Ltd",5100082011,36756.48
"HMRC","HMRC",2011-01-10,"Postal delivery serv","Commercial Directorate","TNT Post UK Ltd",5100082013,64887.45
"HMRC","HMRC",2011-01-10,"Rent","Estates & Support Services","Jones Lang Lasalle",5100082077,84000
"HMRC","HMRC",2011-01-10,"County Court Proceed","Debt Management & Banking","Her Majesty's Court Service",5100082079,59850
"HMRC","HMRC",2011-01-10,"Hardware maintenance","Information Management Solutions","CapGemini UK Plc - PeoplePoint",5100082437,1045237.9
"HMRC","HMRC",2011-01-11,"GSI Line Rental","Information Management Solutions","Cable & Wireless",5100082106,140639.72
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","People Function","MacLellan International Limited",5100082267,8884.61
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Large Business Service","MacLellan International Limited",5100082267,8583.41
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Charities, Assets & Residence","MacLellan International Limited",5100082267,5150.05
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Specialist Investigations (SI)","MacLellan International Limited",5100082267,5150.05
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Charities, Assets & Residence","MacLellan International Limited",5100082267,4529.61
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Customer Operations PSA & NICEO","MacLellan International Limited",5100082267,3162.32
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Customer Operations PSA & NICEO","MacLellan International Limited",5100082267,2923.48
"HMRC","HMRC",2011-01-11,"Temp clerical/admin","Central Compliance","MacLellan International Limited",5100082267,2861.14
"HMRC","HMRC",2011-01-11,"Mail delivery/pickup","Commercial Directorate","DWP",5100082319,43382.57
"HMRC","HMRC",2011-01-11,"Rent","Estates & Support Services","Mapeley Steps Limited",5100082325,54833.33
"HMRC","HMRC",2011-01-11,"Landlord Charges","Estates & Support Services","Mapeley Steps Limited",5100082325,52871.22
"HMRC","HMRC",2011-01-11,"Grant in Aid Funding","Individuals Customer Directorate","One Parent Families",5100082344,27920
"HMRC","HMRC",2011-01-11,"Mail delivery/pickup","Commercial Directorate","G3 Worldwide (UK) Ltd",5100082478,68221.91
"HMRC","HMRC",2011-01-11,"Mail delivery/pickup","Commercial Directorate","G3 Worldwide (UK) Ltd",5100082478,21786.39
"HMRC","HMRC",2011-01-12,"Storage (non enfmnt)","Estates & Support Services","Iron Mountain (UK) Limited Ltd",5100082561,112175.65
"HMRC","HMRC",2011-01-12,"Vehicle servicing ma","Commercial Directorate","Inchcape Fleet Solutions",5100082623,104149.71
"HMRC","HMRC",2011-01-12,"Dept forms Stock","Commercial Directorate","St Ives",5100082648,26635.72
"HMRC","HMRC",2011-01-12,"Vehicle leasing","Commercial Directorate","Inchcape Fleet Solutions",5100082685,27698.68
"HMRC","HMRC",2011-01-12,"Dept forms Stock","Commercial Directorate","St Ives Direct",5100082718,12130.7
"HMRC","HMRC",2011-01-12,"Depart Booklet Stk","Commercial Directorate","St Ives Direct",5100082718,10264.8
"HMRC","HMRC",2011-01-12,"Dept forms Stock","Commercial Directorate","St Ives Direct",5100082718,4737.6
