"Dates","Destination","Purpose","Travel","V1",".1","Other","Total Cost"
,"","","Air","Rail","Taxi/Car","",
2014-04-04,"Cardiff","Official meeting","","£65.60","","",65.6
2014-04-09,"London","Official meeting","","","£16.00","",16
2014-05-06,"Leicester","Official meeting","","£64.00","£26.00","",90
2014-05-08,"London","Official meeting","","","£10.00","",10
2014-05-23,"Salisbury","Official meeting","","","£12.00","",12
2014-05-14,"Warrington","Official meeting","","£54.50","","",54.5
2014-06-24,"London","Official meeting","","","£12.00","",12
2014-06-30,"London","Official meeting","","","£10.00","",10
,"","","","","Total Expenses Claim for Q1","",270.1
