"# energy (MeV)","n (cm2 g-1)"
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,3.71414644576854
8.2,9.13822460489397
8.3,1.29313347910082
8.4,1.50934770041114
8.5,1.56246512442035
8.6,3.59856171457514
8.7,6.47137715950782
8.8,1.01809114592183
8.9,1.47271646137066
9,2.01101366229728
9.1,2.34011060352616
9.2,2.66920780803028
9.3,2.99830527580961
9.4,3.32740300686417
9.5,3.65650100119395
9.6,4.68032600582353
9.7,5.70415182950506
9.8,6.72797847223853
9.9,7.75180593402396
10,8.77563421486134
10.1,9.0802201393001
10.2,9.38479844632933
10.3,9.68936913594905
10.4,9.3223909347777
10.5,8.95551760236972
10.6,7.12607536941814
10.7,5.29754287012527
10.8,3.4699201044911
10.9,3.83350442784045
11,4.19677347065758
11.1,7.66361486425143
11.2,1.11303587558234
11.3,1.45970051642043
11.4,1.55052672998989
11.5,1.64130543796659
11.6,1.38565909145088
11.7,1.13013492556156
11.8,8.7473294029864
11.9,6.19453135662116
12,3.64295511651987
12.1,3.21791731094208
12.2,2.79288584414179
12.3,2.36786072215205
12.4,3.64171969708608
12.5,4.91478498443247
12.6,6.52426824833389
12.7,8.15503117230598
12.8,9.80707375634876
12.9,1.14803960004622
13,1.31749979046464
13.1,1.45284190997491
13.2,1.59368217669612
13.3,1.28996505815617
13.4,9.838166476706
13.5,9.72414305684536
13.6,1.11888378696734
13.7,1.27089090155513
13.8,1.23351725716948
13.9,1.19626197469437
14,1.15912505623219
14.1,1.11521871611956
14.2,1.0690829516803
14.3,1.34433401711041
14.4,1.62206304158973
14.5,1.90227002511826
14.6,2.13725327744585
14.7,2.37651332354783
14.8,2.62005015974961
14.9,2.11210191075062
15,1.60464463080997
15.1,1.40848543895815
15.2,1.20798223134185
15.3,1.11743813978527
15.4,1.02649792846224
15.5,1.05338956940744
15.6,1.08043965228219
15.7,1.08521131895776
15.8,1.08998298874534
15.9,1.09475466164492
16,1.09952633765651
16.1,1.10385130178809
