T,Cp,S,H
5,0.171556,0.045847,0.187805
10,0.801538,0.325786,2.37627
20,6.7989,2.2215,32.9941
30,21.2094,7.49186,167.842
40,39.5968,16.0526,469.82
50,59.9057,27.0442,966.177
75,111.062,61.1709,3113.7
100,154.253,99.2364,6447.5
125,191.552,137.731,10777.6
150,226.353,175.759,16005.2
175,259.188,213.146,22079.1
200,289.447,249.763,28943.1
225,316.603,285.455,36525.5
250,340.498,320.077,44746
275,361.264,353.528,53524.2
298.15,377.954,383.408,62085.1
300,379.191,385.75,62785.5
325,394.626,416.726,72463
