x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.990969216,0.98564856,0.996930423,0.994101089,0.955046366,0.995053994,0.9966408,0.996719195,0.995320581,0.99337057,0.990121011,0.997670957,0.994782609,62282,TRUE,OPTIMAL,0.844933033
Org_kmax_kmin,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.990969216,0.98564856,0.996930423,0.994101089,0.955046366,0.995053994,0.9966408,0.996719195,0.995320581,0.99337057,0.990121011,0.997670957,0.994782609,62282,TRUE,OPTIMAL,0.892350912
Dim.  1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1.004674759,0.967951064,1.012836413,1.022322849,0.995299134,0.980243453,1.005077861,0.97501748,1.066798019,0.951349376,0.95446027,1.035703995,1.025781846,63425,FALSE,OPTIMAL,0.011315107
Dim.  2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.996308003,0.959821195,1.022882302,1.029151879,0.990957898,0.965460391,0.99919275,0.975178831,1.076403142,0.962598528,0.946428571,1.040314061,1.02877193,63403,FALSE,OPTIMAL,0.124247074
Dim.  3,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.997157959,0.975061431,0.995256108,1.032945784,0.975545223,0.995933284,1.040154159,0.970472759,0.998878034,0.977684397,0.961233669,1.030853823,1.032982456,62995,FALSE,OPTIMAL,0.087547064
Dim.  4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.999575022,0.994118262,0.996186283,1.014783992,0.969354466,1.007089275,0.994609656,0.996799871,0.997345593,0.951636478,0.987283144,1.038153093,1.036521739,62876,FALSE,OPTIMAL,0.171077013
Dim.  5,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.991633244,0.968761437,0.996341312,1.021539591,0.968429705,1.011073558,0.999062549,0.983138816,0.993870235,0.98700214,0.987524095,1.040794276,1.02215103,62784,FALSE,OPTIMAL,0.206395864
Dim.  6,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.973359186,0.994745648,0.973241969,1.046530412,0.994528501,1.002418047,0.997187646,0.995374603,0.998549654,0.972386073,0.969747269,0.997310795,1.023188406,62652,FALSE,OPTIMAL,0.560192108
Dim.  7,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.998857871,0.989648141,0.986264418,0.995300453,0.98011765,1.010578957,0.997109526,0.968186952,0.99983581,0.981547215,1.00275755,0.997238763,1.04402746,62577,FALSE,OPTIMAL,0.971858025
Dim.  8,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.994767457,0.993700005,1.019688701,0.99823767,0.965963677,1.003984283,0.999114629,1.016861184,0.998385464,0.971942371,0.985837438,0.99937572,0.996521739,62460,FALSE,OPTIMAL,0.619186878
