x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0.995087586,0.994153562,0.981856191,0.999118641,0.980413742,0.991188001,0.97677056,0.960849264,0.977495276,0.965968154,0.999164927,0.936507937,0.999713641,0.963025556,0.913867841,0.951198525,0.994031166,0.950597482,0.992162269,0.993417528,0.997718698,0.998309569,0.969667535,0.997285282,0.978304435,0.974826592,0.983950012,0.992926099,0.978546483,0.983706883,41630,TRUE,OPTIMAL,71.53612518
Org_kmax_kmin,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0.995087586,0.994153562,0.981856191,0.999118641,0.980413742,0.991188001,0.97677056,0.960849264,0.977495276,0.965968154,0.999164927,0.936507937,0.999713641,0.963025556,0.913867841,0.951198525,0.994031166,0.950597482,0.992162269,0.993417528,0.997718698,0.998309569,0.969667535,0.997285282,0.978304435,0.974826592,0.983950012,0.992926099,0.978546483,0.983706883,41630,TRUE,OPTIMAL,89.2805841
Dim.  1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1.049086062,0.985568918,1.119670256,1.000146893,1.078023944,0.999712261,0.986586367,0.959013449,0.949450266,0.935483871,0.978997912,0.978848915,1.007588503,0.990849134,0.924863436,0.940503995,1.06129071,0.862138102,1.048680583,0.999119786,1.098052119,0.955166838,1.019735971,1.004642562,1.144201446,1.047307303,0.984317569,0.929885153,0.961250624,0.998966778,43495,FALSE,OPTIMAL,0.012024879
Dim.  2,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1.076770754,0.95400555,1.138957914,0.995054595,0.990092198,1.017120455,0.990457941,0.914794269,0.950566913,0.956480488,0.95736952,0.951216672,1.022622329,0.965375103,0.915348018,0.921655398,1.010455474,0.920402598,1.062386766,1.006544202,1.072519084,0.934330442,1.024592697,1.017862061,1.154439313,1.053503234,0.989014131,0.955143142,0.986653917,1.010054045,43396,FALSE,OPTIMAL,0.005004883
Dim.  3,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1.068697639,0.932765957,1.111623871,0.949615629,1.025778634,1.058554832,0.988854562,1.010376342,0.973544065,1.02173913,0.989436326,0.923933714,1.036331746,0.952967848,0.990414097,0.916123745,1.018988102,0.931028952,1.076368649,1.036892461,1.060454506,0.974864031,1.000485673,1.032458591,0.98335802,1.01141766,0.919423344,0.939289281,1.033843339,0.927793674,42966,FALSE,TIME_LIMIT,0.035736799
Dim.  4,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1.017669459,0.970508788,0.993452451,0.993389806,1.054997477,1.05790742,0.977044308,0.962844714,1.018682357,0.971825757,0.999498956,0.886405092,1.044206608,0.918796373,0.940017621,0.915017414,1.00957417,0.933234421,1.080189051,1.025602755,1.089234009,0.996986624,1.015453221,1.090333242,0.999346519,0.995947315,1.002613738,0.967917776,1.033053384,0.956326498,42815,FALSE,TIME_LIMIT,0.042680979
Dim.  5,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.997524752,1.00173913,0.993334122,0.97497919,1.033209486,1.032550444,0.961518908,0.961368081,1.033026971,0.986634766,1.020167015,0.998874529,1.0497906,0.891302556,0.984599119,0.911329646,0.997796739,0.977825006,1.063844033,1.002564103,1.098885672,0.942341614,0.993112279,1.026084904,0.999520781,1.021120723,0.972229029,0.962674767,1.066979877,0.962486091,42754,FALSE,TIME_LIMIT,0.051748037
Dim.  6,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1.009977152,0.974949121,0.989153157,0.939528962,1.107426265,1.025896486,0.965859763,0.969349882,1.054415049,0.981230922,1.024509395,0.978848915,0.991946165,0.961582852,0.965709251,0.96390084,1.016945079,0.961745128,1.028239464,1.034978951,0.994910941,0.968359547,0.97019736,1.05303537,0.983662978,1.025874834,1.011598464,0.960802264,1.012971894,0.964353839,42638,FALSE,TIME_LIMIT,0.062561989
Dim.  7,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0.993945164,0.940906568,0.992821362,0.888116339,0.993899362,1.033125922,1.000078214,0.961368081,1.018081086,0.921829882,1.063256785,0.975356076,1.019937717,0.954245672,0.955911894,0.936734276,1.007010375,0.994787072,1.097558094,1.005970149,0.992980609,0.972659121,1.005386551,1.030334028,0.990284918,1.019133349,0.985665278,0.954186085,1.081739564,0.945676363,42435,FALSE,TIME_LIMIT,0.077611923
Dim.  8,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1.010548363,0.956151711,0.994951288,0.908926211,0.988716114,1.056612596,1.043604083,0.985552939,1.023664319,0.962915601,1.035114823,0.974929173,0.998102874,0.96059357,0.967718062,0.941077648,1.025157233,0.972932874,0.972193777,1.022885572,0.98455734,0.943738057,0.912225705,1.104772396,0.988585867,1.032694256,0.934166462,0.919482357,1.054590055,0.973970752,42256,FALSE,TIME_LIMIT,0.095732927
