,Year,ngames,number.neutral.site,raw.mean.HFE,FE.mov.HFE,RE.mov.HFE,se.FE.mov.HFE,se.RE.mov.HFE,nu_prime_eta,nu_prime_eta.permutation.percentile,mean_nu_eta,mean_nu_eta_ttest_pvalue,mean_eta_hat,mean_eta_hat_ttest_pvalue,X.mean_sim.,mean_sim,X.bias_sim.,bias_sim
17,2000,1189,0,3.539949537,3.539949537,3.539949537,0.331234926,0.331091546,-1.46E-16,0.114726885,6.49E-20,0.586631272,2.46E-15,1,mean_sim,3.531873986,bias_sim,-0.008075551
16,2001,1189,0,2.915895711,2.915895711,2.915895711,0.323455464,0.323326683,3.47E-17,0.605252395,1.55E-20,0.908201965,-3.57E-15,1,mean_sim,2.920339622,bias_sim,0.004443911
15,2002,1189,0,3.398654331,3.398654331,3.398654331,0.344187009,0.344044506,4.90E-16,0.985217015,-1.21E-19,0.595115775,2.72E-15,1,mean_sim,3.385386448,bias_sim,-0.013267883
14,2003,1189,0,3.883936081,3.883936081,3.883936081,0.33050591,0.330374643,-5.42E-17,0.276799723,-7.33E-21,0.93488989,4.54E-15,1,mean_sim,3.884440758,bias_sim,0.000504677
13,2004,1189,0,3.632464256,3.633942959,3.633814689,0.314112213,0.314004209,-0.000117141,0.415495585,-1.07E-06,0.037567069,2.73E-15,1,mean_sim,3.650015104,bias_sim,0.016072146
12,2005,1230,0,3.12601626,3.12601626,3.12601626,0.313816327,0.313691964,8.15E-17,0.743206257,-1.44E-19,0.237921417,-1.17E-15,1,mean_sim,3.141800189,bias_sim,0.015783928
11,2006,1230,0,3.368292683,3.368292683,3.368292683,0.322919427,0.322783334,5.41E-17,0.63959236,2.73E-19,0.064359224,8.64E-16,1,mean_sim,3.36334232,bias_sim,-0.004950363
10,2007,1230,0,2.986178862,2.986178862,2.986178862,0.336456455,0.336324113,9.07E-17,0.774356226,1.04E-19,0.377458876,-2.03E-15,1,mean_sim,2.987809935,bias_sim,0.001631073
9,2008,1230,0,3.405691057,3.405691057,3.405691057,0.328012808,0.327876435,3.45E-16,0.939358061,2.54E-20,0.908894466,1.61E-15,1,mean_sim,3.401599498,bias_sim,-0.004091559
8,2009,1230,0,3.251219512,3.251219512,3.251219512,0.326237918,0.326098818,2.94E-16,0.947085053,1.10E-19,0.542218989,8.89E-17,1,mean_sim,3.260218033,bias_sim,0.008998521
7,2010,1230,0,2.731707317,2.731707317,2.731707317,0.333916508,0.333776752,5.31E-16,0.997129003,5.07E-20,0.799583655,-5.40E-16,1,mean_sim,2.748756483,bias_sim,0.017049166
6,2011,1228,0,3.161237785,3.160922833,3.160949971,0.315403131,0.315270219,2.49E-05,0.510749489,5.92E-07,0.397637872,-4.29E-16,1,mean_sim,3.125506115,bias_sim,-0.035416718
5,2012,990,0,2.82020202,2.82020202,2.82020202,0.377090625,0.376906962,1.30E-16,0.71018229,-1.24E-19,0.586694275,-2.24E-15,1,mean_sim,2.814943573,bias_sim,-0.005258448
4,2013,1229,0,3.226200163,3.223041921,3.223288092,0.333692569,0.333560111,0.000226996,0.70964029,9.49E-08,0.806479835,2.26E-15,1,mean_sim,3.208448546,bias_sim,-0.014593375
3,2014,1229,0,2.612693247,2.613658178,2.613578658,0.331686553,0.331565851,-7.31E-05,0.430958569,1.65E-07,0.652520857,2.15E-15,1,mean_sim,2.622824586,bias_sim,0.009166408
2,2015,1228,0,2.407980456,2.405985478,2.406134063,0.33804674,0.337914408,0.000137528,0.598992401,-1.35E-07,0.798999049,3.11E-15,1,mean_sim,2.409263909,bias_sim,0.003278431
1,2016,1228,0,2.695439739,2.686841052,2.687378709,0.328134161,0.327992659,0.000504443,0.841314159,-5.23E-07,0.293891453,1.92E-15,1,mean_sim,2.688764589,bias_sim,0.001923537
18,2017,1227,0,3.135289324,3.123574236,3.124763539,0.356583024,0.356436719,0.001071095,0.873885126,-1.47E-06,0.115027235,3.63E-15,1,mean_sim,3.119008461,bias_sim,-0.004565775
