x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0.988328009,0.967674349,0.945912153,0.984998562,0.997071803,0.962363919,0.917504108,0.990829194,0.875127442,0.994280974,0.99375221,0.974357825,0.998620535,0.980839744,0.985818153,0.997968238,0.985650337,0.977678208,0.977599558,0.987424648,0.997885587,0.981796218,0.999962352,41469,TRUE,OPTIMAL,27.57506609
Org_kmax_kmin,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0.988328009,0.967674349,0.945912153,0.984998562,0.997071803,0.962363919,0.917504108,0.990829194,0.875127442,0.994280974,0.99375221,0.974357825,0.998620535,0.980839744,0.985818153,0.997968238,0.985650337,0.977678208,0.977599558,0.987424648,0.997885587,0.981796218,0.999962352,41469,TRUE,OPTIMAL,36.25284719
Dim.  1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0.955654952,0.960832941,0.950510225,0.893428137,0.964985359,0.902688291,0.951281953,1.033664501,1.018840993,1.035798481,1.03768321,1.040121935,1.080381776,0.945646704,1.062360179,1.034291164,0.990377777,1.033075356,0.982142857,1.027306479,0.98116606,1.053278347,1.061779986,42899,FALSE,OPTIMAL,0.01285696
Dim.  2,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0.996123536,0.943558387,0.928528214,0.931938679,0.98008001,0.892112864,0.993045738,1.056973634,1.035642918,1.052344364,1.02951,0.999148249,1.109760644,0.93993098,1.050215724,1.001948833,0.997699034,0.980366599,0.971950063,0.993013693,0.975723403,1.059943347,1.063888261,42873,FALSE,OPTIMAL,0.035282135
Dim.  3,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0.992161874,0.922649335,0.971967894,0.864165057,0.996205716,0.8754499,0.938061213,1.032327092,0.965865992,0.980136209,1.067389681,1.060832922,0.998210424,1.007620965,1.029522212,1.072894639,1.054637493,0.995967413,1.001896334,1.042596511,1.034457105,1.030325752,1.051012725,42612,FALSE,OPTIMAL,0.067822933
Dim.  4,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0.996762513,0.958352931,0.94853386,0.989971641,0.954179899,0.963696956,0.937220588,1.010928544,0.956363933,1.005937309,1.011591811,1.030573363,0.998471404,1.004277806,1.010985938,1.067794502,1.008450822,1.04114053,0.982142857,1.009261847,1.008731744,1.006873282,1.079323846,42526,FALSE,OPTIMAL,0.100322962
Dim.  5,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0.983897764,0.939154231,0.934094301,0.962927952,1.041530911,0.896423017,0.943945589,1.014138326,0.940785449,1.034707064,1.070100986,0.975209575,0.998657818,1.0026242,1.012983381,1.049135465,1.006777392,0.991120163,1.040692162,1.035171065,1.047809233,1.015579438,0.991190422,42444,FALSE,OPTIMAL,0.130402088
Dim.  6,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0.998807242,0.945482533,0.934457306,0.999630102,0.990349322,0.941435237,0.90313706,1.043943447,0.965172709,1.046363398,1.027191638,1.001210382,0.999440758,0.996656841,1.037072547,1.034913132,1.009036523,1.002281059,1.022637484,1.016607449,1.042875602,0.98054653,0.995294029,42360,FALSE,OPTIMAL,0.157572031
Dim.  7,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.999275825,0.945653568,0.977533981,0.99765731,0.972120262,0.929615641,0.972526843,1.00022927,0.943925615,1.042827207,1.066525207,0.961895369,0.998173141,0.978862607,1.003275807,1.051581872,0.983516713,0.963380855,1.046697219,1.027106871,1.03105055,0.996834125,0.990964536,42287,FALSE,OPTIMAL,0.09698391
Dim.  8,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0.986070288,1.001924146,0.984673093,0.969709424,0.971419145,0.946323039,0.994383096,0.992701567,0.963459892,1.020824238,0.999842823,0.939256736,0.999888152,0.960744841,0.996684244,1.046730522,1.046646864,1.013197556,0.993599874,1.018483772,1.013821998,1.03557444,0.998192907,42207,FALSE,OPTIMAL,1.213676929
