Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,03/09/2018,Marketing Promotion,Corporate Communications,CARAT,5100038997,"184,904.05",Marketing Promotion,NW1 3BF,,,,
HMRC,HMRC,03/09/2018,Contin Labor Build,Customs Transformation,EQUAL EXPERTS UK LTD,5100039016,301300,Customs Declaration Service - Risk Scrum,WC1H 9BB,,,,
HMRC,HMRC,03/09/2018,Contin Labor Build,Customs Transformation,EQUAL EXPERTS UK LTD,5100039017,"270,787.50",Customs Declaration Service - Data Scrum,WC1H 9BB,,,,
HMRC,HMRC,03/09/2018,Counsel Fee VAT Irre,Solicitors Office,AKASH NAWBATT,5100039021,"39,348.00",Counsel Fees,EC4Y 9BS,,,,
HMRC,HMRC,03/09/2018,Legal Service Sol's,Solicitors Office,THE SCOTLAND OFFICE,5100039035,"71,240.17",Legal Service Sol's,EH3 7HW,,,,
HMRC,HMRC,03/09/2018,WAN maint or supp,Information Management Services,VODAFONE,5100039077,"287,750.67",WAN Maintenance & Support,RG12 1XL,,,,
HMRC,HMRC,03/09/2018,Contract Besp SW Dev,Information Management Services,PEOPLE SOURCE CONSULTING,5100039099,"1,268,425.00",Contingency Labour Run ,BS1 6BA,,,,
HMRC,HMRC,03/09/2018,Court Fees,Debt Management,THE INSOLVENCY SERVICE,5100039120,"286,630.00",Court Fees,B4 6FD,,,,
HMRC,HMRC,04/09/2018,Officer ESC (O),Information Management Services,HR  PENSION COMPENSATION,1900238170,"27,684.23",September 18 Additional Compensation Payments,PO20  1EL,,,,
HMRC,HMRC,04/09/2018,Mail and Fulfilment,Operational Excellence & Output Mgmt,COMMUNISIS UK LTD,5100039161,"44,857.32",Monthly Output Management bulk charges ,NE12 8EW,,,,
HMRC,HMRC,04/09/2018,Contingnt Labr IT,Customs Transformation,SPECIALIST COMPUTER CTR,5100039164,"200,000.00",Customs Declaration Management Service Exit,B11 2LE,,,,
HMRC,HMRC,04/09/2018,Mail and Fulfilment,Operational Excellence & Output Mgmt,COMMUNISIS UK LTD,5100039180,"146,752.11",Monthly Output Management bulk charges ,NE12 8EW,,,,
HMRC,HMRC,04/09/2018,IMS Management Consu,CDIO Transformation Programmes,Sol-Tec Ltd,5100039186,36300,Testing support to enable HMRC to migrate live services to Azure Cloud,RG1 8EQ,,,,
HMRC,HMRC,04/09/2018,Legal Serv's Agencys,Estates,GVA GRIMLEY LLP (RENT),5100039207,"27,600.00",Professional services - Property Services for building surveys / site searches,B11 3EA,,,,
HMRC,HMRC,04/09/2018,Govt dept services,CFO Transformation Programmes,AECOM LTD,5100039212,"31,561.20",Professional Services to provide expert support on the design of London Stratford Regional Centre,AL1 3ER,,,,
HMRC,HMRC,04/09/2018,Dept forms Non Stock,Solicitors Office,COMMUNISIS UK LTD,5100039225,"32,055.05",Copying Services,NE12 8EW,,,,
HMRC,HMRC,04/09/2018,Maj AW non-struc VAT,CFO Transformation Programmes,NEWCASTLE ESTATE PARTNERSHIP,5100039228,"24,687.50",Professional Services to provide expert support on the design of Newcastle Benton Park View future workspace options.,BS1 4DJ,,,,
HMRC,HMRC,04/09/2018,P04 Rate IT Serv Res,Customs Transformation,BLOOM PROCUREMENT SERVICES LTD,5100039230,"430,330.95",Customs Declaration Service - IT Support,NE1 3DY,,,,
