Address or description,Baby changing facilities,Borough,Charging,Disabled access,HPSC Survey,Map,Opening hours,Postcode,Staffing,Street or park name,Website,Community Toilet Scheme,Local authority flush toilets,Local authority steet urinals,Other private toilets accessible to public,Toilets in other public buildings,Total number of toilets
,,Barking and Dagenham,,No information available,no,,,,,No information available,,0,8,0,2,0,10
,,Barnet,,No information available,no,,,,,No information available,http://www.barnet.gov.uk/public-conveniences,,,,,,
No,No,Bexley,Some,Some,no,Yes,Some,No,No,Yes,http://www.bexley.gov.uk/index.aspx?articleid=5988,0,16,0,0,0,16
Yes,Yes,Brent,No,Yes,no,Yes,Yes,Yes,No,Yes,http://www.brent.gov.uk/streetcare2.nsf/Public%20toilets/LBB-136,0,13,0,0,19,32
Only CTS,No,Bromley,No,Only LA,no,No,Only LA,No,Yes,Yes,http://www.bromley.gov.uk/transportandstreets/neatstreet/public_toilets.htm,13,16,0,0,0,29
Yes,Only LA,Camden,No,Yes,yes,Yes,Only LA,Yes,No,Yes,http://www.camden.gov.uk/ccm/content/contacts/categories/public-toilets-in-camden.en,6,27,0,1,1,35
Only LA,No,City of London,Yes,Only LA,no,No,Only LA,No,Yes,Yes,http://www.cityoflondon.gov.uk/scripts/htm_hl.pl?DB=col&STEMMER=en&WORDS=toilet&ALL=&ANY=&EXACTB=0&PHRASE=&EXACTP=0&CATEGORIES=&SIMPLE=toilet&COLOUR=Red&STYLE=s&URL=http://www.cityoflondon.gov.uk/Corporation/LGNL_Services/Transport_and_streets/Street_care_and_cleaning/Public_toilets.htm#muscat_highlighter_first_match,31,19,0,0,0,50
Yes,Yes,Croydon,No,Yes,yes,No,Yes,No,No,Yes,http://www.croydon.gov.uk/transportandstreets/streets/pcs,0,20,0,0,0,20
Only CTS,Only CTS,Ealing,Yes,Yes,no,No,Yes,No,No,Yes,http://www2.ealing.gov.uk/services/environment/public_toilets/,8,11,0,0,0,19
Yes,No,Enfield,Yes,Only LA,no,Only LA,Only LA,Yes,No,Yes,http://www.enfield.gov.uk/directory/45/public_conveniences_in_enfield,29,24,0,0,0,53
No,Yes,Greenwich,No,Yes,no,No,No,No,No,Yes,http://www.greenwich.gov.uk/Greenwich/YourEnvironment/StreetsBuildings/CleaningServices/PublicToilets.htm,0,24,0,0,0,24
Yes,No,Hackney,No,No,no,Yes,No,No,No,Yes,http://www.hackney.gov.uk/ey-public-conveniences-579.htm,0,13,0,0,0,13
Some,No,Hammersmith and Fulham,Some,No,yes,No,No,No,No,Yes,http://www.lbhf.gov.uk/Directory/Transport_and_Streets/Street_care_and_cleaning/Public_conveniences/10944_Public_Conveniences.asp,0,15,1,0,0,16
Yes,No,Haringey,Yes,Only LA,yes,Only LA,Only CTS,Only CTS,No,Yes,http://www.haringey.gov.uk/index/environment_and_transport/roadsandstreets/is_public_toilets.htm,6,8,0,3,0,17
No,No,Harrow,No,No,no,No,No,No,No,Yes,http://www.harrow.gov.uk/info/200096/tourism_and_travel/467/public_conveniences,0,10,0,0,0,10
No,No,Havering,No,Yes,no,No,No,No,No,Yes,http://www.havering.gov.uk/index.aspx?articleid=1041,0,8,0,0,0,8
No,No,Hillingdon,No,Yes,no,No,No,No,No,Yes,http://www.hillingdon.gov.uk/index.jsp?articleid=7566,0,11,0,2,18,31
,,Hounslow,,,no,,,,,,http://www.hounslow.gov.uk/public_conveniences,,,,,,
No,Some,Islington,No,Some,yes,No,Some,No,Some,Yes,http://www.islington.gov.uk/transport/1246.asp,0,9,1,4,2,16
Yes,Yes,Kensington and Chelsea,No,Yes,no,No,Yes,No,No,Yes,http://www.rbkc.gov.uk/environmentandtransport/environmentalhealth/publictoilets.aspx,0,12,0,0,0,12
No,No,Kingston,No,No,no,No,No,No,No,Yes,http://www.kingston.gov.uk/browse/environment/street_care_and_cleansing/public_toilets.htm,0,20,0,13,1,34
Yes,Yes,Lambeth,No,Yes,no,No,Yes,Only CTS,No,Yes,http://www.lambeth.gov.uk/Services/TransportStreets/StreetCareCleaning/PublicConveniences.htm,30,12,0,0,0,42
No,No,Lewisham,No,Some,no,Yes,Yes,No,No,Yes,http://www.lewisham.gov.uk/TransportAndStreets/RoadsAndPavements/StreetFurniture/PublicConveniences.htm,0,21,0,0,0,21
Yes,No,Merton,No,No,no,No,Yes,Yes,No,Yes,http://www.merton.gov.uk/visiting/communitytoiletscheme.htm,2,0,0,0,0,2
No,n,Newham,Yes,Yes,no,No,Yes,Yes,No,Yes,http://www.newham.gov.uk/yourenvironment/publicconveniencelocations.htm,0,10,0,0,0,10
Yes,No,Redbridge,No,No,no,Yes,No,Yes,No,Yes,http://www.redbridge.gov.uk/cms/parking_rubbish_and_streets/general_street_information/public_toilets.aspx,0,16,0,0,0,16
Yes,Yes,Richmond,Yes,Yes,no,Yes,No,Yes,Yes,Yes,http://www.richmond.gov.uk/public_conveniences,97,0,0,0,0,97
Yes,No,Southwark,No,No,no,Yes,Yes,Yes,No,Yes,http://www.southwark.gov.uk/a_to_z/service/405/public_toilets,5,9,0,0,19,33
