Date,Department Family,Entity,Expense Area,Expense Type,Supplier,Transaction Number,Value
02/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Business Rates,Warwick District Council,DD,68527
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Out Of Hospital Care Collab,Serv.Recd-Miscellaneous,Univ. Hosp Birmingham Nhs Foundation Trust,35910,31136.85
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Pay Cost (Recharges In),St Helen & Knowsley Hospitals Nhs Trust,36465,130000
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Consumables,Nhs Supply Chain,36827,80114.36
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Consumables,Nhs Supply Chain,36829,-45949.83
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Celgene Ltd,67160,37263
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Celgene Ltd,67161,33242.94
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Emergency Division,Serv.Recd-Miscellaneous,Medica Reporting Ltd (Medica Group),857820,36648.28
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Emergency Division,Pay Cost (Recharges In),University Of Warwick,861047,46690.45
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Out Of Hospital Care Collab,Contract Services,Warwickshire County Council,861503,284400
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Fees-Training Course,Coventry University,864969,30000
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Fees-Training Course,Coventry University,864970,36250
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Fees-Training Course,Coventry University,864971,36250
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Emergency Division,Serv.Recd-Miscellaneous,Medica Reporting Ltd (Medica Group),866649,29279.43
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Agency-Self Bill Holding A/C,Medicspro Ltd,869352,21952.59
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Contract Laundry Services,Synergy Health Managed Services Ltd,870978,37198.09
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Emergency Division,Serv.Recd-Miscellaneous,Medica Reporting Ltd (Medica Group),871694,30956.2
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Electricity,Npower,871999,41454.1
03/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Computer Software Maintenance,Csc,873588,30840
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Consumables,Nhs Supply Chain,36958,50251.8
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Consumables,Nhs Supply Chain,36961,111964.64
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Capital,Cap Exp Computers,C C S Media Ltd,862675,72434.88
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Computer Software Maintenance,Zoho Corporation Private Ltd,872672,30645
