Accomodation/Meals,Booked through,Class of travel,Destination,Duration of Visit (Days),Mode of transport,Name,Other (including hospitality given),Purpose of trip,Start date of trip,Total Cost of Use of Official Secure Car,"Total cost, including all visas, accommodation, travel, meals etc. ()"
,,,,,Miscellaneous,"Ind, Mr. Hugh Timothy",,EDAG Meeting in Liverpool - Evening Meal for 4 persons,03/10/2016,,74.42
,,,,,"T&S - Planes, Trains and Automobiles","Ind, Mr. Hugh Timothy",,Fares - in connection with visit to Liverpool for EDAG Meeting,03/10/2016,,2.4
Hotel Room,Redfern,,Liverpool,,,"Ind, Mr. Hugh Timothy",,External Meeting,03/10/2016,,138.6
,Redfern,Standard,Liverpool Lime Street,,Rail,"Ind, Mr. Hugh Timothy",,External Meeting,03/10/2016,,156
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking at railway station,03/10/2016,,6.7
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube ticket,03/10/2016,,4.8
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay in London,03/10/2016,,25.05
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Meeting overran - used taxi so as not to miss train. fixed train ticket,03/10/2016,,16.04
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Car Parking at railway station.,03/10/2016,,6.7
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,03/10/2016,,2.4
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,Meal with North Region Director,03/10/2016,,20.36
Hotel Room,Redfern,,Liverpool,,,"Montgomery, Sir Charles Percival",,External Meeting,03/10/2016,,74.6
,Redfern,Standard,Liverpool Lime Street,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,03/10/2016,,300.34
,Redfern,Standard,Liverpool Lime Street,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,03/10/2016,,137.84
,,,,,Taxis,"Riach, Ms. Shona",,Taxi to airport to hotel,03/10/2016,,59.5
,,,,,T&S - Subsistence,"Riach, Ms. Shona",,Dinner before flight,03/10/2016,,7.64
,Redfern,Standard,London Kings Cross,,Rail,"Williams, Ms. Wendy",,External Meeting,03/10/2016,,140
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,04/10/2016,,345
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,04/10/2016,,129.6
,,,,,Miscellaneous,"Ind, Mr. Hugh Timothy",,EDAG Meeting and Visit to Liverpool Teams - Dinner for 2 persons,04/10/2016,,51.09
,,,,,Taxis,"Lamberti, Mr. David James",,OPCC awayday - Yatton st to Wrington,04/10/2016,,20
,,,,,Taxis,"Lamberti, Mr. David James",,OPCC awayday - Wrington to Yatton St,04/10/2016,,20
,Redfern,Standard,London Terminals,,Rail,"Lamberti, Mr. David James",,External Meeting,04/10/2016,,9.8
,Redfern,Standard,Yatton,,Rail,"Lamberti, Mr. David James",,External Meeting,04/10/2016,,63.6
,Redfern,Standard,Birmingham International,,Rail,"Leach, Mrs. Paula Michelle",,External Meeting,04/10/2016,,21
,Redfern,Standard,London Euston,,Rail,"Leach, Mrs. Paula Michelle",,External Meeting,04/10/2016,,-70
,Redfern,Standard,London Euston,,Rail,"Leach, Mrs. Paula Michelle",,External Meeting,04/10/2016,,75
,,,,,Taxis,"Lincoln, Mr. Paul Michael",,Travel from Darlington to Middlesbrough,04/10/2016,,22
,Redfern,Standard,Middlesbrough,,Rail,"Lincoln, Mr. Paul Michael",,External Meeting,04/10/2016,,8.56
Hotel Room,Redfern,,Newcastle,,,"Lincoln, Mr. Paul Michael",,External Meeting,04/10/2016,,75.6
,Redfern,Standard,Newcastle,,Rail,"Lincoln, Mr. Paul Michael",,External Meeting,04/10/2016,,28.42
,Redfern,Standard,Newcastle,,Rail,"Lincoln, Mr. Paul Michael",,External Meeting,04/10/2016,,214.85
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,lunch,04/10/2016,,5.05
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,Tube journey back to office,04/10/2016,,2.4
,Redfern,Standard,London Euston,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,04/10/2016,,25.5
,,,,,T&S - Employee Reimbursed Mileage,"Owen, Mr. Marc",,Drove to Eaton House due to early start to observe an op,04/10/2016,,9.52
,,,,,T&S - Subsistence,"Pratt, Mr. Alan Palaic",,"breakfast taken on the road - one coffee and a pastry was above claim limit (5.98), so lesser amount claimed.",04/10/2016,,4.25
,,,,,T&S - Employee Reimbursed Mileage,"Pratt, Mr. Alan Palaic",,visit to Roke Manor Research - public transport not viable,04/10/2016,,36.8
,,,,,T&S - Employee Reimbursed Mileage,"Pratt, Mr. Alan Palaic",,return from Roke Manor Research - public transport not viable,04/10/2016,,42
,Redfern,Standard,London St Pancras,,Rail,"Sedwill, Mr. Mark",,External Meeting,04/10/2016,,73.5
,Redfern,Standard,Sheffield,,Rail,"Sedwill, Mr. Mark",,External Meeting,04/10/2016,,202
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Sedwill, Mr. Mark",,External Meeting,04/10/2016,,4.9
,,,,,Taxis,"Spencer, Dr. Fiona Margaret",,"Taxi from Heathrow Underground Staton T2,3,4  to Radisson Blu, 140 Bath Road for Fast Stream Induction",04/10/2016,,9.6
,,,,,Taxis,"Thomson, Mr. Mark David",,ABLE conference,04/10/2016,,5
,Redfern,Standard,London St Pancras,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,04/10/2016,,5.5
,Redfern,Standard,London St Pancras,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,04/10/2016,,39.2
,Redfern,Standard,Stafford,,Rail,"Williams, Ms. Wendy",,External Meeting,04/10/2016,,109
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Duffy, Mr. Philip",,Rail ticket to WICU,05/10/2016,,5.5
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Travel to WICU,05/10/2016,,7.9
,Redfern,Standard,Birmingham New St,,Rail,"Foy, Mr. Timothy John",,External Meeting,05/10/2016,,11.5
,Redfern,Standard,Winchester,,Rail,"Foy, Mr. Timothy John",,External Meeting,05/10/2016,,76.4
,,,,,Taxis,"Hornby, Mr. Richard",,visit,05/10/2016,,10
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Hornby, Mr. Richard",,visit,05/10/2016,,2.8
,Redfern,Standard,London Euston,,Rail,"Hornby, Mr. Richard",,External Meeting,05/10/2016,,9.8
,Redfern,Standard,Manchester Piccadilly,,Rail,"Hornby, Mr. Richard",,External Meeting,05/10/2016,,207.2
,Redfern,Standard,London Euston,,Rail,"Ind, Mr. Hugh Timothy",,External Meeting,05/10/2016,,22
,,,,,Taxis,"Lloyd, Ms. Myrtle",,taxi from home to railway station. No suitable public transport.,05/10/2016,,7.7
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Dinner: Overnight stay in London,05/10/2016,,26
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,05/10/2016,,6.5
,,,,,"Canteens, Lunches, Vending","Oppenheim, Mr. Jeremy",,dinner with external stakeholders.,05/10/2016,,63
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,trael from 2 Marsham Street to London Euston for onward travel to Liverpool to prepare for DBS Board meeting,05/10/2016,,17
Hotel Standard- One- King Size,Redfern,,Liverpool,,,"Oppenheim, Mr. Jeremy",,External Meeting,05/10/2016,,70.6
,Redfern,Standard,Liverpool Lime Street,,Rail,"Oppenheim, Mr. Jeremy",,External Meeting,05/10/2016,,197.2
,,,,,Taxis,"Riach, Ms. Shona",,taxi to airport,05/10/2016,,68.18
,Redfern,Standard,East Croydon,,Rail,"Webb, Mr. Stephen",,External Meeting,05/10/2016,,12.1
Hotel Room,Redfern,,London Heathrow,,,"Foy, Mr. Timothy John",,External Meeting,06/10/2016,,64.6
,Redfern,Standard,Bicester Town,,Rail,"Lamberti, Mr. David James",,External Meeting,06/10/2016,,12
,Redfern,Standard,London Marylebone,,Rail,"Lamberti, Mr. David James",,External Meeting,06/10/2016,,15
,,,,,Taxis,"Lloyd, Ms. Myrtle",,taxi fare from railway station to home. No suitable public transport.,06/10/2016,,7.5
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,taxi from offices of DBS to Liverpool Lime Street for train to London,06/10/2016,,5.5
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,taxi from Euston to 2MS on return from official visit to Liverpool,06/10/2016,,15.5
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,06/10/2016,,76.9
,Redfern,Standard,Runcorn,,Rail,"Williams, Ms. Wendy",,External Meeting,06/10/2016,,113
,Redfern,Standard,Liverpool Lime Street,,Rail,"Chittenden, Mrs. Deborah",,External Meeting,07/10/2016,,69
,,,,,"T&S - Planes, Trains and Automobiles","Wilkinson, Ms. Patsy",,"Visit to BICS staff at Vulcan House, Sheffield",07/10/2016,,12.5
,,,,,Miscellaneous,"Oppenheim, Mr. Jeremy",,personal mobile used for business calls. 70% of bill claimed,08/10/2016,,23.46
,Redfern,Standard,Durham,,Rail,"Parr, Mr. Matthew",,External Meeting,09/10/2016,,84.9
Hotel Room,Redfern,,Newcastle,,,"Parr, Mr. Matthew",,External Meeting,09/10/2016,,87.8
,,,,,T&S - Hotels,"Arnott, Dr. Robert Henry",,Train strike,10/10/2016,,500
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Travel to London First,10/10/2016,,5.3
,Redfern,,,,Billback Fee,"Ind, Mr. Hugh Timothy",,External Meeting,10/10/2016,,0.6
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking @ Salford ION,10/10/2016,,3
,,,,,T&S - Employee Reimbursed Mileage,"Lloyd, Ms. Myrtle",,Site visit to Salford ION,10/10/2016,,15.6
,,Standard/Economy,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,travel to heatrhow,10/10/2016,,24
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,travel from airport to hotel in toronto,10/10/2016,,42.42
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,dinner in toronto,10/10/2016,,12.42
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,Breakfast not included in Hotel booking,10/10/2016,,17.55
,Redfern,Economy,Toronto,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,10/10/2016,,1254.15
Hotel (Foreign) Room,Redfern,,Toronto,,,"Morrison, Mr. Paul Noble Wilson",,External Meeting,10/10/2016,,425.51
,Redfern,Standard,London Kings Cross,,Rail,"Parr, Mr. Matthew",,External Meeting,10/10/2016,,46
,Redfern,Standard,HEATHROW TERM 5,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,10/10/2016,,36
,Redfern,Standard,London Paddington,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,10/10/2016,,7
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,10/10/2016,,104.4
,Redfern,Standard,London Paddington,,Rail,"Williams, Ms. Wendy",,External Meeting,10/10/2016,,38
Hotel With Modem Internet And Email Access.,Redfern,,East Midlands,,,"Cunningham, Mr. Michael Bernard",,External Meeting,11/10/2016,,80.5
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,11/10/2016,,173
,,,,,Office Overheads (incl Printing & Publications),"Hills, Mr. Gareth David",,Photos for India visa,11/10/2016,,24.98
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking @ railway station.,11/10/2016,,6.7
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,11/10/2016,,274.5
,,,,,"Canteens, Lunches, Vending","Morrison, Mr. Paul Noble Wilson",,hosting can govt counterparts at hotel,11/10/2016,,9.66
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,lunch during visits,11/10/2016,,8.61
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,dinner in toronto,11/10/2016,,23.11
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Freston, Mrs. Penny",,visit,12/10/2016,,36
,Redfern,Standard,Bedford Station,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,12/10/2016,,40.2
,Redfern,Standard,Bedford Station,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,12/10/2016,,25.2
,Redfern,Standard,Bedford Station,,Rail,"Hepple, Mr. Tyson Julian",,,12/10/2016,,-20.2
,Redfern,Standard,London St Pancras,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,12/10/2016,,15
,Redfern,Standard,London St Pancras,,Rail,"Hepple, Mr. Tyson Julian",,,12/10/2016,,-10
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,dinner in ottawa,12/10/2016,,13.04
,Redfern,First Class,Ottawa,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,12/10/2016,,123.1
,Redfern,,,,Baggage,"Morrison, Mr. Paul Noble Wilson",,External Meeting,12/10/2016,,21.19
,Redfern,Standard,London Zones 1-6,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,12/10/2016,,18.2
,Redfern,Standard,Stafford,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,12/10/2016,,213
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from 2 Marsham St to 70 Whitehall as no drivers available.  Attending meeting hosted by Jeremy Heywood,12/10/2016,,6
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from 70 Whitehall to 2 Marsham St,12/10/2016,,6
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from 2 Marsham St to home after late call with Home Secretary,12/10/2016,,7
Hotel Superior- One- Double,Redfern,,Birmingham,,,"Williams, Ms. Wendy",,External Meeting,12/10/2016,,85.6
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,12/10/2016,,22
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,12/10/2016,,-11
,Redfern,Standard,Stafford,,Rail,"Williams, Ms. Wendy",,External Meeting,12/10/2016,,18.5
,Redfern,,,,Billback Fee,"Cunningham, Mr. Michael Bernard",,External Meeting,13/10/2016,,0.6
,,,,,Miscellaneous,"Ind, Mr. Hugh Timothy",,Hosting Dinner of Nigerian Diplomats.,13/10/2016,,336.38
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking @ Railway station,13/10/2016,,6.7
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,13/10/2016,,249.5
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,Tube journey to Director's Away Day,13/10/2016,,2.4
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,lunch in ottawa,13/10/2016,,9.81
,Redfern,Club Class,London Heathrow,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,13/10/2016,,1814.86
,Redfern,Economy,London Heathrow,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,13/10/2016,,1466
Hotel Room,Redfern,,Liverpool,,,"Sutton, Mr. Kenneth David",,External Meeting,13/10/2016,,59.59
,Redfern,Standard,London Zones 1-6,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,13/10/2016,,18.2
,Redfern,Standard,Warrington Bank Quay,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,13/10/2016,,626
,,,,,Taxis,"Tribe, Mr. Lee Kelvin",,From Coventry to Ryton to speak at planning event,13/10/2016,,15.8
,Redfern,Standard,Coventry,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,13/10/2016,,150
,,,,,Taxis,"Wilkinson, Ms. Patsy",,"Taxi from 2 Marsham to Cabinet Office, Whitehall for Cabinet Office meeting",13/10/2016,,5
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,13/10/2016,,44.5
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,13/10/2016,,41.5
,,,,,Taxis,"Arnott, Dr. Robert Henry",,2MS to Euston (Ryton planning day),14/10/2016,,20
