F3,F4,F5,F1,F2,F6,F7,F8
ma2-aN.wav,ma,a,1,1,1,1,3.1459
ma3-iN.wav,ma,i,1,2,2,2,1.6265
ma1-iN.wav,ma,i,1,3,2,3,1.0473
di1-iN.wav,di,i,1,4,2,4,1.6971
ma4-iN.wav,ma,i,1,5,3,3,1.1078
mi3-iN.wav,mi,i,1,6,3,3,1.0007
lu3-aN.wav,lu,a,1,7,3,4,1.1663
mi2-iN.wav,mi,i,1,8,1,3,1.3505
mi1-iN.wav,mi,i,1,9,1,1,1.0945
lu1-aN.wav,lu,a,1,10,2,1,1.3548
lu3-iN.wav,lu,i,1,11,2,3,0.8678
ma4-aN.wav,ma,a,1,12,4,2,2.0971
di1-aN.wav,di,a,1,13,3,4,1.2612
di4-aN.wav,di,a,1,14,3,2,1.5132
ma2-iN.wav,ma,i,1,15,1,1,1.9009
mi4-iN.wav,mi,i,1,16,3,2,1.5181
lu1-iN.wav,lu,i,1,17,2,3,2.1463
ma1-aN.wav,ma,a,1,18,4,4,0.9143
di4-iN.wav,di,i,1,19,3,4,0.8771
ma3-aN.wav,ma,a,1,20,1,1,1.4803
di2-aN.wav,di,a,1,21,1,2,1.4384
bu4-iN.wav,bu,i,1,22,2,1,1.7096
lu2-iN.wav,lu,i,1,23,3,1,2.4718
mi4-aN.wav,mi,a,1,24,4,1,2.0384
bu2-aN.wav,bu,a,1,25,3,2,0.876
bu3-aN.wav,bu,a,1,26,3,4,1.0815
lu2-aN.wav,lu,a,1,27,2,3,3.0758
di3-iN.wav,di,i,1,28,2,1,1.4395
bu1-aN.wav,bu,a,1,29,2,1,1.0641
bu4-aN.wav,bu,a,1,30,2,2,1.9329
di3-aN.wav,di,a,1,31,4,3,3.9025
bu1-iN.wav,bu,i,1,32,3,1,2.5316
mi1-aN.wav,mi,a,1,33,1,3,2.1566
lu4-iN.wav,lu,i,1,34,4,2,1.5562
mi3-aN.wav,mi,a,1,35,4,4,1.1445
bu3-iN.wav,bu,i,1,36,3,2,1.481
di2-iN.wav,di,i,1,37,1,3,1.5193
bu2-iN.wav,bu,i,1,38,2,1,1.8027
mi2-aN.wav,mi,a,1,39,1,1,0.931
lu4-aN.wav,lu,a,1,40,4,2,1.6995
bu2-iN.wav,bu,i,2,41,3,4,1.3599
di4-aN.wav,di,a,2,42,3,1,1.8574
mi1-aN.wav,mi,a,2,43,1,3,1.2763
ma3-iN.wav,ma,i,2,44,1,1,0.9116
ma4-iN.wav,ma,i,2,45,4,1,1.156
lu4-aN.wav,lu,a,2,46,1,2,0.7415
bu3-iN.wav,bu,i,2,47,2,3,2.2329
bu4-iN.wav,bu,i,2,48,1,4,0.8803
mi4-iN.wav,mi,i,2,49,3,1,1.5638
di3-iN.wav,di,i,2,50,4,1,1.5173
di3-aN.wav,di,a,2,51,1,2,2.328
lu1-aN.wav,lu,a,2,52,3,3,1.2983
ma1-aN.wav,ma,a,2,53,1,1,2.9415
lu3-aN.wav,lu,a,2,54,2,2,1.1284
mi2-aN.wav,mi,a,2,55,4,1,2.2019
mi1-iN.wav,mi,i,2,56,4,4,1.0574
ma4-aN.wav,ma,a,2,57,2,1,1.3834
ma3-aN.wav,ma,a,2,58,2,1,2.3835
lu1-iN.wav,lu,i,2,59,4,2,1.2788
di1-aN.wav,di,a,2,60,1,3,1.8442
di2-aN.wav,di,a,2,61,1,1,1.4189
lu2-iN.wav,lu,i,2,62,3,2,6.9524
lu4-iN.wav,lu,i,2,63,4,1,1.025
lu3-iN.wav,lu,i,2,64,1,1,1.8966
ma1-iN.wav,ma,i,2,65,2,2,1.7888
mi3-aN.wav,mi,a,2,66,4,3,1.2449
mi2-iN.wav,mi,i,2,67,2,2,1.8752
bu4-aN.wav,bu,a,2,68,2,2,0.9033
mi3-iN.wav,mi,i,2,69,3,2,2.2268
di4-iN.wav,di,i,2,70,4,4,1.3702
bu1-aN.wav,bu,a,2,71,1,1,1.4819
bu1-iN.wav,bu,i,2,72,3,3,2.3904
bu3-aN.wav,bu,a,2,73,4,4,1.9994
ma2-aN.wav,ma,a,2,74,2,1,1.8311
bu2-aN.wav,bu,a,2,75,4,3,1.4532
di1-iN.wav,di,i,2,76,4,1,1.6731
di2-iN.wav,di,i,2,77,1,1,1.4554
lu2-aN.wav,lu,a,2,78,4,4,1.3105
mi4-aN.wav,mi,a,2,79,4,4,1.9622
ma2-iN.wav,ma,i,2,80,3,2,1.258
di1-iN.wav,di,i,3,81,3,2,3.0778
di4-iN.wav,di,i,3,82,2,4,1.8166
di2-iN.wav,di,i,3,83,2,1,1.3359
ma4-aN.wav,ma,a,3,84,4,3,4.0505
ma1-iN.wav,ma,i,3,85,4,2,3.9503
di3-iN.wav,di,i,3,86,3,2,0.7438
di4-aN.wav,di,a,3,87,1,2,0.5158
lu4-iN.wav,lu,i,3,88,4,2,0.5111
di2-aN.wav,di,a,3,89,3,2,0.3856
ma2-iN.wav,ma,i,3,90,4,2,0.4019
lu1-aN.wav,lu,a,3,91,2,2,0.5365
bu4-aN.wav,bu,a,3,92,2,2,2.5319
lu3-aN.wav,lu,a,3,93,3,2,0.9762
lu1-iN.wav,lu,i,3,94,2,1,1.7453
bu3-iN.wav,bu,i,3,95,1,1,0.4993
lu2-aN.wav,lu,a,3,96,2,2,1.3906
mi3-iN.wav,mi,i,3,97,1,3,1.7585
lu2-iN.wav,lu,i,3,98,2,2,1.0731
mi1-iN.wav,mi,i,3,99,2,2,1.0537
mi2-iN.wav,mi,i,3,100,1,4,1.0989
bu1-aN.wav,bu,a,3,101,4,4,1.51
mi3-aN.wav,mi,a,3,102,4,4,1.5296
ma1-aN.wav,ma,a,3,103,3,2,0.939
lu3-iN.wav,lu,i,3,104,1,1,1.8056
ma3-iN.wav,ma,i,3,105,3,3,1.1336
ma4-iN.wav,ma,i,3,106,3,3,0.7759
bu1-iN.wav,bu,i,3,107,3,3,0.7537
mi4-aN.wav,mi,a,3,108,4,1,1.9721
bu2-aN.wav,bu,a,3,109,1,4,0.8683
ma2-aN.wav,ma,a,3,110,4,1,1.5297
bu4-iN.wav,bu,i,3,111,3,3,1.118
mi4-iN.wav,mi,i,3,112,4,2,1.7372
lu4-aN.wav,lu,a,3,113,4,4,3.4343
mi1-aN.wav,mi,a,3,114,4,4,1.0328
bu2-iN.wav,bu,i,3,115,4,1,1.1503
ma3-aN.wav,ma,a,3,116,3,2,1.7199
bu3-aN.wav,bu,a,3,117,3,4,1.2822
di3-aN.wav,di,a,3,118,1,1,1.117
