Billing Address,Liability Start Date,Property Address,Ratepayer,Net Debit,Property Reference,RV
,01/06/2002,"30 Crown Street, Halifax, HX1 1TT",,262.16,64756030,6500
,01/10/1994,"12 Garden Road, Brighouse, HD6 2AX",,0,29264012,3750
,01/03/1993,"Unit 1, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,0,56132737,2100
,13/05/2002,"1/3 Bowman Terrace, Halifax, HX1 5PB",,49.22,64304001,6100
,01/04/1990,"Bradshaw Lane, Bradshaw, Halifax, HX2 9XB",,1723.04,64336700,4450
,05/01/2000,"Unit D1/A, Dean Clough Mills, Halifax, HX3 5AX",,378.34,64784742,6700
"Units 62 & 53 Bowers Mill, Branch Road, Barkisland, Halifax, HX4 0AD",01/04/2000,"Unit 63 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",Peter Jackson & Son Ltd,2855.6,64344728,5900
,18/04/1996,"Unit T2, Dean Clough Industrial Park, Halifax, HX3 5WL",,0,64784802,5100
"Estates Department, Po Box 9, Laburnum Road, Wakefield, WF1 3QP",01/04/2001,"West Yorkshire Police, Hartshead Moor Serv Station, Hartshead Moor, Brighouse           HD6 4JB",West Yorks Police Authority,3775.2,29308702,7800
"Attn Ruth Robinson, Office Suite D182, Dean Clough, Halifax, HX3 5AX",01/09/1999,"Office Suite L G 38, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Foundation,126.74,64784841,1275
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",15/01/2002,"Car Park, G Mill Yard, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,1452,64784878,3000
"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",01/04/1990,"Brighouse Cemetery, Lightcliffe Road, Brighouse, HD6 2HY",Director Of Safer & Stronger Communities,762.3,29384702,1575
"94 Commercial Street, Brighouse, HD6 1AQ",01/04/1990,"R/0 91 Lightcliffe Road, Brighouse, HD6 2HJ",Websters (Brighouse) Ltd,2710.4,29384710,5600
,17/11/1997,"Unit 20 Woodman Works, South Lane, Elland, HX5 0HQ",,0,56220737,4900
,27/01/1997,"62 Southgate, Elland, HX5 0PS",,1452,56224062,3000
"991 Great West Road, Brentford, TW8 9DN",01/04/1994,"Adj 51 Burnley Road, Halifax, HX2 7JD",J C Decaux Uk Ltd,242,64444705,500
"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",31/05/2000,"Adshels At Sainsburys, Mill Lane, Brighouse, HD6 1PQ",Clear Channel (Uk) Ltd,1548.8,29420718,3200
,27/10/1994,"Unit 1 Bull Fold Garage, Owler Ings Road, Brighouse, HD6 1EJ",,0,29452707,4750
,01/04/1990,"Park Row, Brighouse, HD6 1AB",,685.86,29456702,6900
,18/12/1993,"R/O 80 Southgate, Elland, HX5 0EP",Leading Force Ltd,262.16,56224728,6500
,01/04/1990,"6 The Cross, Elland, HX5 0BB",,0,56228006,5100
,01/04/1990,"Atlas Mill Road, Brighouse, HD6 1ES",,0,29032712,4900
,01/04/1990,"Castlefields Golf Club, Rastrick Common, Brighouse, HD6 3EL",,0,29480701,3000
"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",01/04/1990,"Melrose Court, Victoria Road, Elland, HX5 0QE",Director Of Safer & Stronger Communities,450.12,56244704,930
,10/08/2001,"Media Mills, Westbury Mills, Westbury Street, Elland              HX5 9AT",,0,56248706,3400
"Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01/04/2001,"Advertising Right, Cote Hill Service Station, Burnley Road, Halifax              HX2 7NB",Primesight Ltd,232.32,64452704,480
"Rates Administrator, Estates Management, Summit House, 27 Sale Place, London, W2 1YR",01/04/1996,"Huddersfield Road, Adj 1A Birds Royd Lane, Brighouse, HD6 1LQ",Jc Decaux Ltd,665.5,29052715,1375
"Rates Administrator, Estates Management, Summit House, 27 Sale Place, London, W2 1YR",01/04/1998,"Adj 3/5 Birds Royd Lane, Brighouse, HD6 1LQ",Jc Decaux Ltd,212.96,29052716,440
,04/09/2000,"51/53 Smithy Carr Lane, Brighouse, HD6 4BG",D.B.Dental Equipment Ltd,4763.78,29528702,11250
,01/04/1990,"25 Thornhill Bridge Lane, Brighouse, HD6 4AW",,1132.67,29564701,7800
,28/08/1992,"Carr Wood House, Carr House Road, Shelf, Halifax             HX3 7RJ",,100.02,64500701,6200
