Merchant Name,Posted Date,Invoice Net Line Amount
SHERATON HOTEL,01/02/2016,1015.16
SHERATON HOTEL,01/02/2016,1015.16
THE UNIVERSITY OF LIVE,02/02/2016,1335
CIVIL SERVICE LEARNING,02/02/2016,431.82
KELWAY LIMITED,03/02/2016,1007
KELWAY LIMITED,04/02/2016,586.41
WWW.NEOPOST.CO.UK,08/02/2016,429.17
SUNBIRD CHAIN HOTELS,10/02/2016,480.24
SUNBIRD CHAIN HOTELS,10/02/2016,448.23
WWW.MISCO.CO.UK,12/02/2016,980.99
WWW.UK.INSIGHT.COM,12/02/2016,2713.5
SHERATON HOTEL,15/02/2016,3951.76
KING OF COTTON,18/02/2016,746
XMA LTD,19/02/2016,905
WWW.CAPITATRAVELANDEVE,23/02/2016,1495
WWW.CAPITATRAVELANDEVE,24/02/2016,1495
WWW.CAPITATRAVELANDEVE,24/02/2016,1495
WWW.CAPITATRAVELANDEVE,24/02/2016,1495
KING OF COTTON,25/02/2016,899.92
TOTAL BUSINESS FURNITU,25/02/2016,585
WWW.APM.ORG.UK,25/02/2016,517
WWW.APM.ORG.UK,25/02/2016,517
,,
,,
,,
