Country/Region,Product name,Consumption April 2014 - March 2015,Vintage
ALSACE,"Riesling Wineck-Schlossberg, Meyer-Fonne 2001",8,2001
ALSACE,"Alsace Pinot Gris Les Elements, Dom. Bott Geyl 2007",6,2007
ALSACE,Alsace Riesling Domaine Marcel Deiss 2007,4,2007
ALSACE,Riesling Kirchberg de Ribeauville 2007 J. Sipp,3,2007
ALSACE,"Gewurztraminer Les Princes Abbes, Domaine Schlumberger 2010",2,2010
AUSTRALIA,Eileen Hardy Estate Shiraz McLaren Vale 1997,1,1997
AUSTRALIA,Giaconda Warner Vineyard Shiraz Victoria 2002,1,2002
AUSTRALIA,Katnook Estate Prodigy Shiraz Coonawarra 2002,1,2002
BORDEAUX (RED),Château Beychevelle 1981,2,1981
BORDEAUX (RED),Château Margaux 1983,12,1983
BORDEAUX (RED),Château Brane Cantenac (Mags) 1985,7,1985
BORDEAUX (RED),Château Cheval Blanc 1985,5,1985
BORDEAUX (RED),Château Margaux 1986,12,1986
BORDEAUX (RED),Château Montrose 1986,3,1986
BORDEAUX (RED),Château Pichon-Longueville Baron 1986,8,1986
BORDEAUX (RED),Château Pichon-Longueville Comtesse de Lalande 1986,1,1986
BORDEAUX (RED),Château Belair 1988,7,1988
BORDEAUX (RED),Château Pichon-Longueville Baron 1988,14,1988
BORDEAUX (RED),Château Rauzan-Segla 1988,43,1988
BORDEAUX (RED),Château Angelus 1989,7,1989
BORDEAUX (RED),Château Beausejour Dufau Lagarrosse 1989,12,1989
BORDEAUX (RED),Château Leoville Las Cases 1989,9,1989
BORDEAUX (RED),Château Beychevelle 1990,14,1990
BORDEAUX (RED),Château Brane Cantenac 1990,18,1990
BORDEAUX (RED),Château Calon-Segur 1990,22,1990
BORDEAUX (RED),Château Canon 1990,7,1990
BORDEAUX (RED),Château Cos dEstournel 1990,24,1990
BORDEAUX (RED),Château Grand Puy Lacoste 1990,36,1990
BORDEAUX (RED),Château Langoa Barton 1990,12,1990
BORDEAUX (RED),Château Leoville Barton 1990,74,1990
BORDEAUX (RED),Château Leoville Poyferre 1990,66,1990
BORDEAUX (RED),Château Lynch Bages 1990,17,1990
BORDEAUX (RED),Château Pichon-Longueville Comtesse de Lalande 1990,70,1990
BORDEAUX (RED),Château Senejac 1990,5,1990
BORDEAUX (RED),Château Talbot 1990,19,1990
BORDEAUX (RED),Château Trotanoy 1990,3,1990
BORDEAUX (RED),Domaine de Chevalier 1990,21,1990
BORDEAUX (RED),Château dAngludet 1994,16,1994
BORDEAUX (RED),Château Grand Puy Lacoste 1994,37,1994
BORDEAUX (RED),Château La Grave a Pomerol (Trigant de Boisset) 1994,1,1994
BORDEAUX (RED),Chateau Latour a Pomerol 1994,19,1994
BORDEAUX (RED),Château Leoville Barton 1994,1,1994
BORDEAUX (RED),Château Lynch Bages 1994,1,1994
BORDEAUX (RED),Château Magdelaine 1994,1,1994
BORDEAUX (RED),Château Rauzan-Segla 1994,1,1994
BORDEAUX (RED),Château Haut Brion 2001,1,2001
BORDEAUX (RED),Château La Fleur Petrus 2001,1,2001
BORDEAUX (RED),Château La Grave a Pomerol 2001,1,2001
BORDEAUX (RED),Château La Lagune 2001,1,2001
BORDEAUX (RED),Château La Mission Haut Brion 2001,1,2001
BORDEAUX (RED),Château Latour a Pomerol 2001,1,2001
BORDEAUX (RED),Château Leoville-Poyferre 2001,1,2001
BORDEAUX (RED),Château Montrose 2001,1,2001
BORDEAUX (RED),Château Mouton Rothschild 2001,1,2001
