Generic Job Title,Grade,Organisation,Parent Department,Professional/Occupational Group,Reporting Senior Post,Unit,Number of Posts in FTE,Payscale Maximum (£),Payscale Minimum (£)
Captain,Captain,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,57856,49007
Chief Engineer,Chief Engineer,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,53698,45277
Commander,Commander - RIV,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,46044,42747
Engineering Officer - RIV,Engineering Officer - RIV,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,45153,41857
Electronic Technical Officer,Electronic Technical Officer,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,43082,39785
First Officer,First Officer,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,46082,39785
Second Engineer,Second Engineer,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,6,43082,39785
Second Officer,Second Officer,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,12,38567,34207
Second Officer - RIV,Second Officer - RIV,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,39722,35364
Third Engineer,Third Engineer,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,38567,34207
Boatswain,Boatswain,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,34978,32000
Catering Manager,Catering Manager,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,31596,30958
Engine Room Assistant,Engine Room Assistant,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,31596,28747
Carpenter,Carpenter,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,29568,28747
Petty Officer Deck,Petty Officer Deck,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,29568,28747
Cook,Cook,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,29568,28747
Mechanic AB,Mechanic AB,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,4,29240,29240
Seaman,Seaman,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,20,27890,24334
Second Officer - Auxiliary,Second Officer - Auxiliary,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,38567,34207
Seaman - Auxiliary,Seaman - Auxiliary,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,27890,24334
Electronic Technical Officer - Auxiliary,Electronic Technical Officer - Auxiliary,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,43082,39785
Third Officer - Auxiliary,Third Officer - Auxiliary,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,31604,30674
Finance Administrator,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,3.6,26035,19541
HR Administrator,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,2.6,26035,19541
IT Help Desk Administrator,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,26035,19541
Supplies Officer,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,5,26035,19541
Purchasing Administrator,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,2,26035,19541
Receptionist,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,26035,19541
Light Dues Administrator,C,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,5,26035,19541
Light Dues Team Leader,D,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,29097,21826
HR Officer,D,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,29097,21826
Supplies Supervisor,D,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,29097,21826
Assistant Accountant,E,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1.8,36026,27016
Supplies Manager,E,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,36026,27016
Pension&Benefits Co-ordinator,E,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,36026,27016
Training Co-ordinator,E,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,36026,27016
IT Support Officer,E,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,2,36026,27016
Buyer,E,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1.8,36026,27016
Personnel Administration Manager,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
IT Support Manager,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
IT Project Manager,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
Purchasing Manager,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
Senior IT Support Officer,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
IT Network Engineer,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
IT Project Co-ordinator,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
Communications Officer,F,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,47985,33590
Employee Relations & Communications Manager,SM1,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,0.86,56150,39306
GLF Accountant,SM1,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,56150,39306
IT Manager,SM1,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,56150,39306
Management Accountant,SM1,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,56150,39306
Financial Accountant,SM1,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,56150,39306
HR & Planning Manager,SM2,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,70000,45721
Financial Manager,SM2,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,70000,45721
Procurement Manager,SM2,Trinity House,Department for Transport,Finance,TH04,Finance & Support Service,1,70000,45721
Assistant to Engineer & Operations Manager,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,26035,19541
Lighthouse Technican,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,17,26035,19541
Buoy Yard Team Member Craft,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,6,26035,19541
Senior Buoy Yard Team Member,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,3,26035,19541
Project Assistant,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,26035,19541
Engineering Administrator,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,26035,19541
Buoy Yard Team Member,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,11,26035,19541
Light House Support Team Member,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,3,26035,19541
Fops Administrator,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,3,26035,19541
Marine Support Assistant,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,26035,19541
Commercial Administrator,C,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,26035,19541
Design Technican,D,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,3,29097,21826
