Species,Latitude,Longitude
Ginkgo biloba L,40.416219,116.339278
Ginkgo biloba L,40.366043,117.023611
Ginkgo biloba L,40.305121,116.188455
Ginkgo biloba L,40.291885,118.024307
Ginkgo biloba L,40.216743,116.661153
Ginkgo biloba L,40.109324,119.639634
Ginkgo biloba L,40.054074,118.550123
Ginkgo biloba L,39.912333,123.610169
Ginkgo biloba L,39.890181,116.086027
Ginkgo biloba L,39.878022,117.148229
Ginkgo biloba L,39.873554,115.438168
Ginkgo biloba L,39.710631,115.991076
Ginkgo biloba L,39.678091,117.059474
Ginkgo biloba L,39.329949,115.268159
Ginkgo biloba L,38.993104,121.39948
Ginkgo biloba L,38.264051,113.752102
Ginkgo biloba L,37.876322,114.291007
Ginkgo biloba L,37.712248,112.454861
Ginkgo biloba L,37.282615,114.232184
Ginkgo biloba L,37.014596,120.989004
Ginkgo biloba L,36.884831,121.220088
Ginkgo biloba L,36.777546,121.497055
Ginkgo biloba L,36.519579,117.875082
Ginkgo biloba L,36.45241,116.851028
Ginkgo biloba L,36.36209,118.178245
Ginkgo biloba L,36.333622,109.304545
Ginkgo biloba L,36.315387,117.104805
Ginkgo biloba L,36.284022,111.69233
Ginkgo biloba L,36.204205,118.676991
Ginkgo biloba L,36.19451,119.026692
Ginkgo biloba L,36.154011,120.676665
Ginkgo biloba L,36.144312,118.020097
Ginkgo biloba L,36.072756,118.304572
Ginkgo biloba L,36.061814,111.438119
Ginkgo biloba L,35.905903,118.482077
Ginkgo biloba L,35.855323,112.973616
Ginkgo biloba L,35.810465,119.196539
Ginkgo biloba L,35.772327,118.886779
Ginkgo biloba L,35.602535,118.746034
Ginkgo biloba L,35.602207,116.997214
Ginkgo biloba L,35.589873,111.538239
Ginkgo biloba L,35.580655,118.021569
Ginkgo biloba L,35.580563,116.250773
Ginkgo biloba L,35.548731,117.42199
Ginkgo biloba L,35.512679,116.466705
Ginkgo biloba L,35.500473,113.50316
Ginkgo biloba L,35.480068,112.634032
Ginkgo biloba L,35.445408,119.239436
Ginkgo biloba L,35.400471,118.29724
Ginkgo biloba L,35.361595,118.08145
Ginkgo biloba L,35.183414,112.289593
Ginkgo biloba L,35.149209,119.358551
Ginkgo biloba L,35.117977,118.228557
Ginkgo biloba L,34.994209,117.725596
Ginkgo biloba L,34.960605,117.326093
Ginkgo biloba L,34.900812,117.900521
Ginkgo biloba L,34.692107,110.563905
Ginkgo biloba L,34.68435,107.794725
Ginkgo biloba L,34.60292,119.309682
Ginkgo biloba L,34.586813,118.153654
Ginkgo biloba L,34.550853,117.575914
Ginkgo biloba L,34.548295,105.894929
Ginkgo biloba L,34.520182,112.959717
Ginkgo biloba L,34.518606,115.933486
Ginkgo biloba L,34.51227,112.110214
Ginkgo biloba L,34.328062,107.397859
Ginkgo biloba L,34.320561,118.103299
Ginkgo biloba L,34.303377,119.274932
Ginkgo biloba L,34.248197,111.278164
Ginkgo biloba L,34.183639,116.495376
Ginkgo biloba L,34.132397,112.502135
Ginkgo biloba L,34.123402,113.252421
Ginkgo biloba L,34.077424,108.33381
Ginkgo biloba L,34.059729,109.370269
Ginkgo biloba L,34.039067,108.695693
Ginkgo biloba L,34.031236,117.338394
Ginkgo biloba L,34.027797,117.06065
Ginkgo biloba L,34.00241,116.693404
Ginkgo biloba L,34.000216,111.753633
Ginkgo biloba L,33.939984,113.911334
Ginkgo biloba L,33.931803,115.54816
Ginkgo biloba L,33.826301,113.484274
Ginkgo biloba L,33.807817,106.050584
Ginkgo biloba L,33.799814,112.131039
Ginkgo biloba L,33.782861,116.301987
Ginkgo biloba L,33.701653,106.422592
Ginkgo biloba L,33.671753,112.597476
Ginkgo biloba L,33.669625,111.100123
Ginkgo biloba L,33.639568,111.956514
Ginkgo biloba L,33.627529,114.510661
Ginkgo biloba L,33.622555,111.763576
Ginkgo biloba L,33.575838,112.160904
Ginkgo biloba L,33.568782,109.200089
Ginkgo biloba L,33.420544,113.393195
Ginkgo biloba L,33.412418,108.906318
Ginkgo biloba L,33.404806,115.178499
Ginkgo biloba L,33.344746,105.698323
Ginkgo biloba L,33.322952,111.490618
Ginkgo biloba L,33.31472,116.254445
Ginkgo biloba L,33.193374,116.79266
Ginkgo biloba L,33.180004,113.756801
Ginkgo biloba L,33.144066,109.969312
Ginkgo biloba L,33.135712,112.280507
Ginkgo biloba L,33.113223,113.434621
Ginkgo biloba L,33.069209,115.243964
Ginkgo biloba L,32.943875,117.235157
Ginkgo biloba L,32.848628,106.34558
Ginkgo biloba L,32.847102,113.916624
Ginkgo biloba L,32.81787,109.600056
Ginkgo biloba L,32.778729,118.255879
Ginkgo biloba L,32.762306,119.895139
Ginkgo biloba L,32.746602,105.328892
Ginkgo biloba L,32.742753,110.051477
Ginkgo biloba L,32.71932,104.784215
Ginkgo biloba L,32.69887,105.073697
